Compound Id	ChiPathCluster [VPC-5]
8574	0.0
11239	0.0
6165	0.158
11865	0.0
21011	0.129
4366810	0.215
512	0.0
11793	0.204
7811	0.0
7835	0.0
11216	0.814
13862665	0.034
932	0.0
22814	0.0
6341	0.0
11678	0.183
11543	0.390
62230	1.194
7533	0.831
13836399	0.0
10526	0.0
10422	0.169
12069	0.0
59483	42.188
13255	0.601
10179173	0.760
7701	0.032
6149	0.0
10790	0.447
71430	0.374
120464	1.1
172	0.0
11180	0.258
13865426	0.163
7434	0.402
259	0.046
7714	0.0
10512	0.0
7812	0.0
7769	0.0
7459	0.295
11024	0.295
7837	0.0
3644	0.0
16778	0.0
7705	0.118
191367	0.0
748	0.0
5091	0.032
10437	0.0
387	0.0
6312	0.0
6320	0.0
10947	0.129
6040	0.0
8398	0.129
960	0.032
6164	0.158
18410	0.612
7546	0.0
11756	0.0
7616	0.034
258	0.0
7716	0.0
7564	0.0
7024	0.433
7090	0.279
15438	0.655
11699	0.071
16791	0.0
6097	0.0
11799	0.0
6187	0.643
21800	1.040
18717	1.219
13837797	0.0
16641	0.0
10205670	0.0
12442	0.0
6186	0.827
60329	0.0
7790	0.0
1005	0.0
11210	1.103
6101	0.0
1004	0.0
2340753	0.112
10325184	0.112
24590970	0.139
11695	0.080
6102	0.0
13836591	0.0
7028	0.25
7615	0.0
13884973	0.874
7674	0.433
6406	0.143
682	0.0
13874867	0.130
10710415	0.154
6089	0.0
6087	0.0
6098	0.0
7733	0.0
9990	0.0
11727	0.0
7600	0.777
8896	0.0
7466	0.059
14751	0.595
1609	0.0
171	0.0
7727	0.0
71628	0.438
22408	0.0
7728	0.0
6338	0.0
13811	0.945
13871489	0.410
864	0.0
220998	0.208
221117	1.040
15765	1.040
11647	0.411
7506	0.448
7737	0.0
5439	0.034
7003	0.118
6322	0.0
13867413	0.043
553171	0.083
11525	0.075
8554	0.0
13571291	0.0
12066	0.0
7703	0.158
11265	1.066
12954	0.208
13229	0.733
59577	0.623
10053	0.0
10018	0.0
7787	0.0
26765	0.102
192642	0.262
11788	0.335
63156	0.0
122446	0.755
21181	0.087
26325090	0.0
13836520	0.034
6135	0.0
6309	0.0
12626	0.0
11632	0.249
9994	0.0
7636	0.197
13854944	0.1
7557	0.0
6125	0.0
120621	0.321
4449	0.519
55205	0.051
12445	0.806
14169248	0.341
7964	7.250
6193	8.613
62597	0.0
7559	0.0
7677	0.25
12197	0.0
13836674	0.0
11761	1.633
29015	0.0
9642	0.0
156255	0.519
20119	0.051
6118	0.0
363458	0.201
7684	0.241
71390	0.0
8544	0.0
12219	0.0
6307	0.0
7848	0.0
13816	0.072
15077490	0.145
19956441	0.0
12637	0.0
13872989	0.0
11752	0.072
8577	0.0
278	0.0
61487	0.694
11863	0.0
5708	0.182
10536	0.0
14349	0.0
7810	0.0
391	0.0
13835977	0.0
6334	0.0
592	0.0
13871721	0.0
374462	0.111
558883	0.0
56020	0.0
8908	0.0
376	0.065
10025	0.065
5004	0.065
2275	0.0
4446445	0.0
10124	0.0
7852	0.0
3951	0.0
7530	0.506
7766	0.0
6333	0.0
14680	0.0
7827	0.0
4514529	0.0
13835316	0.0
7711	0.0
12499	0.491
19953955	0.0
21109330	0.547
13638	0.0
72056	0.0
10948	0.058
7815	0.0
71312	0.190
2293678	0.061
2018460	1.106
29107	0.0
21169510	0.706
7552	0.0
5993	0.0
13835293	0.324
62589	0.348
7738	0.0
7686	0.306
7480	0.108
7776	0.0
127983	0.0
1087	0.0
6092	0.0
6042	0.0
6316	0.0
8878	1.204
34095	0.0
7568	0.0
10340	0.118
4444608	0.0
10939	0.549
11107	0.029
13835224	0.0
8141	0.153
9233	0.0
23621376	0.0
21111806	0.139
69371	55.114
66565	0.107
18685	0.0
15443	0.346
844	0.055
18607	0.0
11930	0.563
62628	0.0
67653	0.0
7030	0.051
11875	0.0
7721	0.0
2656	3.597
21108550	0.115
7560	0.0
13839416	0.0
13836021	0.0
13835861	0.091
7029	0.088
394562	0.0
10498	0.0
13839441	0.0
21112738	0.0
6104	0.0
4481813	0.0
60524	0.0
11729	0.0
9325	0.133
11694	0.098
11086	0.306
13849981	0.606
6103	0.0
5894	0.0
13835209	0.0
7788	0.0
13839553	0.0
6083	0.0
6314	0.0
61707	0.0
63054	0.398
4510484	0.224
15803	1.881
26563	0.0
70660	0.488
7679	0.153
13835235	0.0
1039	0.0
10772140	0.0
28994	0.0
4937830	0.0
29008	0.0
11809	0.0
8543	0.0
6111	0.0
68832	0.203
13842001	0.432
22191	0.261
75951	0.239
72793	0.273
72551	0.239
24641	0.330
11632871	0.0
33416	0.0
29001	0.203
21106032	0.0
8909	0.0
11857	0.0
7330	0.0
69982	2.231
21106015	0.0
552744	0.030
10464	0.059
61191	0.340
61001	0.567
8912	0.0
7791	0.0
13866593	0.0
7098	0.365
7026	0.194
553742	0.0
5977	0.0
13837702	0.0
13837537	0.0
9724	4.315
18801	0.0
59674	0.0
558928	0.0
6330	0.0
11244	0.0
7021	0.051
11795	0.042
10488	0.088
13647	0.424
6402	3.618
68156	0.0
71876	0.122
415	0.0
10487	0.491
763	0.0
13835336	0.0
24099	0.0
173	0.0
5730	0.0
7678	0.194
553642	0.0
13861343	0.210
13835550	0.0
8733	0.0
48024	0.270
10265270	1.5
693	0.0
124968	0.038
62808	0.045
8910	0.0
9614	0.063
60886	1.285
28993	0.275
17131	2.919
13875283	0.209
9363	0.049
13849989	0.394
11351244	0.674
558020	0.041
7553	0.0
20939	0.922
518	N/A
6326	0.0
20198	5.013
1143	0.0
61111	0.054
4444456	0.0
2441	5.873
6296	2.115
391428	2.299
733	0.026
9970	0.194
8960	0.0
11117	0.0
191	0.065
13837280	0.0
659	0.0
1078	0.046
13835604	0.0
10772050	0.312
14198	3.583
71787	0.105
7528	0.429
6827	1.5
499714	0.865
7018	0.065
11911	0.584
6093	0.0
13836713	0.0
21106535	0.166
7013	0.421
59447	0.246
10179239	1.5
86007	1.203
390927	1.553
10756	1.654
7961	0.231
12643	0.139
19231	0.214
13835630	0.387
13835459	0.0
9581	0.218
13875196	0.198
73412	0.0
13492	0.273
15747	0.273
7236	0.238
10410	0.568
1348	0.115
558878	0.359
5978	0.0
13487	0.273
6119	0.0
10404	0.273
13839199	0.129
9228	0.229
71089	0.1
6342	0.0
9574	0.270
83866	0.383
83850	0.383
9454	0.320
7419	0.273
1108	0.167
7128	0.511
8356	0.726
62530	0.230
7385	0.297
7170	1.005
8903	0.0
13842613	0.364
16159	0.669
7183	0.654
236	0.0
553578	0.359
7736	0.0
7242	0.197
7219	0.254
7521	0.304
7672	0.850
12010	0.0
24533	0.171
789	0.162
7088	1.161
1019	0.0
13835932	0.175
65750	0.255
15461	1.594
11830	0.0
6122	0.0
1095	0.0
7641	0.470
63903	0.280
10497	0.0
8904	0.0
7688	0.110
13874733	0.142
10437135	0.140
11660	0.395
1020	0.0
21106520	0.142
18724	1.148
11042	0.246
31029	0.0
21106560	0.236
21132380	0.394
8531	0.552
15855	0.947
6100	0.0
13837281	0.0
21105905	0.221
66809	0.114
7448	0.487
6179	0.954
7659	0.914
24535	0.676
15702	0.586
25552	0.585
11871	0.0
15409	0.348
20843	0.319
10940	0.382
10251740	0.143
11077	0.423
24972	0.503
9326	0.147
13885245	0.331
6524	0.818
28969	0.203
6967	0.455
8900	0.0
12229	0.0
9360	0.153
10253	1.174
8902	0.0
9350	0.125
7786	0.0
6999	1.055
15965	0.269
6088	0.0
10937	0.393
21106036	0.338
6977	0.712
10364	0.139
62489	0.136
10384035	0.103
11409	0.686
8243	0.659
7391	0.172
21108577	0.405
13257	0.192
70682	0.0
4228778	0.369
13658	0.759
28992	0.199
6528	0.659
7739	0.0
21168808	0.354
8335	0.812
8374	0.269
21111820	0.354
6897	0.277
13863629	0.1
12228	N/A
21112023	0.337
6665	0.718
247721	0.344
10437215	0.109
11731	0.0
13865438	0.292
120489	0.088
2039535	0.120
13837319	0.659
7278	0.297
13875160	0.324
8899	0.0
7238	0.147
21106135	0.355
773	0.0
2916	0.0
12225	0.1
10197150	0.030
55091	0.359
26325085	0.901
26325087	0.934
26325088	0.892
11862	0.0
8241	0.659
3210	0.682
8950	0.245
7676	0.189
66996	0.113
10437074	0.135
66896	0.375
30595	0.607
7710	0.0
7809	0.0
63908	0.157
221226	0.182
21105959	0.457
66021	0.124
17443	0.099
84971	0.406
388391	0.406
10236	0.968
13837303	0.677
13648	0.230
2849146	0.176
222538	0.224
73390	0.209
10437335	0.189
11576	0.670
11589	0.432
7175	0.416
79969	0.451
11784	0.161
7765	0.0
6883	0.272
7241	0.098
13875230	0.513
7689	0.146
2038738	0.076
11785	0.161
9218	0.327
7224	0.126
11600	0.259
7551	0.0
558875	0.0
21106366	0.352
78	0.109
7225	0.114
10181339	0.279
13839308	0.212
65523	0.199
7157	0.492
2937774	0.290
502855	0.462
14556	0.265
30572	0.166
58234	6.450
67460	0.273
9349	0.145
8883	2.816
65936	0.084
13875281	0.497
4445317	2.961
10534	0.0
6898	0.426
13644	0.274
12061	0.256
29036	0.0
199342	1.631
66895	0.375
62534	0.278
62408	0.398
13837329	0.661
4489	0.124
15495	0.403
66887	0.375
7389	0.133
9893	0.390
63518	0.375
12060	0.355
62310	0.403
7420	0.273
13856009	0.251
59482	0.375
12816	0.127
14678	0.330
21171407	0.0
7984	0.648
28982	0.311
206561	0.284
19709	0.419
21168831	0.309
21105897	0.412
13860335	0.179
6881	0.381
55443	0.273
453675	0.273
971	0.075
9579	0.246
21105878	0.281
21168813	0.501
60121	0.281
15427	0.273
1141	0.118
63310	0.610
11021	0.320
305	0.747
13846663	1.221
79280	0.246
21106091	1.655
13876539	0.224
5830	0.251
69340	0.273
63889	0.217
2606	0.376
10992	0.434
8674	0.298
9943	0.122
7132	0.287
235	0.142
13839082	0.220
13839110	0.653
13840690	0.272
13871718	0.273
21105871	0.294
21105998	0.968
7131	0.343
13856352	0.262
13866817	0.344
24722	0.738
7221	0.160
7223	0.196
9903	0.760
13839105	0.550
10246	1.106
18336	0.801
14866	1.319
466305	0.848
13865680	0.428
11604	0.355
13634	0.151
76394	0.139
440	0.594
28682	0.201
447	0.275
11667	0.313
13835772	0.283
6774	0.479
21168826	0.378
8071	0.596
13839128	0.467
194092	0.610
27296	0.219
28973	0.219
8186	0.431
13839123	0.553
11154	0.0
5979	2.480
7240	0.135
13857694	0.558
7220	0.175
7745	0.059
13839151	0.661
64699	0.862
12259	1.979
62517	0.260
13848467	0.158
13848808	0.404
9911	0.829
72556	0.158
15753	0.954
67465	0.837
7129	0.365
13837686	0.313
13839174	0.658
61538	1.132
12244	0.966
10248	1.055
61411	1.621
69177	1.566
13865424	0.285
917	1.271
7248	0.409
21106144	0.496
21106524	0.431
13863774	0.315
11651	0.234
16119	0.986
11610	0.256
11332993	0.473
10243171	0.393
10801842	0.964
11661	0.318
7138	0.173
12674	0.898
13837988	0.542
6775	0.325
11672	0.238
21106146	0.429
6108	0.0
21106008	0.520
8657	0.234
13875258	0.450
70715	0.196
70714	0.234
11596	0.354
10244	1.417
70988	0.429
86435	0.409
65785	0.340
70652	0.435
7673	0.327
6745	0.781
3544	1.122
8868	0.394
8097	0.760
11773	0.274
13875392	0.777
6916	0.329
21105859	0.309
13630	0.278
7443	0.171
8665	0.208
6633	0.769
16804	2.277
7406	0.404
6907	0.329
10892	0.451
10181338	0.329
299166	0.299
136966	0.361
120548	0.407
73479	0.424
11783	0.278
4611	0.305
13846749	0.338
13875432	0.324
12823	0.340
7176	0.332
221082	0.216
12231	0.243
21106519	0.350
13875219	0.240
8935	0.764
4514586	0.0
10181341	0.274
21106018	0.588
13835344	0.420
7685	0.254
238	0.196
21159695	0.375
13853758	0.590
13835151	0.239
13875320	0.755
14227	0.532
5709	0.184
12821	0.221
913	0.171
8070	0.546
7140	0.416
7190	0.340
7310	0.234
21106140	0.625
12478	0.187
1266393	0.072
455090	0.263
503239	0.302
10991	0.390
191058	0.489
10986	0.468
57726	3.534
21106525	0.331
13860692	0.336
13876103	0.521
7234	0.180
6621	0.603
9564	0.356
21111822	0.355
13869462	0.591
10254	0.590
11460	0.305
7397	0.292
6642	2.813
11465	0.312
11422	0.505
3918	2.407
6794	0.746
21106014	0.473
5889	0.096
13835126	0.452
21111781	0.385
924	0.396
10857	0.773
8140	0.643
65	0.522
13860491	0.588
13863618	0.261
13860641	0.489
13869434	0.525
13854136	0.324
6781	0.443
13838404	0.0
13837760	0.162
6630	0.731
7383	0.378
123207	0.376
10008	0.075
1664	0.082
4878	0.169
21106020	0.335
61765	0.302
13862559	0.854
7662	1.112
21106148	0.303
10411	0.414
20570	0.323
13860775	0.318
2157	0.474
21105795	0.241
2241	0.217
10616	0.526
62466	0.436
62485	0.362
62472	0.475
11586	0.427
7518	0.470
4962	0.313
7681	0.224
21106013	0.465
10972	0.643
10980	0.487
6674	0.906
6035	0.441
21106900	0.548
2005981	0.0
81815	0.084
11584	0.562
7189	0.347
11591	0.322
13840647	0.733
13029	1.171
21106172	1.267
21106145	0.484
64155	0.653
13851576	0.385
13837787	0.302
68676	0.836
6635	1.897
11582	0.334
13853953	0.542
6988	0.639
11083	0.758
13854242	0.357
13869480	0.262
11585	0.352
11488212	0.537
13864445	1.208
86394	1.438
9965	0.336
2206	1.954
42330	1.967
4575	3.004
2079	2.011
4590	0.407
21108548	0.442
13854248	0.356
6974	0.494
6646	0.406
11629	0.424
21106019	0.305
509179	0.369
89076	0.445
10664	0.280
13869414	0.228
7279	0.295
62964	3.008
18219	0.0
13869451	0.369
880	0.249
75956	0.369
6023	0.518
456015	0.264
13869339	0.260
13875441	0.512
206493	0.714
15093	0.435
4599	2.173
1577	0.045
7239	0.440
434	0.448
6079	0.361
7202	0.425
764	0.136
10400	0.313
13662	0.191
955	0.231
13030	1.142
7001	0.977
71437	6.699
4759	0.636
33617	0.836
13872122	0.273
13842573	0.366
17347	0.815
21106581	0.442
10586285	0.932
11595	0.578
62060	5.378
5976	0.237
63906	0.431
13835351	0.520
6773	0.652
30881	0.547
2923	0.972
21105870	0.2
6658	1.320
11422351	1.752
7208	0.377
71193	0.885
67270	0.865
6033	0.749
76154	1.330
3548	1.379
642951	0.811
13860	0.498
40130	1.469
13860434	0.416
21111817	0.729
5596	0.191
5915	0.207
13047	1.708
25472	0.822
62467	0.468
14620	0.491
6828	0.5
21105848	0.479
11080	0.199
7211	0.326
7092	0.610
28947	0.456
