Compound Id	MannholdLogP
11239	1.9
6165	1.9
11865	2.12
21011	1.9
4366810	2.01
512	1.68
11793	2.010
7811	2.010
7835	2.12
11216	2.12
13862665	1.790
932	2.23
22814	1.350
6341	1.68
11678	2.010
11543	2.12
62230	2.23
7533	2.23
13836399	1.9
10526	2.010
10422	1.9
12069	1.79
59483	1.46
13255	2.010
10179173	2.34
7701	1.790
6149	1.130
10790	2.010
71430	1.79
120464	2.010
172	1.570
11180	2.010
13865426	1.79
7434	2.23
259	1.68
7714	1.790
10512	1.9
7812	2.010
7769	1.9
7459	2.010
11024	2.010
7837	2.12
3644	1.68
16778	1.790
7705	1.790
191367	1.680
748	1.46
5091	3.220
10437	1.68
387	1.46
6312	1.790
6320	1.790
10947	1.9
6040	1.9
8398	1.9
960	3.0
6164	1.9
18410	2.56
7546	1.790
11756	1.24
7616	1.68
258	1.790
7716	1.790
7564	1.68
7024	2.12
7090	1.9
15438	2.34
11699	1.79
16791	2.34
6097	1.570
11799	1.570
6187	1.02
21800	2.34
18717	2.12
13837797	2.010
16641	1.13
10205670	1.350
12442	1.46
6186	1.02
60329	1.68
7790	1.46
1005	1.57
11210	2.12
6101	1.570
1004	1.68
2340753	1.24
10325184	1.24
24590970	1.35
11695	1.680
6102	1.570
13836591	1.68
7028	1.9
7615	1.46
13884973	1.9
7674	2.23
6406	1.790
682	1.570
13874867	1.680
10710415	1.79
6089	1.46
6087	1.46
6098	1.570
7733	1.790
9990	1.9
11727	1.46
7600	2.34
8896	2.01
7466	1.570
14751	2.34
1609	1.68
171	1.46
7727	1.57
71628	2.01
22408	1.350
7728	1.57
6338	1.350
13811	2.12
13871489	1.680
864	1.46
220998	2.23
221117	2.34
15765	2.34
11647	2.120
7506	2.45
7737	1.790
5439	1.46
7003	2.01
6322	1.790
13867413	1.570
553171	1.680
11525	1.9
8554	1.9
13571291	1.68
12066	1.57
7703	1.790
11265	1.79
12954	2.01
13229	2.01
59577	2.01
10053	1.790
10018	1.68
7787	2.12
26765	1.790
192642	1.790
11788	2.010
63156	2.010
122446	1.9
21181	1.9
26325090	1.9
13836520	1.9
6135	1.24
6309	2.01
12626	1.9
11632	1.79
9994	1.68
7636	1.570
13854944	1.68
7557	1.9
6125	1.46
120621	1.790
4449	1.9
55205	1.9
12445	1.9
14169248	1.79
7964	1.570
6193	1.680
62597	1.790
7559	1.68
7677	2.010
12197	1.9
13836674	1.68
11761	2.010
29015	1.68
9642	1.79
156255	1.790
20119	1.790
6118	1.68
363458	1.790
7684	1.790
71390	1.24
8544	2.01
12219	2.340
6307	1.790
7848	2.23
13816	1.68
15077490	1.13
19956441	1.680
12637	1.9
13872989	1.68
11752	1.68
8577	2.45
278	1.35
61487	1.9
11863	2.12
5708	1.570
10536	2.23
14349	2.340
7810	2.010
391	1.350
