Compound Id	VABC
26325084	852.587653881052
26325083	773.696613803157
18019	428.813401641445
8521	428.813401641445
26325082	694.805573725262
10449	469.546240467368
61149	126.280868006718
2056044	126.280868006718
26325081	615.914533647368
26824	349.922361563551
8520	349.922361563551
10451	390.655200389473
2041618	N/A
6191	79.553781054372
26325080	537.023493569473
76894	N/A
16425	68.743753261838
6153	50.122678727892
10784857	N/A
38403	105.6399923808
14021447	458.132453491579
9256	73.486222204065
23101	271.031321485656
10675065	108.078191455799
10652594	N/A
10696	311.764160311578
62827	90.782206829932
11434292	N/A
21106179	44.055119877586
122090	285.690847410723
11557190	379.241413413684
9095782	102.010632605492
12577	67.418663353759
9286	67.418663353759
61346	105.993274600365
6190	88.697289974499
6270	217.594086635578
9484	61.351104503453
6105	37.987561027280
16841	82.629731124192
4927801	563.615046648140
109705	187.662515183158
9088156	316.620050945556
56144	121.204342370799
23150	192.140281407761
108106	450.132037318512
78828	300.350373335789
6128	55.283545653146
10452	232.873120233684
10606755	105.6399923808
3631	114.783501300926
69569	266.861487774789
15413	191.507875309150
66656	N/A
9411	110.887068455508
454209	89.875514904880
10733068	463.952830014806
17619	N/A
13837650	73.5705634934
13853215	97.840798894626
9392	97.840798894626
66567	122.935977006666
18971812	111.154141525619
66655	206.799807332828
68328	221.459333257895
13299573	110.065825807499
56117	165.421663982722
12161	148.410148132111
107412	99.925715750059
67414	336.649027988884
13803	139.619921431550
14441700	87.790598049446
10756390	370.402264011845
68224	370.402264011845
61213	87.790598049446
9254	91.773240044319
9016	91.773240044319
73583	109.069224670186
14998	139.335452656295
2018165	70.494613423580
6148	70.494613423580
69914	276.851698008884
11671339	276.851698008884
29040	86.702282331326
67991	187.970447696895
454215	86.702282331326
62826	103.998266957192
7626	121.122593156561
59573	130.829694730989
6156	113.249241329867
10106	219.208480543845
10801109	249.119671993317
512621	N/A
12933	237.096604769050
11996	121.122593156561
13835836	129.912819857122
9633	152.991894558040
15789876	298.765068087606
18688	144.572345782189
12586	244.725754319762
71433	127.908767254934
68503	154.279447356617
937	17.346685401361
692	32.006211326428
23208	32.290680101683
291	25.852443326667
274	38.159979326189
6084	43.148427952533
6132	53.198628797713
7956	51.938654653095
6094	60.4444125784
11749	103.826608530695
7555	77.740397204267
6120	77.740397204267
7712	95.036381830134
6308	95.036381830134
9646	95.036381830134
10781	146.924335707734
15802	164.2203203336
17976	164.2203203336
7767	112.3323664560
7604	112.3323664560
7010	112.3323664560
6163	112.3323664560
6340	112.3323664560
7671	161.868330408056
9377	118.399925306307
8560	129.628351081867
11094	129.628351081867
11023	129.628351081867
11055	129.628351081867
10786	129.628351081867
7619	129.628351081867
10755	129.628351081867
11551	129.628351081867
349	146.924335707734
11035	146.924335707734
11104	146.924335707734
10795	146.924335707734
10445	146.924335707734
8569	155.714562408295
11841	155.714562408295
7073	161.868330408056
123860	164.504789108856
7849	164.2203203336
17558	164.2203203336
13439	164.2203203336
13402	164.2203203336
6287	167.320526666245
10227261	240.723346210245
14840	181.516304959467
13448	181.516304959467
12220	190.306531660028
13619	198.812289585334
7890	216.108274211201
11882	233.404258837067
11883	250.700243462934
10540	285.292212714667
7929	354.476151218134
11897	371.772135844001
11899	389.068120469868
12017	406.364105095734
12072	423.660089721601
11900	440.956074347468
11901	458.252058973334
11146	475.548043599201
11902	492.844028225068
10542	562.027966728535
11906	631.211905232002
7823	121.122593156561
13835376	129.912819857122
55130	144.572345782189
6188	106.984307814753
127750	129.912819857122
14299946	303.258402386273
30713	85.705681194013
14694	85.705681194013
99596	103.001665819879
11849	121.122593156561
7757	231.052268911523
21106169	70.141331204014
20545	334.828176666723
10441	69.234639278961
14672	103.826608530695
7511	196.460299659789
10446	127.276361156322
7657	144.572345782189
22453	144.572345782189
6151	68.409696568146
7509	179.164315033923
7872	196.460299659789
10433	144.572345782189
55084	179.164315033923
7875	231.052268911523
2062437	97.930708106886
7065	127.276361156322
11992	127.276361156322
