Compound Id	TPSA
26325084	83.070
26325083	73.840
18019	36.92
8521	36.92
26325082	64.610
10449	55.380
61149	0.0
2056044	0.0
26325081	55.380
26824	27.69
8520	27.69
10451	46.150
2041618	27.69
6191	0.0
26325080	46.150
76894	27.69
16425	0.0
6153	0.0
10784857	55.380
38403	9.23
14021447	36.92
9256	0.0
23101	18.46
10675065	0.0
10652594	46.150
10696	36.92
62827	0.0
11434292	18.46
21106179	0.0
122090	18.46
11557190	27.69
9095782	0.0
12577	0.0
9286	0.0
61346	0.0
6190	0.0
6270	36.92
9484	0.0
6105	0.0
16841	0.0
4927801	46.150
109705	0.0
9088156	44.480
56144	0.0
23150	9.23
108106	36.92
78828	18.46
6128	0.0
10452	27.69
10606755	20.23
3631	9.23
69569	18.46
15413	27.69
66656	9.23
9411	26.3
454209	0.0
10733068	46.150
17619	9.23
13837650	0.0
13853215	0.0
9392	0.0
66567	20.23
18971812	0.0
66655	9.23
68328	9.23
13299573	0.0
56117	18.46
12161	36.92
107412	0.0
67414	27.69
13803	27.69
14441700	0.0
10756390	36.92
68224	36.92
61213	0.0
9254	0.0
9016	0.0
73583	0.0
14998	9.23
2018165	0.0
6148	0.0
69914	27.69
11671339	27.69
29040	0.0
67991	9.23
454215	0.0
62826	0.0
7626	9.23
59573	18.46
6156	0.0
10106	54.570
10801109	32.050
512621	3.24
12933	53.710
11996	9.23
13835836	18.46
9633	0.0
15789876	85.35
18688	26.3
12586	26.880
71433	0.0
68503	27.69
937	0.0
692	17.07
23208	40.130
291	0.0
274	34.14
6084	0.0
6132	0.0
7956	9.23
6094	0.0
11749	9.23
7555	0.0
6120	0.0
7712	0.0
6308	0.0
9646	0.0
10781	0.0
15802	0.0
17976	0.0
7767	0.0
7604	0.0
7010	0.0
6163	0.0
6340	0.0
7671	26.3
9377	0.0
8560	0.0
11094	0.0
11023	0.0
11055	0.0
10786	0.0
7619	0.0
10755	0.0
11551	0.0
349	0.0
11035	0.0
11104	0.0
10795	0.0
10445	0.0
8569	9.23
11841	9.23
7073	26.3
123860	18.46
7849	0.0
17558	0.0
13439	0.0
13402	0.0
6287	54.570
10227261	68.28
14840	0.0
13448	0.0
12220	9.23
13619	0.0
7890	0.0
11882	0.0
11883	0.0
10540	0.0
7929	0.0
11897	0.0
11899	0.0
12017	0.0
12072	0.0
11900	0.0
11901	0.0
11146	0.0
11902	0.0
10542	0.0
11906	0.0
7823	9.23
13835376	18.46
55130	26.3
6188	0.0
127750	18.46
14299946	57.150
30713	0.0
14694	0.0
99596	0.0
11849	9.23
7757	26.3
21106169	20.23
20545	37.3
10441	9.23
14672	9.23
7511	26.3
10446	26.3
7657	26.3
22453	26.3
6151	0.0
7509	26.3
7872	26.3
10433	26.3
55084	26.3
7875	26.3
2062437	0.0
7065	26.3
11992	26.3
7913	26.3
10325078	0.0
92731	0.0
14256731	51.21
3168	9.23
11153	0.0
29005	26.3
7472	26.3
11207996	40.130
7694	26.3
11833	9.23
16388	53.990
455420	9.23
62249	26.3
10420	26.3
9243	0.0
55188	9.23
7482	26.3
11716	26.3
29016	26.3
7670	17.07
7340	3.24
7747	26.3
7624	12.03
7627	26.3
8568	26.3
14846	26.3
11045	26.3
11228	9.23
10709	9.23
109838	18.46
7478	35.53
10765	0.0
13849665	78.9
7800	26.3
11148	0.0
11843	26.3
923	51.210
7475	26.3
12201	0.0
7515	26.3
29012	26.3
10797	17.07
11109	0.0
7538	26.3
7536	26.3
12972	17.07
61266	0.0
24142	0.0
14829	0.0
23055	0.0
13622	0.0
7463	26.3
10571	26.3
16180	0.0
13836549	0.0
7891	0.0
12446	0.0
55123	26.3
10614293	0.0
29025	0.0
11755	26.3
12635	0.0
7706	26.3
7761	26.3
11121	0.0
7713	0.0
12809	0.0
11230	3.24
7833	0.0
10492	26.3
13837190	18.46
13839109	35.53
7556	0.0
12012	26.3
8158	3.24
66675	0.0
7871	17.07
3441	0.0
7954	0.0
9976	17.07
21153	17.07
14688	23.06
9391	20.23
8525	26.3
7514	17.07
11680	26.3
6176	17.07
6085	0.0
63631	3.24
13865630	52.6
7856	12.03
11706	26.3
7802	17.07
12218	17.07
56232	23.06
3973	9.23
6130	0.0
7534	17.07
10788	17.07
7621	17.07
10101	54.570
28986	17.07
13839575	27.69
12632	17.07
13836589	18.46
83734	0.0
9253	0.0
215929	17.07
10791	17.07
555074	0.0
7957	0.0
11125	26.3
7760	17.07
4516601	0.0
8562	12.03
2863	37.3
56442	0.0
4483639	0.0
11919	0.0
10653	26.3
8329688	0.0
7782	26.3
4516599	0.0
16387	49.45
10777	17.07
4512361	0.0
11095	17.07
11025	17.07
26325086	27.69
21106173	27.69
13835706	78.9
441	17.07
2282428	0.0
9251	0.0
13850879	99.13
217	0.0
1114	3.24
7838	17.07
15486	20.23
56559	20.23
11898	20.23
4483638	0.0
6335	26.3
4449912	0.0
11526	35.53
6311	23.79
10054	0.0
7081	17.07
7607	17.07
7074	26.3
12456	0.0
