Compound Id	PetitjeanNumber
26325084	0.5
26325083	0.5
18019	0.5
8521	0.5
26325082	0.5
10449	0.25
61149	0.4
2056044	0.4
26325081	0.5
26824	0.5
8520	0.5
10451	0.167
2041618	0.5
6191	0.333
26325080	0.5
76894	0.5
16425	0.5
6153	0.5
10784857	0.143
38403	0.4
14021447	0.5
9256	0.333
23101	0.5
10675065	0.4
10652594	0.167
10696	0.333
62827	0.5
11434292	0.5
21106179	0.5
122090	0.5
11557190	0.5
9095782	0.333
12577	0.333
9286	0.333
61346	0.5
6190	0.333
6270	0.5
9484	0.5
6105	0.5
16841	0.333
4927801	0.25
109705	0.333
9088156	0.429
56144	0.5
23150	0.5
108106	0.375
78828	0.5
6128	0.5
10452	0.25
10606755	0.5
3631	0.4
69569	0.5
15413	0.5
66656	0.5
9411	0.4
454209	0.333
10733068	0.375
17619	0.5
13837650	0.333
13853215	0.333
9392	0.333
66567	0.5
18971812	0.333
66655	0.4
68328	0.5
13299573	0.5
56117	0.5
12161	0.5
107412	0.5
67414	0.333
13803	0.5
14441700	0.333
10756390	0.429
68224	0.375
61213	0.333
9254	0.333
9016	0.333
73583	0.333
14998	0.5
2018165	0.333
6148	0.5
69914	0.333
11671339	0.333
29040	0.333
67991	0.5
454215	0.333
62826	0.5
7626	0.5
59573	0.5
6156	0.5
10106	0.5
10801109	0.5
512621	0.5
12933	0.429
11996	0.5
13835836	0.5
9633	0.5
15789876	0.5
18688	0.4
12586	0.5
71433	0.333
68503	0.5
937	0.0
692	0.0
23208	0.5
291	0.0
274	0.5
6084	0.0
6132	0.5
7956	0.5
6094	0.5
11749	0.5
7555	0.333
6120	0.5
7712	0.5
6308	0.333
9646	0.5
10781	0.5
15802	0.429
17976	0.4
7767	0.4
7604	0.5
7010	0.5
6163	0.333
6340	0.333
7671	0.5
9377	0.5
8560	0.5
11094	0.4
11023	0.4
11055	0.5
10786	0.5
7619	0.5
10755	0.5
11551	0.5
349	0.429
11035	0.5
11104	0.4
10795	0.5
10445	0.5
8569	0.5
11841	0.5
7073	0.5
123860	0.444
7849	0.5
17558	0.429
13439	0.5
13402	0.5
6287	0.5
10227261	0.455
14840	0.444
13448	0.4
12220	0.5
13619	0.5
7890	0.455
11882	0.5
11883	0.462
10540	0.467
7929	0.474
11897	0.5
11899	0.476
12017	0.5
12072	0.478
11900	0.5
11901	0.48
11146	0.5
11902	0.481
10542	0.484
11906	0.486
7823	0.5
13835376	0.429
55130	0.5
6188	0.333
127750	0.429
14299946	0.333
30713	0.333
14694	0.333
99596	0.333
11849	0.5
7757	0.5
21106169	0.333
20545	0.471
10441	0.333
14672	0.333
7511	0.5
10446	0.5
7657	0.5
22453	0.5
6151	0.5
7509	0.444
7872	0.5
10433	0.5
55084	0.444
7875	0.5
2062437	0.333
7065	0.4
11992	0.4
7913	0.5
10325078	0.333
92731	0.5
14256731	0.5
3168	0.5
11153	0.5
29005	0.5
7472	0.4
11207996	0.4
7694	0.5
11833	0.4
16388	0.444
455420	0.5
62249	0.5
10420	0.429
9243	0.5
55188	0.5
7482	0.429
11716	0.5
29016	0.5
7670	0.5
7340	0.5
7747	0.4
7624	0.5
7627	0.5
8568	0.5
14846	0.5
11045	0.429
11228	0.333
10709	0.5
109838	0.5
7478	0.5
10765	0.333
13849665	0.5
7800	0.444
11148	0.0
11843	0.429
923	0.5
7475	0.5
12201	0.5
7515	0.5
29012	0.5
10797	0.5
11109	0.4
7538	0.5
7536	0.429
12972	0.5
61266	0.444
24142	0.5
14829	0.5
23055	0.333
13622	0.462
7463	0.4
10571	0.5
16180	0.5
13836549	0.2
7891	0.455
12446	0.5
55123	0.5
10614293	0.5
29025	0.5
11755	0.5
12635	0.5
7706	0.4
7761	0.5
11121	0.5
7713	0.5
12809	0.444
11230	0.333
7833	0.429
10492	0.4
13837190	0.5
13839109	0.429
7556	0.333
12012	0.429
8158	0.5
66675	0.333
7871	0.5
3441	0.333
7954	0.5
9976	0.5
21153	0.455
14688	0.462
9391	0.333
8525	0.5
7514	0.5
11680	0.4
6176	0.333
6085	0.0
63631	0.333
13865630	0.444
7856	0.5
11706	0.5
7802	0.429
12218	0.444
56232	0.444
3973	0.5
6130	0.5
7534	0.5
10788	0.5
7621	0.5
10101	0.5
28986	0.5
13839575	0.5
12632	0.5
13836589	0.4
83734	0.333
9253	0.333
215929	0.429
10791	0.5
555074	0.5
7957	0.5
11125	0.5
7760	0.5
4516601	0.429
8562	0.5
2863	0.5
56442	0.333
4483639	0.5
11919	0.5
10653	0.5
8329688	0.333
7782	0.4
4516599	0.429
16387	0.444
10777	0.333
4512361	0.429
11095	0.4
11025	0.4
26325086	0.25
21106173	0.25
13835706	0.5
441	0.5
2282428	0.333
9251	0.333
13850879	0.5
217	0.0
1114	0.5
7838	0.429
15486	0.444
56559	0.471
11898	0.5
4483638	0.5
6335	0.333
4449912	0.333
11526	0.5
6311	0.333
10054	0.5
7081	0.5
7607	0.5
7074	0.5
12456	0.444
72522	0.474
6313	0.333
7817	0.5
4512642	0.429
7928	0.5
7734	0.5
5949	0.5
62632	0.5
14348	0.471
7803	0.429
7076	0.429
78998	0.467
17880	0.5
370	0.5
29029	0.444
11884	0.462
2581	0.5
16177	0.5
7730	0.5
13866746	0.4
7016	0.5
15853	0.455
11864	0.429
9053802	0.462
21106586	0.5
67360	0.5
63863	0.5
11891	0.467
7732	0.5
18920	0.429
10113	0.333
11866	0.429
15846	0.444
11845	0.5
15954	0.4
11819	0.4
7566	0.333
29026	0.5
7772	0.4
11739	0.4
7917	0.5
6321	0.333
12209	0.4
11846	0.5
7622	0.5
11861	0.5
15016	0.5
11056	0.5
7915	0.462
23255	0.333
10787	0.5
123993	0.4
55090	0.333
11806	0.5
7630	0.5
8552	0.5
68179	0.5
7901	0.5
6121	0.5
7770	0.4
7558	0.333
11036	0.5
10001	0.5
7064	0.4
175	0.5
6146	0.5
6649	0.5
11029	0.5
6123	0.5
7892	0.455
8576	0.5
6095	0.5
9461	0.4
14692	0.444
11099	0.5
11193	0.5
256	0.5
11794	0.4
7851	0.5
15387	0.444
8012	0.5
7717	0.5
11732	0.5
10511	0.5
654	0.5
6315	0.333
6086	0.0
99440	0.5
11194	0.5
455353	0.5
11110	0.4
13848341	0.429
10265264	0.4
7850	0.5
7882	0.5
7577	0.333
29000	0.5
8574	0.444
11239	0.333
6165	0.333
11865	0.429
21011	0.5
4366810	0.5
512	0.333
11793	0.4
7811	0.5
7835	0.429
11216	0.4
13862665	0.4
932	0.5
22814	0.0
6341	0.333
11678	0.4
11543	0.4
62230	0.4
7533	0.4
13836399	0.429
10526	0.5
10422	0.429
12069	0.429
59483	0.25
13255	0.5
10179173	0.4
7701	0.4
6149	0.5
10790	0.5
71430	0.5
120464	0.5
172	0.5
11180	0.333
13865426	0.5
7434	0.5
259	0.5
7714	0.5
10512	0.4
7812	0.5
7769	0.4
7459	0.4
11024	0.4
7837	0.429
3644	0.5
16778	0.5
7705	0.4
191367	0.5
748	0.0
5091	0.5
10437	0.333
387	0.333
6312	0.333
6320	0.333
10947	0.5
6040	0.4
8398	0.5
960	0.5
6164	0.333
18410	0.429
7546	0.333
11756	0.5
7616	0.5
258	0.5
7716	0.5
7564	0.333
7024	0.333
7090	0.4
15438	0.4
11699	0.429
16791	0.429
6097	0.5
11799	0.4
6187	0.333
21800	0.25
18717	0.5
13837797	0.5
16641	0.5
10205670	0.333
12442	0.333
6186	0.333
60329	0.4
7790	0.0
1005	0.333
11210	0.5
6101	0.5
1004	0.333
2340753	0.333
10325184	0.333
24590970	0.333
11695	0.5
6102	0.5
13836591	0.4
7028	0.333
7615	0.5
13884973	0.5
7674	0.25
6406	0.5
682	0.5
13874867	0.4
10710415	0.5
