Compound Id	LargestPiSystem
26325084	2
26325083	1
18019	0
8521	0
26325082	1
10449	0
61149	0
2056044	0
26325081	1
26824	0
8520	0
10451	0
2041618	0
6191	0
26325080	1
76894	0
16425	0
6153	0
10784857	0
38403	0
14021447	1
9256	0
23101	0
10675065	0
10652594	0
10696	0
62827	0
11434292	0
21106179	0
122090	1
11557190	1
9095782	0
12577	0
9286	0
61346	0
6190	0
6270	0
9484	0
6105	0
16841	0
4927801	0
109705	6
9088156	0
56144	0
23150	0
108106	0
78828	1
6128	0
10452	0
10606755	0
3631	0
69569	0
15413	0
66656	0
9411	3
454209	0
10733068	2
17619	0
13837650	0
13853215	0
9392	0
66567	0
18971812	0
66655	1
68328	1
13299573	0
56117	0
12161	0
107412	0
67414	0
13803	0
14441700	0
10756390	1
68224	1
61213	0
9254	0
9016	0
73583	0
14998	0
2018165	0
6148	0
69914	1
11671339	1
29040	0
67991	0
454215	0
62826	0
7626	0
59573	0
6156	0
10106	5
10801109	1
512621	0
12933	0
11996	0
13835836	0
9633	0
15789876	2
18688	3
12586	1
71433	1
68503	1
937	0
692	1
23208	3
291	0
274	2
6084	0
6132	0
7956	0
6094	0
11749	0
7555	0
6120	0
7712	0
6308	0
9646	0
10781	0
15802	0
17976	0
7767	0
7604	0
7010	0
6163	0
6340	0
7671	3
9377	0
8560	0
11094	0
11023	0
11055	0
10786	0
7619	0
10755	0
11551	0
349	0
11035	0
11104	0
10795	0
10445	0
8569	0
11841	0
7073	3
123860	0
7849	0
17558	0
13439	0
13402	0
6287	5
10227261	2
14840	0
13448	0
12220	0
13619	0
7890	0
11882	0
11883	0
10540	0
7929	0
11897	0
11899	0
12017	0
12072	0
11900	0
11901	0
11146	0
11902	0
10542	0
11906	0
7823	0
13835376	0
55130	3
6188	0
127750	0
14299946	0
30713	0
14694	0
99596	0
11849	0
7757	3
21106169	0
20545	3
10441	0
14672	0
7511	3
10446	3
7657	3
22453	3
6151	0
7509	3
7872	3
10433	3
55084	3
7875	3
2062437	0
7065	3
11992	3
7913	3
10325078	0
92731	0
14256731	2
3168	0
11153	0
29005	3
7472	3
11207996	2
7694	3
11833	0
16388	5
455420	0
62249	3
10420	3
9243	0
55188	0
7482	3
11716	3
29016	3
7670	2
7340	0
7747	3
7624	0
7627	3
8568	3
14846	3
11045	3
11228	0
10709	0
109838	0
7478	4
10765	2
13849665	3
7800	3
11148	0
11843	3
923	3
7475	3
12201	2
7515	3
29012	3
10797	2
11109	1
7538	3
7536	3
12972	2
61266	12
24142	2
14829	0
23055	0
13622	2
7463	3
10571	3
16180	2
13836549	6
7891	1
12446	2
55123	3
10614293	0
29025	2
11755	3
12635	2
7706	3
7761	3
11121	2
7713	1
12809	1
11230	0
7833	2
10492	3
13837190	0
13839109	3
7556	1
12012	3
8158	0
66675	0
7871	2
3441	0
7954	1
9976	2
21153	2
14688	2
9391	0
8525	3
7514	2
11680	3
6176	2
6085	1
63631	0
13865630	3
7856	0
11706	3
7802	2
12218	2
56232	2
3973	0
6130	0
7534	2
10788	2
7621	2
10101	5
28986	2
13839575	0
12632	2
13836589	0
83734	0
9253	0
215929	2
10791	2
555074	2
7957	1
11125	3
7760	2
4516601	2
8562	0
2863	3
56442	2
4483639	2
11919	0
10653	3
8329688	0
7782	3
4516599	2
16387	0
10777	2
4512361	2
11095	2
11025	2
26325086	0
21106173	0
13835706	3
441	1
2282428	0
9251	0
13850879	3
217	0
1114	0
7838	2
15486	0
56559	0
11898	0
4483638	2
6335	3
4449912	2
11526	4
6311	2
10054	0
7081	2
7607	2
7074	5
12456	1
72522	0
6313	1
7817	3
4512642	2
7928	0
7734	3
5949	2
62632	2
14348	0
7803	3
7076	5
78998	2
17880	2
370	2
29029	1
11884	2
2581	0
16177	2
7730	0
13866746	6
7016	2
15853	2
11864	1
9053802	0
21106586	3
67360	2
63863	0
11891	0
7732	3
18920	0
10113	2
11866	2
15846	2
11845	2
15954	0
11819	0
7566	1
29026	2
7772	2
11739	0
7917	0
6321	1
12209	1
11846	2
7622	0
11861	0
15016	0
11056	0
7915	0
23255	0
10787	0
123993	0
55090	0
11806	2
7630	5
8552	2
68179	3
7901	0
6121	0
7770	2
7558	2
11036	0
10001	3
7064	3
175	1
6146	0
6649	3
11029	0
6123	0
7892	0
8576	0
6095	2
9461	3
14692	1
11099	2
11193	3
256	2
11794	0
7851	0
15387	0
8012	3
7717	1
11732	0
10511	0
654	0
6315	0
6086	1
99440	0
11194	0
455353	0
11110	2
13848341	3
10265264	0
7850	0
7882	0
7577	3
29000	0
8574	0
11239	0
6165	0
11865	0
21011	0
4366810	4
512	1
11793	0
7811	0
7835	0
11216	0
13862665	3
932	0
22814	0
6341	3
11678	0
11543	0
62230	0
7533	0
13836399	0
10526	0
10422	4
12069	3
59483	0
13255	0
10179173	0
7701	3
6149	0
10790	0
71430	0
120464	0
172	1
11180	0
13865426	3
7434	0
259	2
7714	0
10512	0
7812	0
7769	0
7459	0
11024	0
7837	0
3644	0
16778	0
7705	0
191367	3
748	1
5091	3
10437	0
387	2
6312	0
6320	0
10947	0
6040	0
8398	0
960	2
6164	0
18410	0
7546	0
11756	4
7616	5
258	0
7716	0
7564	0
7024	0
7090	6
15438	0
11699	4
16791	2
6097	0
11799	3
6187	0
21800	0
18717	0
13837797	2
16641	1
10205670	2
12442	0
6186	0
60329	0
7790	0
1005	2
11210	0
6101	0
1004	0
2340753	0
10325184	0
24590970	0
11695	4
6102	1
13836591	0
7028	0
7615	3
13884973	0
7674	0
6406	5
682	0
13874867	3
10710415	5
6089	0
6087	0
6098	1
7733	5
9990	2
11727	3
7600	2
8896	0
7466	4
14751	0
1609	0
171	2
7727	0
71628	2
22408	0
7728	0
6338	2
13811	4
13871489	3
864	0
220998	3
221117	0
15765	0
11647	3
7506	2
7737	0
5439	4
7003	5
6322	4
13867413	3
553171	8
11525	1
8554	0
13571291	4
12066	0
7703	0
11265	3
12954	3
13229	3
59577	3
10053	0
10018	0
7787	0
26765	3
192642	3
11788	0
63156	1
122446	3
21181	3
26325090	1
13836520	2
6135	2
6309	4
12626	1
11632	3
9994	0
7636	4
13854944	0
7557	4
6125	0
120621	3
4449	0
55205	3
12445	3
14169248	3
7964	3
6193	3
62597	1
7559	4
7677	0
12197	4
13836674	2
11761	0
29015	0
9642	2
156255	0
20119	3
6118	0
363458	0
7684	0
71390	0
8544	2
12219	0
6307	0
7848	0
13816	3
15077490	0
19956441	1
12637	3
13872989	2
11752	3
8577	0
278	2
61487	0
11863	0
5708	3
10536	0
14349	0
7810	0
391	0
13835977	2
6334	3
592	2
13871721	2
374462	0
558883	4
56020	4
8908	0
376	3
10025	3
5004	3
2275	3
4446445	4
10124	4
7852	0
3951	5
7530	0
7766	0
6333	5
14680	0
7827	0
4514529	0
13835316	2
7711	0
12499	7
19953955	1
21109330	0
13638	0
72056	0
10948	0
7815	0
71312	0
2293678	0
2018460	0
29107	3
21169510	3
7552	0
5993	3
13835293	0
62589	0
7738	5
7686	0
7480	3
7776	0
127983	1
1087	3
6092	0
6042	0
6316	0
8878	0
34095	0
7568	1
10340	5
4444608	4
10939	2
11107	4
13835224	0
8141	1
9233	0
23621376	1
21111806	6
69371	0
66565	6
18685	0
15443	2
844	2
18607	0
11930	4
62628	0
67653	0
7030	4
11875	0
7721	0
2656	0
21108550	6
7560	0
13839416	0
13836021	0
13835861	0
7029	3
394562	4
10498	1
13839441	0
21112738	2
6104	0
4481813	3
60524	3
11729	0
9325	6
11694	4
11086	2
13849981	2
6103	0
5894	3
13835209	0
7788	2
13839553	0
6083	0
6314	4
61707	3
63054	7
4510484	4
15803	0
26563	0
70660	4
7679	1
13835235	0
1039	0
10772140	2
28994	3
4937830	3
29008	0
11809	0
8543	0
6111	0
68832	2
13842001	0
22191	2
75951	2
72793	2
72551	2
24641	2
11632871	0
33416	0
29001	1
21106032	0
8909	0
11857	2
7330	4
69982	2
21106015	0
552744	5
10464	3
61191	7
61001	8
8912	0
7791	0
13866593	0
7098	7
7026	0
553742	2
5977	0
13837702	0
13837537	0
9724	0
18801	0
59674	2
558928	2
6330	3
11244	4
7021	4
11795	3
10488	3
13647	3
6402	2
68156	0
71876	5
415	0
10487	0
763	1
13835336	0
24099	0
173	3
5730	0
7678	0
553642	2
13861343	2
13835550	0
8733	0
48024	0
10265270	0
693	3
124968	6
62808	6
8910	0
9614	6
60886	10
28993	4
17131	6
13875283	6
9363	6
13849989	2
11351244	4
558020	6
7553	2
20939	2
518	0
6326	0
20198	3
