Compound Id	FragmentComplexity
11239	5.01
6165	5.01
11865	7.01
21011	5.01
4366810	10.03
512	3.01
11793	6.01
7811	6.01
7835	7.01
11216	7.01
13862665	6.02
932	8.01
22814	0.01
6341	5.02
11678	6.01
11543	7.01
62230	8.01
7533	8.01
13836399	7.02
10526	6.01
10422	9.03
12069	8.03
59483	12.06
13255	7.01
10179173	44.0
7701	6.02
6149	4.04
10790	6.01
71430	9.03
120464	6.01
172	2.01
11180	6.01
13865426	8.03
7434	8.01
259	5.02
7714	4.01
10512	5.01
7812	6.01
7769	5.01
7459	6.01
11024	6.01
7837	7.01
3644	3.01
16778	6.02
7705	6.02
191367	7.03
748	1.01
5091	19.02
10437	3.01
387	5.03
6312	4.01
6320	4.01
10947	5.01
6040	5.01
8398	5.01
960	17.02
6164	5.01
18410	10.0
7546	5.01
11756	5.04
7616	5.02
258	4.01
7716	4.01
7564	3.01
7024	6.0
7090	10.03
15438	8.0
11699	8.03
16791	7.0
6097	2.01
11799	6.03
6187	7.06
21800	44.0
18717	7.01
13837797	6.01
16641	2.03
10205670	4.03
12442	3.02
6186	7.06
60329	5.02
7790	6.03
1005	4.02
11210	7.01
6101	2.01
1004	3.01
2340753	5.04
10325184	5.04
24590970	6.04
11695	7.03
6102	2.01
13836591	5.02
7028	6.01
7615	5.03
13884973	7.02
7674	7.0
6406	6.02
682	2.01
13874867	7.03
10710415	8.03
6089	1.01
6087	1.01
6098	2.01
7733	4.01
9990	3.0
11727	3.02
7600	11.02
8896	5.0
7466	6.03
14751	8.0
1609	5.02
171	3.02
7727	4.02
71628	8.02
22408	0.01
7728	4.02
6338	4.03
13811	11.03
13871489	13.06
864	1.01
220998	12.03
221117	44.0
15765	44.0
11647	10.02
7506	10.01
7737	5.01
5439	5.03
7003	8.02
6322	4.01
13867413	6.03
553171	9.04
11525	5.01
8554	6.01
13571291	3.01
12066	5.02
7703	6.02
11265	8.03
12954	10.03
13229	10.03
59577	8.02
10053	4.01
10018	6.02
7787	6.0
26765	6.02
192642	6.02
11788	7.01
63156	6.01
122446	7.02
21181	7.02
26325090	9.03
13836520	8.02
6135	3.03
6309	4.0
12626	5.01
11632	8.03
9994	4.01
7636	7.03
13854944	5.02
7557	3.0
6125	3.02
120621	6.02
4449	8.02
55205	7.02
12445	7.02
14169248	8.03
7964	12.06
6193	13.06
62597	4.01
7559	3.01
7677	7.01
12197	3.0
13836674	3.01
11761	6.01
29015	6.02
9642	2.0
156255	7.02
20119	6.02
6118	3.01
363458	7.02
7684	7.02
71390	3.03
8544	5.0
12219	9.01
6307	4.01
7848	8.01
13816	5.02
15077490	6.05
19956441	7.03
12637	11.04
13872989	3.01
11752	5.02
8577	10.01
278	2.02
61487	5.01
11863	7.01
5708	6.03
10536	8.01
14349	9.01
7810	6.01
391	0.01
13835977	3.01
6334	4.02
592	5.03
13871721	4.01
374462	6.02
558883	4.0
56020	4.0
8908	7.0
376	10.04
10025	11.04
5004	13.04
2275	5.02
4446445	8.01
10124	5.0
7852	8.01
3951	5.02
7530	8.02
7766	5.01
6333	4.02
14680	7.01
7827	6.01
4514529	0.01
13835316	3.02
7711	4.01
12499	12.06
19953955	6.03
21109330	7.02
13638	8.01
72056	13.02
10948	5.02
7815	6.01
71312	6.05
2293678	6.05
2018460	7.05
29107	5.02
21169510	8.05
7552	3.01
5993	4.02
13835293	6.02
62589	7.01
7738	5.01
7686	7.01
7480	8.02
7776	5.01
127983	1.02
1087	2.03
6092	2.01
6042	4.03
6316	4.02
8878	22.0
34095	11.02
7568	3.02
10340	6.01
4444608	6.01
10939	8.01
11107	7.03
13835224	4.02
8141	6.01
9233	4.01
23621376	5.03
21111806	8.02
69371	8.03
66565	8.03
18685	10.02
15443	8.01
844	6.04
18607	4.01
11930	7.03
62628	9.02
67653	9.02
7030	6.03
11875	8.02
7721	4.01
2656	34.01
21108550	8.02
7560	3.01
13839416	7.02
13836021	4.02
13835861	5.02
7029	6.02
394562	4.01
10498	4.02
13839441	6.02
21112738	3.01
6104	2.02
4481813	3.02
60524	4.02
11729	3.01
9325	8.02
11694	7.03
11086	7.0
13849981	10.01
6103	2.01
5894	4.03
13835209	5.02
7788	6.0
13839553	4.02
6083	1.01
6314	4.01
61707	5.02
63054	11.05
4510484	8.01
15803	86.01
26563	18.06
70660	11.05
7679	7.01
13835235	3.02
1039	2.01
10772140	4.03
28994	3.02
4937830	3.01
29008	5.01
11809	4.02
8543	4.02
6111	3.0
68832	7.02
13842001	7.02
22191	8.02
75951	9.02
72793	9.02
72551	10.02
24641	10.02
11632871	16.05
33416	15.05
29001	6.02
21106032	5.02
8909	8.0
11857	7.0
7330	5.0
69982	11.06
21106015	3.02
552744	5.02
10464	5.02
61191	11.04
61001	13.04
8912	12.04
7791	6.01
13866593	6.02
7098	11.04
7026	6.01
553742	4.02
5977	3.03
13837702	5.02
13837537	6.02
9724	31.0
18801	7.02
59674	5.01
558928	4.02
6330	4.02
11244	5.03
7021	5.03
11795	6.02
10488	7.02
13647	9.03
6402	31.0
68156	6.02
71876	12.02
415	4.02
10487	7.01
763	1.02
13835336	3.02
24099	5.02
173	3.02
5730	4.04
7678	7.01
553642	8.0
13861343	6.06
13835550	3.02
8733	4.02
48024	7.02
10265270	79.0
693	2.02
124968	7.03
62808	7.03
8910	10.0
9614	7.01
60886	55.08
28993	9.0
17131	13.04
13875283	8.01
9363	7.02
13849989	10.01
11351244	22.0
558020	7.03
7553	3.01
20939	10.0
518	0.01
6326	4.03
20198	14.04
1143	3.03
61111	7.02
4444456	5.02
2441	34.01
6296	10.01
391428	79.0
733	5.03
9970	8.01
8960	1.02
11117	6.0
191	9.04
13837280	4.03
659	3.02
1078	7.04
13835604	6.03
10772050	6.05
14198	31.0
71787	7.04
7528	8.02
6827	37.0
499714	8.02
7018	5.03
11911	5.04
6093	2.02
13836713	3.01
21106535	5.03
7013	5.03
59447	7.02
10179239	79.0
86007	18.06
390927	34.01
10756	11.01
7961	5.04
12643	7.01
19231	8.03
13835630	9.04
13835459	6.02
9581	9.02
13875196	9.02
73412	5.02
13492	13.0
15747	14.0
7236	8.02
10410	10.0
1348	6.02
558878	10.01
5978	4.03
13487	12.0
6119	3.03
10404	11.0
13839199	7.01
9228	8.02
71089	7.02
6342	5.04
9574	10.03
83866	44.02
83850	44.02
9454	11.03
7419	10.0
1108	7.0
7128	9.0
8356	10.0
62530	9.01
7385	9.0
7170	12.0
8903	6.02
13842613	8.01
16159	6.03
7183	10.0
236	6.0
553578	10.01
7736	5.01
7242	8.01
7219	8.0
7521	8.0
7672	7.01
12010	6.01
24533	8.02
789	8.04
7088	10.0
1019	5.02
13835932	7.04
65750	11.01
15461	11.0
11830	5.01
6122	3.01
1095	5.01
7641	8.0
63903	9.01
10497	4.01
8904	6.02
7688	7.02
13874733	7.01
10437135	9.03
11660	9.0
1020	6.01
21106520	7.01
18724	10.01
11042	8.01
31029	3.01
21106560	8.01
21132380	8.01
8531	10.0
15855	34.01
6100	2.01
13837281	5.04
21105905	8.01
66809	8.02
7448	10.0
6179	6.05
7659	9.0
24535	11.02
15702	16.06
25552	10.02
11871	7.02
15409	13.02
20843	8.02
10940	8.01
10251740	8.03
11077	8.01
24972	9.02
9326	8.02
13885245	12.02
6524	20.04
28969	10.02
6967	8.0
8900	5.03
12229	7.02
9360	8.02
10253	10.0
8902	6.02
9350	8.02
7786	5.02
6999	10.0
15965	12.02
6088	1.01
10937	8.01
21106036	11.05
6977	9.0
10364	8.0
62489	8.02
10384035	9.03
11409	9.0
8243	22.04
