Compound Id	ChiCluster [SC-3]
26325084	12.071
26325083	10.864
18019	6.950
8521	6.743
26325082	9.657
10449	7.243
61149	2.232
2056044	3.065
26325081	8.450
26824	5.609
8520	5.536
10451	6.036
2041618	N/A
6191	2.5
26325080	7.243
76894	N/A
16425	8.165
6153	2.0
10784857	N/A
38403	1.978
14021447	6.036
9256	1.655
23101	4.328
10675065	0.977
10652594	N/A
10696	4.828
62827	1.339
11434292	N/A
21106179	0.577
122090	4.048
11557190	4.828
9095782	2.5
12577	1.561
9286	0.667
61346	3.121
6190	2.5
6270	0.707
9484	2.0
6105	0.0
16841	1.655
4927801	3.536
109705	4.531
9088156	4.048
56144	2.366
23150	3.121
108106	2.828
78828	3.621
6128	0.577
10452	3.621
10606755	2.366
3631	1.978
69569	4.328
15413	0.927
66656	N/A
9411	1.570
454209	1.561
10733068	4.755
17619	N/A
13837650	0.0
13853215	2.5
9392	2.5
66567	3.25
18971812	2.5
66655	2.768
68328	2.414
13299573	3.121
56117	1.207
12161	0.707
107412	1.339
67414	2.121
13803	0.927
14441700	1.561
10756390	3.828
68224	3.707
61213	1.561
9254	1.655
9016	1.655
73583	2.5
14998	1.561
2018165	0.408
6148	2.0
69914	2.780
11671339	2.841
29040	1.655
67991	3.121
454215	1.655
62826	1.339
7626	0.816
59573	1.207
6156	2.0
10106	0.927
10801109	0.754
512621	N/A
12933	0.707
11996	1.561
13835836	0.289
9633	0.0
15789876	1.683
18688	1.570
12586	0.927
71433	1.561
68503	0.707
937	0.0
692	0.0
23208	0.0
291	0.0
274	0.0
6084	0.0
6132	0.577
7956	0.0
6094	0.0
11749	0.408
7555	0.0
6120	0.577
7712	0.0
6308	0.408
9646	2.0
10781	1.570
15802	0.289
17976	1.969
7767	0.0
7604	0.408
7010	0.289
6163	1.561
6340	0.667
7671	1.105
9377	0.0
8560	0.0
11094	0.408
11023	0.289
11055	1.561
10786	0.569
7619	0.816
10755	1.207
11551	0.204
349	0.0
11035	0.289
11104	0.816
10795	0.859
10445	1.969
8569	0.0
11841	0.816
7073	0.977
123860	0.0
7849	0.0
17558	0.408
13439	3.121
13402	0.707
6287	0.927
10227261	1.394
14840	0.0
13448	3.121
12220	0.0
13619	0.0
7890	0.0
11882	0.0
11883	0.0
10540	0.0
7929	0.0
11897	0.0
11899	0.0
12017	0.0
12072	0.0
11900	0.0
11901	0.0
11146	0.0
11902	0.0
10542	0.0
11906	0.0
7823	0.0
13835376	0.0
55130	0.697
6188	2.5
127750	0.0
14299946	4.828
30713	0.667
14694	1.561
99596	1.655
11849	0.0
7757	0.289
21106169	1.561
20545	0.816
10441	0.0
14672	1.561
7511	0.289
10446	1.969
7657	0.697
22453	0.471
6151	2.0
7509	0.289
7872	0.408
10433	0.697
55084	0.289
7875	0.408
2062437	1.655
7065	0.569
11992	0.697
7913	0.408
10325078	2.5
92731	1.488
14256731	0.866
3168	0.0
11153	0.0
29005	0.289
7472	0.697
11207996	0.697
7694	0.289
11833	0.0
16388	1.276
455420	0.0
62249	1.570
10420	0.289
9243	0.0
55188	1.207
7482	0.289
11716	0.289
29016	0.816
7670	1.105
7340	0.204
7747	0.816
7624	0.816
7627	0.816
8568	0.408
14846	0.289
11045	0.289
11228	0.408
10709	0.0
109838	0.0
7478	0.289
10765	0.408
13849665	1.070
7800	0.289
11148	0.0
11843	0.408
923	0.0
7475	0.289
12201	0.408
7515	0.289
29012	0.408
10797	0.859
11109	0.0
7538	0.289
7536	0.289
12972	0.289
61266	2.147
24142	0.0
14829	2.0
23055	1.561
13622	0.0
7463	0.289
10571	0.569
16180	0.0
13836549	1.155
7891	0.0
12446	0.408
55123	0.0
10614293	1.969
29025	0.0
11755	0.408
12635	0.0
7706	0.408
7761	0.408
11121	0.0
