Compound Id	ALOGP [AMR]
11239	26.129
6165	25.143
11865	30.785
21011	23.583
4366810	40.675
512	16.742
11793	28.908
7811	26.479
7835	29.391
11216	32.673
13862665	26.576
932	30.645
22814	0.0
6341	22.306
11678	26.495
11543	31.952
62230	35.750
7533	38.023
13836399	30.042
10526	27.873
10422	37.763
12069	25.960
59483	45.574
13255	26.036
10179173	34.878
7701	23.490
6149	22.214
10790	29.041
71430	28.429
120464	31.272
172	11.718
11180	30.6
13865426	31.602
7434	35.064
259	20.579
7714	22.050
10512	24.961
7812	24.822
7769	23.568
7459	29.074
11024	27.534
7837	27.734
3644	17.760
16778	27.131
7705	28.803
191367	23.049
748	7.015
5091	61.341
10437	19.138
387	18.992
6312	21.545
6320	20.672
10947	23.583
6040	21.910
8398	24.622
960	55.518
6164	26.404
18410	36.615
7546	18.540
11756	15.231
7616	21.105
258	18.999
7716	20.656
7564	17.745
7024	23.262
7090	6.435
15438	30.792
11699	32.306
16791	33.564
6097	15.606
11799	20.137
6187	32.208
21800	31.797
18717	33.9
13837797	31.338
16641	12.293
10205670	12.654
12442	18.896
6186	32.208
60329	25.256
7790	17.559
1005	17.667
11210	31.299
6101	14.213
1004	16.087
2340753	24.581
10325184	24.406
24590970	29.165
11695	28.774
6102	11.623
13836591	23.599
7028	21.451
7615	17.226
13884973	32.646
7674	26.174
6406	26.418
682	12.555
13874867	27.308
10710415	32.135
6089	9.919
6087	11.312
6098	14.777
7733	20.397
9990	19.568
11727	12.858
7600	47.526
8896	14.558
7466	24.480
14751	29.252
1609	23.874
171	12.644
7727	20.962
71628	38.339
22408	0.0
7728	19.305
6338	13.694
13811	49.905
13871489	44.339
864	8.261
220998	47.349
221117	31.797
15765	31.797
11647	29.672
7506	48.385
7737	16.867
5439	18.783
7003	35.580
6322	20.843
13867413	22.736
553171	34.145
11525	24.92
8554	19.778
13571291	16.271
12066	16.897
7703	30.850
11265	39.048
12954	41.525
13229	46.617
59577	37.870
10053	28.1
10018	19.808
7787	17.470
26765	26.498
192642	28.225
11788	26.754
63156	27.699
122446	32.265
21181	29.409
26325090	33.326
13836520	30.920
6135	9.307
6309	24.576
12626	24.787
11632	35.702
9994	13.955
7636	21.652
13854944	26.280
7557	20.294
6125	20.660
120621	28.061
4449	26.886
55205	29.3
12445	32.366
14169248	32.587
7964	51.362
6193	54.274
62597	20.336
7559	16.366
7677	22.178
12197	17.911
13836674	20.475
11761	38.184
29015	22.087
9642	14.257
156255	23.975
20119	26.388
6118	23.794
363458	28.352
7684	29.063
71390	19.338
8544	22.134
12219	39.591
6307	27.579
7848	36.680
13816	23.586
15077490	29.468
19956441	25.474
12637	35.580
13872989	17.424
11752	22.856
8577	42.595
278	8.572
61487	31.177
11863	33.768
5708	28.638
10536	40.662
14349	39.684
7810	30.856
391	0.0
13835977	19.082
6334	18.563
592	19.005
13871721	23.328
374462	21.063
558883	26.198
56020	26.198
8908	20.381
376	32.272
10025	35.183
5004	41.007
2275	15.553
4446445	35.623
10124	28.858
7852	36.772
3951	21.649
7530	36.038
7766	27.945
6333	17.291
14680	33.861
7827	34.839
4514529	0.0
13835316	20.461
7711	25.033
12499	6.927
19953955	22.562
21109330	32.665
13638	27.282
72056	43.670
10948	22.050
7815	30.949
71312	27.358
2293678	27.450
2018460	31.743
29107	24.259
21169510	37.221
7552	22.122
5993	20.187
13835293	28.178
62589	27.083
7738	1.619
7686	26.044
7480	25.438
7776	28.037
127983	2.243
1087	2.886
6092	18.590
6042	26.217
6316	25.24
8878	28.278
34095	37.846
7568	16.376
10340	7.352
4444608	29.8
10939	29.524
11107	26.377
13835224	19.138
8141	20.268
9233	27.775
23621376	19.030
21111806	1.745
69371	42.471
66565	2.367
18685	34.935
15443	27.554
844	18.988
18607	27.013
11930	32.729
62628	32.023
67653	38.125
7030	17.067
11875	29.112
7721	25.126
2656	44.033
