Compound Id	XY Shadow/XYplane
AMF1	0.59
AMF2	0.51
AMF3	0.61
AMF4	0.66
AMF5	0.7
AMF6	0.65
AMF7	0.61
AMF8	0.58
AMF9	0.65
AMF10	0.65
AMF11	0.63
AMF12	0.65
AMF13	0.55
AMF14	0.62
AMF15	0.61
AMF16	0.59
AMF17	0.6
AMF18	0.63
AMF19	0.67
AMF20	0.53
AMF21	0.61
AMF22	0.55
AMF23	0.61
AMF24	0.67
AMF25	0.66
AMF26	0.61
AMF27	0.51
AMF28	0.66
AMF29	0.62
AMF30	0.61
AMF31	0.65
AMF32	0.68
AMF33	0.52
AMF34	0.67
AMF35	0.63
AMF36	0.58
AMF37	0.65
AMF38	0.65
AMF39	0.57
AMF40	0.69
AMF41	0.58
AMF42	0.48
AMF43	0.54
AMF44	0.69
AMF45	0.56
AMF46	0.62
AMF47	0.6
AMF48	0.6
AMF49	0.52
AMF50	0.5
AMF51	0.55
AMF52	0.57
AMF53	0.71
AMF54	0.52
AMF55	0.48
AMF56	0.59
AMF57	0.55
AMF58	0.55
AMF59	0.68
AMF60	0.6
