Compound Id	Logarithmic octanol-water partition coefficient
AMF1	-1.56
AMF2	-1.85
AMF3	0.87
AMF4	1.35
AMF5	0.3
AMF6	-2.1
AMF7	-0.58
AMF8	-1.3
AMF9	0.65
AMF10	-0.62
AMF11	0.28
AMF12	-0.3
AMF13	0.89
AMF14	-0.7
AMF15	-0.2
AMF16	-0.2
AMF17	-0.64
AMF18	2
AMF19	-0.7
AMF20	3.09
AMF21	-0.3
AMF22	4.3
AMF23	-0.5
AMF24	3.43
AMF25	-1.9
AMF26	2.09
AMF27	2
AMF28	0.36
AMF29	-1.03
AMF30	-0.39
AMF31	0.9
AMF32	-0.9
AMF33	0.1
AMF34	3.06
AMF35	-0.77
AMF36	1.9
AMF37	1.4
AMF38	0.3
AMF39	0.3
AMF40	0.24
AMF41	-0.96
AMF42	1
AMF43	-0.09
AMF44	1.63
AMF45	0.7
AMF46	0.14
AMF47	0.19
AMF48	0.54
AMF49	0.89
AMF50	0.32
AMF51	0.7
AMF52	1.3
AMF53	-0.62
AMF54	0.35
AMF55	1.68
AMF56	0.05
AMF57	1.01
AMF58	6.9
AMF59	-1.3
AMF60	2.7
