Compound Id	Average bonding information content (order 2)
AMF1	0.9
AMF2	0.88
AMF3	0.83
AMF4	0.81
AMF5	0.84
AMF6	0.88
AMF7	0.91
AMF8	0.92
AMF9	0.86
AMF10	0.87
AMF11	0.81
AMF12	0.84
AMF13	0.79
AMF14	0.87
AMF15	0.79
AMF16	0.79
AMF17	0.85
AMF18	0.78
AMF19	0.91
AMF20	0.82
AMF21	0.82
AMF22	0.81
AMF23	0.8
AMF24	0.86
AMF25	0.83
AMF26	0.88
AMF27	0.82
AMF28	0.92
AMF29	0.79
AMF30	0.82
AMF31	0.8
AMF32	0.86
AMF33	0.79
AMF34	0.86
AMF35	0.8
AMF36	0.86
AMF37	0.78
AMF38	0.78
AMF39	0.79
AMF40	0.81
AMF41	0.81
AMF42	0.85
AMF43	0.87
AMF44	0.81
AMF45	0.81
AMF46	0.85
AMF47	0.8
AMF48	0.83
AMF49	0.84
AMF50	0.84
AMF51	0.86
AMF52	0.79
AMF53	0.78
AMF54	0.84
AMF55	0.87
AMF56	0.85
AMF57	0.79
AMF58	0.76
AMF59	0.86
AMF60	0.79
