Compound Id	First-order difference in charged partial surface areas (MOPAC PC)
AMF1	92.43
AMF2	103.09
AMF3	138.43
AMF4	147.73
AMF5	270.35
AMF6	113.44
AMF7	70.91
AMF8	156.86
AMF9	171.09
AMF10	58.55
AMF11	190.19
AMF12	199.29
AMF13	102.18
AMF14	153.85
AMF15	174.97
AMF16	242.48
AMF17	256.41
AMF18	169.85
AMF19	33.65
AMF20	210.43
AMF21	215.9
AMF22	350.15
AMF23	223.3
AMF24	85.46
AMF25	71.31
AMF26	214.55
AMF27	315.42
AMF28	-28.31
AMF29	194.53
AMF30	248.59
AMF31	199.02
AMF32	114.07
AMF33	249.23
AMF34	24.7
AMF35	131.76
AMF36	260.91
AMF37	344.99
AMF38	256.18
AMF39	81.09
AMF40	223.19
AMF41	104.53
AMF42	104.83
AMF43	113.39
AMF44	173.94
AMF45	194.86
AMF46	127.59
AMF47	187.27
AMF48	122.18
AMF49	101.46
AMF50	111.25
AMF51	149.28
AMF52	157.42
AMF53	101.27
AMF54	97.02
AMF55	54.15
AMF56	125.76
AMF57	128.09
AMF58	232.99
AMF59	164.74
AMF60	371.05
