Compound Id	nBondsM
1	12
2	7
3	8
4	0
5	0
6	1
7	1
8	6
9	1
10	1
11	12
12	1
13	7
14	0
15	1
16	0
17	0
18	7
19	0
20	0
21	0
22	6
23	12
24	13
25	0
26	0
27	0
28	1
29	0
30	0
31	0
32	1
33	1
34	2
35	1
36	0
37	2
38	8
39	8
40	16
41	14
42	13
43	13
44	6
45	6
46	7
47	7
48	8
49	6
50	11
51	11
52	11
53	11
54	13
55	7
56	7
57	10
58	6
59	6
60	6
61	6
62	6
63	6
64	6
65	6
66	6
67	0
68	1
69	6
70	7
71	7
72	7
73	7
74	6
75	7
76	6
77	6
78	12
79	7
80	6
81	6
82	6
83	6
84	2
85	0
86	1
87	2
88	1
89	0
90	1
91	1
92	2
93	1
94	6
95	0
96	6
97	6
98	6
99	6
100	6
101	6
102	0
103	1
104	6
105	6
106	1
107	0
108	0
109	5
110	5
111	1
112	1
113	6
114	0
115	0
116	0
117	0
118	7
119	2
120	7
121	7
122	13
123	16
124	6
125	6
126	6
127	8
128	6
129	3
130	12
131	1
132	1
133	1
134	0
135	2
136	8
137	15
138	11
139	2
140	1
141	1
142	8
143	2
144	0
145	7
146	7
147	7
148	6
149	6
150	8
151	6
152	6
153	1
154	2
155	1
156	6
157	2
158	1
159	6
160	6
161	1
162	7
163	0
164	7
165	13
166	2
167	2
168	6
169	13
170	15
171	12
172	7
173	13
174	13
175	13
176	12
177	12
178	12
179	12
180	7
