Compound Id	48-h Tetrahymena toxicity as log(1/IGC50)
1	-2.77
2	-2.41
3	-1.99
4	-1.84
5	-1.64
6	-1.47
7	-1.52
8	-1.12
9	-0.47
10	0.02
11	0.51
12	0.77
13	1.10
14	1.87
15	2.07
16	-2.31
17	-1.84
18	-1.26
19	-1.53
20	-1.54
21	-1.31
22	-1.43
23	-0.70
24	-0.75
25	-0.23
26	0.58
27	-0.01
28	0.50
29	1.43
30	0.12
31	-0.22
32	-0.09
33	0.04
34	0.75
35	0.20
36	0.76
37	0.24
38	0.91
39	1.14
40	0.88
41	1.05
42	1.35
43	1.38
44	2.34
45	-0.14
46	-0.43
47	-0.27
48	-0.67
49	0.19
50	-0.27
51	0.28
52	-0.03
53	0.55
54	0.21
55	0.35
56	0.76
57	1.04
58	0.64
59	0.91
60	1.09
61	1.70
62	1.36
63	1.23
64	1.60
65	2.40
