ID,InchiCode
61,"InChI=1/C12H27OPS3/c1-4-7-10-15-14(13,16-11-8-5-2)17-12-9-6-3/h4-12H2,1-3H3"
62,"InChI=1/C9H14O/c1-7-4-8(10)6-9(2,3)5-7/h4H,5-6H2,1-3H3"
63,"InChI=1/C3H6Cl2/c1-3(5)2-4/h3H,2H2,1H3"
64,"InChI=1/C2H3Cl3/c3-1-2(4)5/h2H,1H2"
65,InChI=1/C2HCl3/c3-1-2(4)5/h1H
66,InChI=1/C2H2Cl4/c3-1(4)2(5)6/h1-2H
67,"InChI=1/C19H16O4/c1-12(20)11-15(13-7-3-2-4-8-13)17-18(21)14-9-5-6-10-16(14)23-19(17)22/h2-10,15,22H,11H2,1H3"
68,"InChI=1/C15H11NO2/c1-8-6-7-11-12(13(8)16)15(18)10-5-3-2-4-9(10)14(11)17/h2-7H,16H2,1H3"
69,InChI=1/C6Cl5NO2/c7-1-2(8)4(10)6(12(13)14)5(11)3(1)9
70,"InChI=1/C12H10/c1-3-9-4-2-6-11-8-7-10(5-1)12(9)11/h1-6H,7-8H2"
71,InChI=1/C14H8O2/c15-13-9-5-1-2-6-10(9)14(16)12-8-4-3-7-11(12)13/h1-8H
72,"InChI=1/C12H14O4/c1-3-15-11(13)9-7-5-6-8-10(9)12(14)16-4-2/h5-8H,3-4H2,1-2H3"
73,"InChI=1/C16H22O4/c1-11(2)9-19-15(17)13-7-5-6-8-14(13)16(18)20-10-12(3)4/h5-8,11-12H,9-10H2,1-4H3"
74,"InChI=1/C16H22O4/c1-3-5-11-19-15(17)13-9-7-8-10-14(13)16(18)20-12-6-4-2/h7-10H,3-6,11-12H2,1-2H3"
75,"InChI=1/C20H30O4/c1-3-5-7-11-15-23-19(21)17-13-9-10-14-18(17)20(22)24-16-12-8-6-4-2/h9-10,13-14H,3-8,11-12,15-16H2,1-2H3"
76,InChI=1/C14H10/c1-3-7-13-11(5-1)9-10-12-6-2-4-8-14(12)13/h1-10H
77,InChI=1/C13H9N/c1-2-5-11-10(4-1)7-8-13-12(11)6-3-9-14-13/h1-9H
78,"InChI=1/C8H5Br5/c1-2-3-4(9)6(11)8(13)7(12)5(3)10/h2H2,1H3"
79,"InChI=1S/C8H5Cl3O2/c9-5-1-2-6(10)8(11)4(5)3-7(12)13/h1-2H,3H2,(H,12,13)"
80,InChI=1/C8H4O3/c9-7-5-3-1-2-4-6(5)8(10)11-7/h1-4H
81,"InChI=1/C19H20O4/c1-2-3-13-22-18(20)16-11-7-8-12-17(16)19(21)23-14-15-9-5-4-6-10-15/h4-12H,2-3,13-14H2,1H3"
82,"InChI=1/C18H24O6/c1-3-5-11-22-16(19)13-24-18(21)15-10-8-7-9-14(15)17(20)23-12-6-4-2/h7-10H,3-6,11-13H2,1-2H3"
83,InChI=1/C12H10N2O/c15-13-14(11-7-3-1-4-8-11)12-9-5-2-6-10-12/h1-10H
84,"InChI=1/C10H12N3O3PS2/c1-15-17(18,16-2)19-7-13-10(14)8-5-3-4-6-9(8)11-12-13/h3-6H,7H2,1-2H3"
85,"InChI=1/C13H10/c1-3-7-12-10(5-1)9-11-6-2-4-8-13(11)12/h1-8H,9H2"
86,"InChI=1/C12H9N/c1-3-7-11-9(5-1)10-6-2-4-8-12(10)13-11/h1-8,13H"
87,"InChI=1/C12H11NO/c13-12(14)8-10-6-3-5-9-4-1-2-7-11(9)10/h1-7H,8H2,(H2,13,14)/f/h13H2"
88,"InChI=1/C12H10O2/c13-12(14)8-10-6-3-5-9-4-1-2-7-11(9)10/h1-7H,8H2,(H,13,14)/f/h13H"
89,InChI=1/C6H3Cl3/c7-4-2-1-3-5(8)6(4)9/h1-3H
90,InChI=1/C6HCl5O/c7-1-2(8)4(10)6(12)5(11)3(1)9/h12H
91,"InChI=1/C6H3Cl3O/c7-3-1-4(8)6(10)5(9)2-3/h1-2,10H"
92,"InChI=1/C6H5NO3/c8-6-4-2-1-3-5(6)7(9)10/h1-4,8H"
93,"InChI=1/C10H12N2O5/c1-3-6(2)8-4-7(11(14)15)5-9(10(8)13)12(16)17/h4-6,13H,3H2,1-2H3"
94,"InChI=1/C8H6O4/c9-7(10)5-3-1-2-4-6(5)8(11)12/h1-4H,(H,9,10)(H,11,12)/f/h9,11H"
95,"InChI=1/C7H8O2/c1-9-7-5-3-2-4-6(7)8/h2-5,8H,1H3"
96,"InChI=1/C11H10/c1-9-5-4-7-10-6-2-3-8-11(9)10/h2-8H,1H3"
97,"InChI=1/C10H8O/c11-10-7-3-5-8-4-1-2-6-9(8)10/h1-7,11H"
98,"InChI=1/C17H20N2O/c1-18(2)15-9-5-13(6-10-15)17(20)14-7-11-16(12-8-14)19(3)4/h5-12H,1-4H3"
99,"InChI=1/C13H12O/c14-13(11-7-3-1-4-8-11)12-9-5-2-6-10-12/h1-10,13-14H"
100,"InChI=1/C8H10O2/c1-9-7-5-3-4-6-8(7)10-2/h3-6H,1-2H3"
101,InChI=1/C10H8/c1-2-6-10-8-4-3-7-9(10)5-1/h1-8H
102,InChI=1/C9H7N/c1-2-6-9-8(4-1)5-3-7-10-9/h1-7H
103,"InChI=1/C11H10/c1-9-6-7-10-4-2-3-5-11(10)8-9/h2-8H,1H3"
104,"InChI=1/C10H15N/c1-3-11(4-2)10-8-6-5-7-9-10/h5-9H,3-4H2,1-2H3"
105,"InChI=1/C14H19N3S/c1-16(2)9-10-17(12-13-6-5-11-18-13)14-7-3-4-8-15-14/h3-8,11H,9-10,12H2,1-2H3"
106,"InChI=1/C12H10Cl2N2/c13-9-5-7(1-3-11(9)15)8-2-4-12(16)10(14)6-8/h1-6H,15-16H2"
107,InChI=1/C18H12/c1-2-6-14-10-18-12-16-8-4-3-7-15(16)11-17(18)9-13(14)5-1/h1-12H
108,InChI=1/C12H10/c1-3-7-11(8-4-1)12-9-5-2-6-10-12/h1-10H
109,InChI=1/C12H8N2/c1-2-6-10-9(5-1)13-11-7-3-4-8-12(11)14-10/h1-8H
110,"InChI=1/C12H12N2/c13-11-5-1-9(2-6-11)10-3-7-12(14)8-4-10/h1-8H,13-14H2"
111,"InChI=1/C14H12O/c1-11(15)12-7-9-14(10-8-12)13-5-3-2-4-6-13/h2-10H,1H3"
112,"InChI=1/C12H10O/c1-9(13)11-7-6-10-4-2-3-5-12(10)8-11/h2-8H,1H3"
113,"InChI=1/C8H8O2/c1-10-8(9)7-5-3-2-4-6-7/h2-6H,1H3"
114,"InChI=1/C9H7Cl3O3/c1-4(9(13)14)15-8-3-6(11)5(10)2-7(8)12/h2-4H,1H3,(H,13,14)/f/h13H"
115,"InChI=1S/C8H5Cl3O3/c9-4-1-6(11)7(2-5(4)10)14-3-8(12)13/h1-2H,3H2,(H,12,13)"
116,"InChI=1/C9H10O2/c1-2-11-9(10)8-6-4-3-5-7-8/h3-7H,2H2,1H3"
117,InChI=1/C13H10O2/c14-13(11-7-3-1-4-8-11)15-12-9-5-2-6-10-12/h1-10H
118,"InChI=1/C10H12O2/c1-3-12-10(11)9-6-4-8(2)5-7-9/h4-7H,3H2,1-2H3"
119,"InChI=1/C10H10O2/c1-2-3-8-4-5-9-10(6-8)12-7-11-9/h2,4-6H,1,3,7H2"
120,"InChI=1/C9H9ClO3/c1-6-4-7(10)2-3-8(6)13-5-9(11)12/h2-4H,5H2,1H3,(H,11,12)/f/h11H"
121,"InChI=1/C8H6Cl2O3/c9-5-1-2-7(6(10)3-5)13-4-8(11)12/h1-3H,4H2,(H,11,12)/f/h11H"
122,InChI=1S/C6H4N3/c1-2-4-6-5(3-1)7-9-8-6/h1-4H
123,InChI=1/C8H6S/c1-2-4-8-7(3-1)5-6-9-8/h1-6H
124,"InChI=1/C8H10/c1-7-5-3-4-6-8(7)2/h3-6H,1-2H3"
125,"InChI=1/C7H8O/c1-6-4-2-3-5-7(6)8/h2-5,8H,1H3"
126,"InChI=1/C7H7Cl/c1-6-4-2-3-5-7(6)8/h2-5H,1H3"
127,InChI=1/C6H4Cl2/c7-5-3-1-2-4-6(5)8/h1-4H
128,"InChI=1/C6H5ClO/c7-5-3-1-2-4-6(5)8/h1-4,8H"
129,"InChI=1/C9H12/c1-7-4-5-8(2)9(3)6-7/h4-6H,1-3H3"
130,"InChI=1/C6H5Cl2N/c7-5-2-1-4(9)3-6(5)8/h1-3H,9H2"
131,"InChI=1/C6H4Cl2O/c7-5-2-1-4(9)3-6(5)8/h1-3,9H"
132,"InChI=1/C10H14/c1-7-5-9(3)10(4)6-8(7)2/h5-6H,1-4H3"
133,InChI=1/C6H2Cl4/c7-3-1-4(8)6(10)2-5(3)9/h1-2H
134,"InChI=1/C6H3Cl3O/c7-3-1-5(9)6(10)2-4(3)8/h1-2,10H"
135,"InChI=1/C3H5Br2Cl/c4-1-3(5)2-6/h3H,1-2H2"
136,"InChI=1/C7H6F3N/c8-7(9,10)5-2-1-3-6(11)4-5/h1-4H,11H2"
137,"InChI=1/C8H10O/c1-7(9)8-5-3-2-4-6-8/h2-7,9H,1H3"
138,"InChI=1/C8H8O/c1-7(9)8-5-3-2-4-6-8/h2-6H,1H3"
139,InChI=1/C6H5NO2/c8-7(9)6-4-2-1-3-5-6/h1-5H
140,"InChI=1/C6H6N2O2/c7-5-2-1-3-6(4-5)8(9)10/h1-4H,7H2"
141,"InChI=1/C6H4Cl2N2O2/c7-4-1-3(10(11)12)2-5(8)6(4)9/h1-2H,9H2"
142,"InChI=1/C7H4N2O6/c10-7(11)4-1-5(8(12)13)3-6(2-4)9(14)15/h1-3H,(H,10,11)/f/h10H"
143,InChI=1S/C6H3N3O6/c10-7(11)4-1-5(8(12)13)3-6(2-4)9(14)15/h1-3H
144,InChI=1/C6H3Cl2NO2/c7-5-2-1-4(9(10)11)3-6(5)8/h1-3H
145,InChI=1/C6H4N2O4/c9-7(10)5-2-1-3-6(4-5)8(11)12/h1-4H
146,"InChI=1/C9H9NO4/c1-2-14-9(11)7-3-5-8(6-4-7)10(12)13/h3-6H,2H2,1H3"
147,"InChI=1/C8H8O2/c1-6-2-4-7(5-3-6)8(9)10/h2-5H,1H3,(H,9,10)/f/h9H"
148,"InChI=1/C7H6O3/c8-6-3-1-5(2-4-6)7(9)10/h1-4,8H,(H,9,10)/f/h9H"
149,"InChI=1/C6H6N2O2/c7-5-1-3-6(4-2-5)8(9)10/h1-4H,7H2"
150,"InChI=1/C6H5NO3/c8-6-3-1-5(2-4-6)7(9)10/h1-4,8H"
151,"InChI=1/C8H10/c1-2-8-6-4-3-5-7-8/h3-7H,2H2,1H3"
152,"InChI=1/C8H8/c1-2-8-6-4-3-5-7-8/h2-7H,1H2"
