Compound Id	1-path Kier alpha-modified shape index
1	10.221
2	11.765
3	9.668
4	8.332
5	9.609
6	9.05
7	9.05
8	7.573
9	8.118
10	12.323
11	12.323
12	11.424
13	10.81
14	12.323
15	12.323
16	12.323
17	10.221
18	10.81
19	9.668
20	12.323
21	10.221
22	12.323
23	8.709
24	10.221
25	12.323
26	12.323
27	10.221
28	12.323
29	10.221
30	12.323
31	6.013
32	11.765
33	11.765
34	9.668
35	9.668
36	11.765
37	12.323
38	9.005
39	9.318
40	7.514
41	9.943
42	9.254
43	12.21
44	10.419
45	8.487
46	10.419
47	11.129
48	11.129
49	11.649
50	11.649
51	10.164
52	10.573
53	12.323
54	10.419
55	8.061
56	10.781
57	10.781
58	10.419
59	9.005
60	8.709
61	9.005
62	11.105
63	11.649
64	12.779
65	12.779
66	9.517
67	12.779
68	11.707
69	12.323
70	11.367
