Compound Id	LogPL
1	-0.79
2	-0.89
7	-1.78
8	-1.86
10	-1.56
11	-1.8
12	-1.92
13	-1.95
15	-2.01
17	-2.68
18	-2.68
28	-2.8
30	-2.34
32	-2.65
33	-2.75
35	-2.86
37	-2.99
39	-2.68
47	-3.5
66	-3.62
69	-3.4
75	-3.31
77	-3.81
82	-4.19
85	-4.29
99	-4.17
100	-4.43
115	-4.52
116	-4.29
119	-4.29
128	-5.17
153	-5.07
190	-6.04
197	-6.77
