Compound Id	96-h Fathead minnow toxicity as log(1/LC50)
1	0.46
2	0.89
3	0.82
4	0.87
5	1.02
6	1.22
7	1.07
8	1.09
9	-1.59
10	0.95
11	1.46
12	1.80
13	1.44
14	1.08
15	0.34
16	0.22
17	0.05
18	1.58
19	0.97
20	1.32
21	1.42
22	1.96
23	1.32
24	1.61
25	2.35
26	2.75
27	2.29
28	1.70
29	-0.06
30	0.67
31	1.74
32	1.23
33	2.65
34	2.06
35	-0.09
36	-0.17
37	0.22
38	1.16
39	1.34
40	1.81
41	1.35
42	1.73
43	2.93
44	0.69
45	0.77
46	0.78
47	0.85
48	1.28
49	1.19
50	1.83
51	1.94
52	1.90
53	0.82
54	1.19
55	1.78
56	2.80
57	1.74
58	2.73
59	0.94
60	0.02
61	0.73
62	0.70
63	0.92
64	0.73
65	2.37
66	0.88
67	3.71
68	3.09
69	0.84
70	-0.58
71	0.52
72	0.38
73	0.11
74	1.59
75	0.78
76	2.16
77	0.29
78	0.21
79	0.61
80	0.56
81	0.81
82	0.04
83	3.04
84	3.20
85	3.72
86	1.33
87	3.23
88	3.58
89	3.63
90	2.78
91	2.64
92	3.00
93	0.53
