Compound Id	Alpha-polarisability
1	21.3
2	21.7
3	51.4
4	39.5
5	26.5
6	44.5
7	27
8	26.1
9	27.1
10	28.7
11	26.1
12	27.3
14	33.3
15	18.4
16	26.2
17	38
18	31.7
19	42.4
20	21.4
21	25
22	38.6
23	28.1
24	27.2
26	42.8
27	17.7
28	26.5
29	26.8
30	24.8
31	23.9
32	32.5
33	32.1
34	29.7
35	29.4
36	26.7
37	37.5
38	27.6
39	31.2
