Compound Id	Heat of formation of the corresponding parent phenol as Hfp/10
Tab1-1	-1.97
Tab1-2	0.87
Tab1-3	-0.65
Tab1-4	-6
Tab1-5	-11.31
Tab1-6	-2.24
Tab1-7	-1.78
Tab1-8	-2.95
Tab1-9	-6.72
Tab1-10	-12.12
Tab1-11	-10.67
Tab1-12	-3
Tab1-13	-9.84
Tab1-14	-10.48
Tab1-15	-6.68
Tab1-16	-5.96
Tab1-17	-6.77
Tab1-18	-9.41
Tab1-19	-12.88
Tab1-20	-8.07
Tab1-21	-15.6
Tab1-22	-9.56
Tab1-23	-11.09
Tab1-24	-19.99
Tab1-25	-14.26
Tab1-26	-6.65
Tab1-27	-7.4
Tab1-28	-18.22
Tab1-29	-6.59
Tab1-30	-2.18
Tab1-31	4.14
Tab2-1	-3.56
Tab2-2	-17.91
Tab2-3	-1.76
Tab2-4	-1.62
Tab2-5	0.97
Tab2-6	-5.86
Tab2-7	-3
Tab2-8	-3.76
Tab2-9	0.51
Tab2-10	-2.91
Tab2-11	-4.09
Tab2-12	-5.77
Tab2-13	-3.62
Tab3-1	-7.4
Tab3-2	-16.42
Tab3-3	-6.32
Tab3-4	-8.06
Tab3-5	-17.07
Tab3-6	-8.77
Tab3-7	-9.76
Tab3-8	-8.7
Tab3-9	-8.61
Tab3-10	-8.58
Tab3-11	-17.67
Tab3-12	-9.43
Tab3-13	-17.79
Tab3-14	-17.64
Tab3-15	-10.29
Tab3-16	-7.68
Tab3-17	-9.2
Tab3-18	-18.22
Tab3-19	-9.27
Tab3-20	-8.26
Tab3-21	-8.67
Tab3-22	-6.09
Tab3-23	-15.04
