Compound Id	Energy of the lowest unoccupied molecular orbital of the radical
Tab1-1	-9.04
Tab1-2	-8.59
Tab1-3	-8.3
Tab1-4	-8.39
Tab1-5	-8.61
Tab1-6	-8.27
Tab1-7	-8.29
Tab1-8	-8.17
Tab1-9	-8.25
Tab1-10	-7.75
Tab1-11	-8.56
Tab1-12	-7.88
Tab1-13	-8.13
Tab1-14	-8.34
Tab1-15	-8.36
Tab1-16	-7.33
Tab1-17	-7.12
Tab1-18	-7.2
Tab1-19	-7.04
Tab1-20	-7.7
Tab1-21	-8.08
Tab1-22	-7.1
Tab1-23	-7.59
Tab1-24	-7.91
Tab1-25	-7.69
Tab1-26	-7.78
Tab1-27	-7.53
Tab1-28	-6.42
Tab1-29	-7.64
Tab1-30	-6.89
Tab1-31	-4.22
Tab2-1	-8.55
Tab2-2	-8.8
Tab2-3	-8.83
Tab2-4	-8.13
Tab2-5	-8.56
Tab2-6	-8.31
Tab2-7	-8.15
Tab2-8	-8.03
Tab2-9	-7.24
Tab2-10	-7.93
Tab2-11	-7.72
Tab2-12	-7.41
Tab2-13	-7.69
