Compound Id	logKoc
1	0.44
2	0.2
3	0.48
4	0.5
5	0.36
6	0.7
7	1.01
8	1.14
9	1.56
10	1.89
11	2.59
12	3.5
13	1.34
14	1.4
15	1.7
16	1.8
17	1.9
18	2.2
19	2.2
20	1.9
21	1.9
22	1.5
23	1.5
24	1.7
25	2
26	1.8
27	1.9
28	1.7
29	3.3
30	1.7
31	1.85
32	1.8
33	1.8
34	2
35	2.5
36	1.5
37	1.51
38	1.97
39	2.06
40	2.61
41	3.02
42	4.19
43	1.89
44	1.9
45	2.48
46	3.67
47	3.2
48	3.04
49	3.3
50	3.4
51	4.69
52	3.54
53	4.55
54	4.08
55	4.02
56	4.13
57	5.15
58	3.1
59	4.2
60	6
61	1.9
62	2.2
63	3
64	2.3
65	2.4
66	2.8
67	2.5
68	3.6
69	2.9
70	3.6
71	2.8
72	3.6
73	2.8
74	3.4
75	3.1
76	4.2
77	4.1
78	2.4
79	2.3
80	3.1
81	2.6
82	2.5
83	2.5
84	2.5
85	3.3
86	3.1
87	2.9
88	3.8
89	3.4
90	3.2
91	4.4
92	3.8
93	4.92
94	1.94
95	2.42
96	2.53
97	2.6
98	4.05
99	4.23
100	4.3
101	2.48
102	1.6
103	2.74
104	1.3
105	2.7
106	3.7
107	3.6
108	3.98
109	4
110	3.94
111	3.63
112	3.6
113	4.37
114	3.61
115	4.03
116	3.4
117	4.01
118	3.55
119	4
120	1.43
121	1.3
122	1.5
123	2.7
124	2.8
125	3.6
126	1.56
127	1.5
128	1.8
129	3.84
130	2.1
131	2.37
132	1.7
133	2.7
134	2.6
135	2.54
136	1.9
137	2.41
138	2.66
139	2.81
140	3.09
141	2.83
142	3.61
143	3.36
144	3.03
145	3.56
146	2.9
147	3.35
148	4.55
149	2.8
150	2.85
151	3.6
152	2.72
153	1.6
154	2.1
155	0.98
156	1.41
157	2.28
158	1.41
159	1.9
160	1.96
161	1.96
162	2.26
163	2.72
164	3.25
165	2.29
166	2.49
167	2.36
168	2.6
169	3.03
170	3.94
171	4.62
172	1.93
173	2.74
174	1.73
175	1.88
176	3
177	2.55
178	2.56
179	2.3
180	2.08
181	0
182	1.46
183	0.4
184	1.45
185	1.8
186	2.2
187	1.73
188	1.3
189	1.66
190	3
191	1.99
192	2.5
193	1.5
194	1.77
195	1.43
196	2.1
197	1.48
198	1.5
199	1.54
200	1.53
201	1.9
202	2.3
203	2.74
204	1.37
205	1.3
206	1.67
207	2
208	1.52
209	2.09
210	2.79
211	1.07
212	3.3
213	3.5
214	2.1
215	2.3
216	2.59
217	1.6
218	3.16
219	1.84
220	3.14
221	3.14
222	2.54
223	3.21
224	3.7
225	3.7
226	4.72
227	3.7
228	4.94
229	4.38
230	4.16
231	3.21
232	3.27
233	3.47
234	4.4
235	3.92
236	4.56
237	4.3
238	4.84
239	4.63
240	4.23
241	4.8
242	4.9
243	4.86
244	4.6
245	4.62
246	5.7
247	6
248	6.48
249	5.9
250	5.95
251	4.87
252	4.9
253	5.89
254	2.88
255	3.5
256	3.4
257	3.75
258	3.59
259	3.8
260	3.8
261	4.1
262	3.7
263	4.31
264	4.35
265	4.81
266	4.8
267	4.9
268	5.5
269	5.81
270	5.3
271	5.5
272	5.4
273	5
274	5.8
275	6.1
276	5.37
277	6.1
278	5.5
279	6.2
280	5.4
281	6.22
282	6
283	5.71
284	1.43
285	1.45
286	1.57
287	1.48
288	1.71
289	1.4
290	1.95
291	1.75
292	1.58
293	1.6
294	1.86
295	1.94
296	1.95
297	2.01
298	2.34
299	2.17
300	2.76
301	3.14
302	2.42
303	2.28
304	2.32
305	1.57
306	2.46
307	2.86
308	3.1
309	1.35
310	1.56
311	1.32
312	1.77
313	1.52
314	1.75
315	1.61
316	2.01
317	2
318	2.53
319	2.12
320	2.06
321	2.37
322	1.98
323	2.56
324	1.29
325	1.93
326	2.1
327	2.46
328	1.84
329	1.74
330	1.93
331	2.07
332	2.37
333	2.31
334	1.4
335	1.51
336	1.43
337	1.73
338	1.73
339	1.4
340	1.72
341	1.79
342	1.95
343	2.1
344	2.02
345	1.72
346	1.82
347	2.21
348	2.53
349	3.4
350	3.55
351	1.84
352	2.7
353	2.1
354	2.7
355	1.73
356	1.82
357	1.83
358	2.06
359	2.26
360	2.61
361	2.53
362	2.7
363	2.21
364	3.18
365	3.38
366	1.48
367	1.66
368	1.44
369	1.4
370	1.94
371	2.07
372	1.89
373	1.7
374	1.71
375	2.6
376	1.71
377	2.4
378	1.67
379	2.15
380	2.74
381	1.75
382	2.75
383	2.32
384	1.12
385	1.78
386	1.51
387	0.53
388	1.45
389	1.95
390	1.93
391	2.31
392	1.68
393	1.5
394	1.54
395	1.76
396	1.68
397	1.83
398	1.9
399	2.17
400	2.31
401	2.01
402	1.56
403	1.18
404	1.45
405	1.6
406	2.01
407	2.8
408	2.1
409	2.32
410	2.62
411	3.48
412	3.76
413	2.85
414	2.14
415	1.9
416	2.08
417	2.78
418	2.71
419	1.25
420	2.71
421	3.39
422	2.7
423	2.47
424	3.73
425	1.88
426	0.45
427	1.66
428	2.17
429	2.08
430	2.11
431	1.46
432	1.73
433	1.6
434	3.28
435	2.04
436	1.83
437	3
438	2.87
439	3.48
440	2.4
441	3.51
442	1.69
443	2.35
444	2.16
445	2.71
446	3.98
447	3.48
448	2.8
449	1.87
450	1.8
451	2.25
452	1.98
453	2.33
454	3.24
455	3.36
456	4.05
457	3.09
458	3.1
459	3.91
460	3.4
461	4.64
462	4.18
463	3.37
464	4.39
465	4.02
466	6.03
467	6.02
468	2.3
469	2.34
470	3
471	2.1
472	2.64
473	2.24
474	2.6
475	2.78
476	2.59
477	2.76
478	2.4
479	2.32
480	2.85
481	2.28
482	2.85
483	2.91
484	3.07
485	3
486	1.2
487	2.7
488	2.82
489	1.53
490	2.18
491	2.91
492	2.28
493	3.22
494	4.67
495	2.18
496	4.08
497	2.36
498	4.66
499	3.44
500	2.63
501	4.06
502	3.5
503	3
504	2.63
505	3.18
506	3.2
507	3.18
508	2.75
509	3
510	2.52
511	2.01
512	2.7
513	3.52
514	3.12
515	2.17
516	2.78
517	3.7
518	3.8
519	4.5
520	5
521	1.9
522	2.4
523	3.68
524	4.06
525	2.47
526	1.67
527	0
528	2
529	1.64
530	1.66
531	0.85
532	2
533	2.5
534	2.5
535	3.07
536	2.26
537	0.7
538	0.3
539	1.51
540	2.51
541	1.57
542	1.64
543	1.49
544	2.94
545	1.85
546	1
547	2.4
548	3.7
549	3.03
550	0.97
551	0.78
552	0.85
553	2.26
554	2.74
555	2.83
556	1.92
557	2.38
558	2.8
559	2.33
560	2.54
561	2.9
562	3.27
563	3.28
564	3.35
565	1.3
566	1.5
567	0.56
568	1
569	1.71
570	2.04
571	2.41
572	3.27
573	2.3
574	2
575	4.1
576	3.25
577	3.32
578	3.6
579	3.79
580	2.54
581	0.48
582	0.42
583	1.6
584	1.52
585	1.46
586	1.98
587	2.53
588	2.92
589	2.19
590	1.62
591	1.54
592	1.7
593	2.04
594	1.78
595	0.6
596	-0.3
597	1.4
598	2.32
599	0.6
600	1.83
601	0.3
602	1.23
603	1
604	1.88
605	1.67
606	0.4
607	1.79
608	0.78
609	1.9
610	1.18
611	0.7
612	1.7
613	0.15
614	1.8
615	0.99
616	1.84
617	1.79
618	2.6
619	3.26
620	2.3
621	4
622	0.7
623	1.5
624	1.5
625	2.17
626	2.21
627	2.34
628	2.54
629	1.54
630	2.03
631	2.83
632	3.29
633	3.1
634	2.6
635	4.9
636	4.23
637	1.8
638	1.8
639	3.83
640	2.85
641	2.79
642	3.87
643	3.3
644	3.58
645	4.14
646	2.03
647	3.31
648	3.7
649	5.31
650	4.82
651	4.21
652	1.6
653	2.93
654	2.63
655	3.2
656	3.08
657	2.21
658	4.4
659	3.5
660	3.96
661	1.99
662	2.98
663	6.5
664	3.57
665	3.9
666	4.28
667	3.61
668	3.6
669	4.45
670	5.2
671	3.9
672	3.7
673	4
674	5
675	3
676	3
677	4.2
678	2.7
679	4.8
680	5
681	3.72
682	5
683	5.26
684	5
685	5
686	2.32
687	2.3
688	2.76
689	3
690	5.86
691	6
692	2.96
693	2.6
694	3.75
695	2.78
696	1.56
697	3.51
698	2
699	3.3
700	4.4
701	5.35
