Compound Id	signal 26 / weighted by van der Waals volume
1	0.004
2	0.052
3	0.139
4	0.145
5	0.082
6	0.059
7	0.083
8	0.056
9	0.038
10	0.037
11	-0.002
12	0.029
13	-0.015
14	-0.023
15	-0.014
16	0.051
17	0.111
18	-0.032
19	-0.025
20	0.05
21	0.106
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
