Compound Id	the orbital energy gap between the highest occupied molecular orbital (HOMO) and HOMO-1
1	0.7568
2	0.881
3	1.0819
4	0.7168
5	1.0581
6	0.7098
7	1.025
8	0.7131
9	1.089
10	1.071
11	0.5708
12	0.7151
13	1.0116
14	0.6994
15	1.0226
16	0.9062
17	1.1021
18	0.5759
19	0.9083
20	1.0879
21	0.0313
22	1.0682
23	0.3273
24	1.3829
25	1.3941
26	1.4164
27	2.0641
28	2.0012
29	1.6613
30	0.876
31	1.4018
32	0.1121
33	1.2116
34	0.9509
35	1.0209
