Compound Id	Hydrophobicity
1	-1.34
2	-0.89
3	-0.84
4	-0.31
5	-0.31
6	-0.27
7	-0.01
8	0.12
9	0.22
10	0.40
11	0.52
12	0.52
13	0.59
14	0.60
15	0.61
16	0.88
17	0.83
18	0.92
19	1.02
20	0.92
21	1.05
22	1.13
23	1.14
24	1.15
25	1.23
26	1.29
27	1.36
28	1.36
29	1.57
30	1.58
31	1.65
32	1.67
33	1.67
34	1.68
35	1.04
36	1.78
37	2.11
38	1.82
39	2.10
40	2.10
41	2.33
42	2.42
43	2.63
44	2.64
45	2.68
46	2.73
47	2.74
48	2.95
49	3.16
50	3.48
51	3.52
52	3.69
53	4.01
54	4.05
55	4.54
56	5.07
