Compound Id	Maximum acceptor superdelocalisability
1	0.293
2	0.296
3	0.285
4	0.303
5	0.302
6	0.332
7	0.300
8	0.295
9	0.285
10	0.307
11	0.283
12	0.286
13	0.288
14	0.301
15	0.302
16	0.284
17	0.319
18	0.306
19	0.318
20	0.285
21	0.286
22	0.294
23	0.294
24	0.285
25	0.285
26	0.286
27	0.305
28	0.309
29	0.322
30	0.302
31	0.293
32	0.294
33	0.301
34	0.305
35	0.294
36	0.301
37	0.293
38	0.294
39	0.285
40	0.285
41	0.284
42	0.302
43	0.285
44	0.295
45	0.295
46	0.315
47	0.285
48	0.317
49	0.300
50	0.285
51	0.304
52	0.284
53	0.293
54	0.294
55	0.300
56	0.294
57	0.322
58	0.298
59	0.300
60	0.317
61	0.311
62	0.280
63	0.288
64	0.291
65	0.300
66	0.307
67	0.317
68	0.286
69	0.309
70	0.300
71	0.285
72	0.285
73	0.318
74	0.332
75	0.293
76	0.293
77	0.284
78	0.294
79	0.318
80	0.315
81	0.332
82	0.286
83	0.284
84	0.341
85	0.286
86	0.294
87	0.298
88	0.317
89	0.307
90	0.294
91	0.319
92	0.302
93	0.288
94	0.298
95	0.295
96	0.285
97	0.295
98	0.308
99	0.332
100	0.295
101	0.320
102	0.339
103	0.338
104	0.309
105	0.315
106	0.300
107	0.332
108	0.285
109	0.318
110	0.294
111	0.299
112	0.300
113	0.316
114	0.300
115	0.311
116	0.318
117	0.300
118	0.293
119	0.314
120	0.316
121	0.301
122	0.311
123	0.284
124	0.303
125	0.333
126	0.296
127	0.303
128	0.284
129	0.324
130	0.309
131	0.333
132	0.300
133	0.318
134	0.293
135	0.312
136	0.310
137	0.317
138	0.343
139	0.283
140	0.284
141	0.299
142	0.312
143	0.325
144	0.317
145	0.338
146	0.299
147	0.345
148	0.300
149	0.300
150	0.295
151	0.316
152	0.347
153	0.312
154	0.332
155	0.301
156	0.336
157	0.314
158	0.349
159	0.301
160	0.307
161	0.299
162	0.301
163	0.293
164	0.331
165	0.295
166	0.296
167	0.312
168	0.311
169	0.336
170	0.325
171	0.285
172	0.294
173	0.299
174	0.317
175	0.318
176	0.340
177	0.340
178	0.323
179	0.330
180	0.306
181	0.296
182	0.300
183	0.285
184	0.289
185	0.311
186	0.324
187	0.319
188	0.357
189	0.308
190	0.298
191	0.309
192	0.324
193	0.311
194	0.316
195	0.318
196	0.333
197	0.318
198	0.319
199	0.314
200	0.323
201	0.333
202	0.307
203	0.312
204	0.315
205	0.293
206	0.294
207	0.300
208	0.301
209	0.332
210	0.352
211	0.326
212	0.340
213	0.298
214	0.300
215	0.328
216	0.315
217	0.302
218	0.320
219	0.319
220	0.321
221	0.341
222	0.306
223	0.316
224	0.335
225	0.317
226	0.329
227	0.343
228	0.311
229	0.317
230	0.285
231	0.309
232	0.298
233	0.307
234	0.319
235	0.316
236	0.335
237	0.321
238	0.361
239	0.332
240	0.320
241	0.300
242	0.290
243	0.336
244	0.338
245	0.302
246	0.338
247	0.348
248	0.294
249	0.322
250	0.326
251	0.345
252	0.341
253	0.319
254	0.290
255	0.307
256	0.347
257	0.332
258	0.328
259	0.357
260	0.331
261	0.342
262	0.328
263	0.372
264	0.366
265	0.311
266	0.313
267	0.285
268	0.317
269	0.321
270	0.325
271	0.345
272	0.300
273	0.287
274	0.298
275	0.333
276	0.293
277	0.350
278	0.318
279	0.321
280	0.321
281	0.328
282	0.318
283	0.361
284	0.335
285	0.288
286	0.368
287	0.294
288	0.318
289	0.350
290	0.321
291	0.326
292	0.308
293	0.335
294	0.330
295	0.370
296	0.317
297	0.339
298	0.349
299	0.334
300	0.348
301	0.300
302	0.309
303	0.336
304	0.341
305	0.315
306	0.323
307	0.318
308	0.306
309	0.300
310	0.318
311	0.372
312	0.284
313	0.351
314	0.326
315	0.349
316	0.317
317	0.339
318	0.319
319	0.325
320	0.347
321	0.322
322	0.305
323	0.325
324	0.336
325	0.327
326	0.327
327	0.346
328	0.293
329	0.323
330	0.326
331	0.352
332	0.327
333	0.354
334	0.321
335	0.320
336	0.332
337	0.325
338	0.357
339	0.354
340	0.318
341	0.325
342	0.334
343	0.318
344	0.325
345	0.330
346	0.352
347	0.343
348	0.345
349	0.298
350	0.338
351	0.352
352	0.345
353	0.375
354	0.335
355	0.366
356	0.354
357	0.330
358	0.329
359	0.361
360	0.284
361	0.306
362	0.367
363	0.353
364	0.360
365	0.372
366	0.318
367	0.362
368	0.334
369	0.333
370	0.288
371	0.331
372	0.343
373	0.330
374	0.359
375	0.374
376	0.337
377	0.385
378	0.365
379	0.369
380	0.300
381	0.336
382	0.385
383	0.346
384	0.339
385	0.380
