Compound Id	Sum of the partial charges of C4 and C3
1	-0.2989
2	-0.2989
3	-0.2902
4	-0.2954
5	-0.3491
6	-0.3098
7	-0.3411
8	-0.3096
9	-0.3413
10	-0.3410
11	-0.3100
12	-0.3467
13	-0.3469
14	-0.3964
15	-0.2927
16	-0.2949
17	-0.2771
18	-0.2794
19	-0.3321
20	-0.3454
21	-0.3301
22	-0.3298
23	-0.3333
24	-0.3302
25	-0.3083
26	-0.3560
27	-0.3775
28	-0.3788
29	-0.3789
30	-0.3789
