Compound Id	48h Daphnia toxicity as log(1/EC50)
1	-0.32770131
2	0.19643719
3	1.04408567
4	2.46299986
5	1.8993608
6	2.41078819
7	1.47772108
8	-0.0741182
9	1.46375083
10	1.61482192
11	1.18719363
12	1.8013694
13	1.18892848
14	1.76937733
15	0.75486795
16	-1.7551E-4
17	0.97121532
18	1.64583148
19	2.41558652
20	1.79633504
21	-0.8891074
22	1.35171148
23	0.44020917
24	0.79759066
25	0.43765732
26	1.36063214
27	0.1008457
28	0.60283483
29	0.10666154
30	-0.10608699
31	0.86199744
32	0.25731184
33	1.06104496
34	-0.45738708
35	2.80262171
36	2.96947669
37	4.1527052
38	1.16334489
39	2.51658955
40	0.14521469
41	1.67377839
42	1.86976492
43	0.22295646
44	2.88799887
45	2.22403838
46	2.48115587
47	0.88726295
48	2.22036341
49	-0.57121749
50	2.10569356
51	2.4189126
52	2.10179002
53	1.18730916
54	1.83585738
55	1.72586061
56	2.62200196
57	0.41248325
58	1.43462915
59	2.28927034
60	-0.20073052
61	1.56817163
62	1.07083796
63	0.95814962
64	1.56142666
65	6.21726224
66	-0.79995568
67	0.38660029
68	2.03564036
69	1.20473644
70	0.19670111
71	1.16033815
72	2.00351996
73	3.43125652
74	2.61925391
75	1.31162347
76	2.50380651
77	1.39264671
78	2.29735641
79	0.6374594
80	0.16189623
81	1.74411237
82	2.21661774
83	1.16049354
84	1.32672732
85	1.48619426
86	1.33058698
87	2.99117816
88	4.17047127
89	2.46560589
90	2.96831528
91	0.121345
92	1.5149363
93	1.74748407
94	0.40352423
95	1.58631934
96	0.9063634
97	-0.29519364
98	1.27849955
99	2.82937526
100	2.15239955
101	2.20256615
102	1.34722727
103	1.79585222
104	2.01770097
105	2.38477144
106	0.70992424
107	0.95939918
108	2.6271232
109	2.69306709
110	2.46398626
111	0.67749289
112	0.66892514
113	-0.52620033
114	0.40809857
115	2.4183491
116	1.63465248
117	0.25379729
118	0.72817728
119	0.75196892
120	0.46398077
121	1.09691001
122	0.47230629
123	0.57591875
124	0.23770364
125	1.24458158
126	3.01703334
127	1.34894108
128	1.17538973
129	2.50180991
130	2.64632831
131	1.61856323
132	2.20961249
133	0.31935535
134	1.29719129
135	-0.46530606
136	0.78247262
137	-0.08861408
138	2.77500937
139	1.67184901
140	0.63154873
141	1.81050746
142	2.3478511
143	-0.21453458
144	2.45632607
145	2.0068021
146	0.55637209
147	2.12460717
148	2.01475382
149	-0.6868815
150	0.85222309
151	2.52471648
152	1.98465004
153	2.25730136
154	2.0211893
155	0.82595325
156	1.88785833
157	2.04210993
158	2.46920594
159	0.91094441
160	1.59479142
161	2.30420907
162	1.09476525
163	-0.75276682
164	2.51609447
165	0.43620564
166	1.99496203
167	0.42292709
168	1.65760738
169	0.25898828
170	0.625998
171	3.06787642
172	1.95498179
173	2.05840072
174	1.75547366
175	1.2818852
176	1.35545152
177	1.45003416
178	2.12788194
179	-0.28842708
180	2.6144209
181	1.71116586
182	1.99183925
183	1.73303668
184	1.74107994
185	0.4301053
186	1.59244114
187	-0.35704112
188	0.28700504
189	0.26126287
190	2.85009167
191	2.13340583
192	2.112605
193	2.05241176
194	0.48083703
195	0.5020707
196	1.54465541
197	1.89552486
198	1.69912198
199	1.74550852
200	2.37215971
201	2.26131575
202	0.38444302
203	2.02019172
204	2.69137623
205	1.65546774
206	3.03034481
207	1.43077846
208	3.97702207
209	1.04560744
210	2.21913526
211	2.92498186
212	1.21826824
213	1.31806333
214	2.90695041
215	-0.72507281
216	1.6392316
217	2.02884226
218	1.07713657
219	1.83786801
220	0.3984435
221	2.09201847
222	0.07628493
223	2.07419735
224	1.76339679
225	0.84551146
226	1.13411261
227	0.20779888
228	1.738437
229	1.52357306
230	0.72877711
231	0.71322165
232	2.23166373
233	2.5494183
234	2.04201266
235	0.7560826
236	0.67124594
237	0.48234578
238	1.09257027
239	1.8047526
240	1.95429612
241	1.54643984
242	0.75502067
243	0.86448411
244	1.18127806
