Compound Id	Energy of the lowest unoccupied molecular orbital
1	0.25
2	0.46
3	-0.56
4	0.38
5	0.36
6	-0.25
7	0.38
8	-0.51
9	-0.62
10	-0.66
11	-0.50
12	0.42
13	0.53
14	-0.30
15	-0.19
16	-0.32
17	0.44
18	-0.29
19	0.38
20	0.50
21	-0.57
22	-0.26
23	-0.32
24	0.39
25	0.36
26	0.02
27	-0.01
28	0.09
29	0.06
30	0.07
31	-0.43
32	0.42
33	0.40
34	0.02
35	0.35
36	-0.28
37	-0.51
38	-0.32
39	-0.33
40	0.20
41	-0.54
42	0.41
43	-0.05
44	0.40
45	-0.04
46	0.42
47	0.41
48	-0.20
49	0.43
50	-0.93
51	-0.28
52	-0.90
53	-0.90
54	0.42
55	0.39
56	0.47
57	0.22
58	-0.05
59	-0.26
60	0.03
61	0.04
62	-0.50
63	-0.44
64	0.32
65	0.40
66	0.03
67	0.33
68	-0.46
69	-0.53
70	-0.57
71	0.12
72	-0.04
73	0.42
74	0.36
75	-0.15
76	0.43
77	0.47
78	0.47
79	-0.25
80	0.25
81	0.24
82	-0.52
83	0.10
84	0.11
85	-0.22
86	0.02
87	0.34
88	0.14
89	0.12
90	0.14
91	0.14
92	0.13
93	0.10
94	0.01
95	-0.40
96	0.33
97	0.43
98	0.07
99	0.35
100	0.35
101	0.30
102	-0.35
103	-0.39
104	-0.44
105	0.17
106	0.19
107	0.28
108	-0.38
109	-0.44
110	-0.25
111	-0.49
112	-0.49
113	0.06
114	0.29
115	-0.21
116	-0.36
117	0.02
118	0.44
119	0.31
120	-0.10
121	0.43
122	0.45
123	0.46
124	-0.13
125	-0.70
126	-0.64
127	0.26
128	0.29
129	0.44
130	-0.34
131	-0.45
132	0.04
133	-0.38
134	-0.49
135	0.39
136	-0.48
137	-0.40
138	-0.31
139	0.43
140	0.40
141	-0.45
142	0.43
143	0.43
144	0.40
145	0.28
146	-0.43
147	-0.19
148	-0.19
149	-0.36
150	-0.46
151	-0.46
152	-0.50
153	-0.48
154	-0.72
155	-0.82
156	-1.00
157	-1.94
158	-2.53
159	-1.58
160	-1.89
161	-2.27
162	-1.44
163	-1.43
164	-1.90
165	-1.95
166	-0.88
167	-1.87
168	-1.82
169	-1.19
170	-0.98
171	-1.30
172	0.03
173	0.16
174	0.22
175	0.54
176	0.51
177	0.47
178	0.33
179	0.55
180	0.28
181	0.28
182	0.32
183	0.44
184	0.43
185	0.01
186	0.34
187	0.48
188	0.16
189	0.41
190	-0.20
191	0.30
192	-0.12
193	0.23
194	0.25
195	0.24
196	-0.22
197	-0.79
198	0.24
199	-1.45
200	-0.99
201	-0.98
202	-1.26
203	-1.19
204	-1.19
205	-1.32
206	-1.28
207	-1.66
208	-1.00
209	-1.15
210	-1.12
211	-1.38
212	-1.36
213	-1.46
214	-1.14
215	-1.09
216	-1.59
217	-1.16
218	-1.07
219	-0.80
220	-1.45
221	-1.51
