Compound Id	Energy of the highest occupied molecular orbital
1	-9.16
2	-8.76
3	-9.49
4	-8.81
5	-8.84
6	-9.39
7	-8.93
8	-9.32
9	-9.50
10	-9.31
11	-9.39
12	-8.70
13	-8.65
14	-9.33
15	-9.23
16	-9.29
17	-8.77
18	-9.31
19	-8.85
20	-8.62
21	-9.38
22	-9.37
23	-9.46
24	-8.61
25	-9.04
26	-9.05
27	-9.24
28	-8.89
29	-9.07
30	-9.19
31	-9.58
32	-8.73
33	-8.99
34	-9.28
35	-8.76
36	-9.33
37	-9.03
38	-9.19
39	-9.32
40	-9.24
41	-9.42
42	-8.99
43	-8.50
44	-8.79
45	-8.74
46	-8.97
47	-8.76
48	-9.26
49	-8.80
50	-9.66
51	-9.54
52	-9.58
53	-9.72
54	-8.94
55	-8.98
56	-8.93
57	-8.73
58	-9.34
59	-9.25
60	-9.22
61	-9.30
62	-9.59
63	-9.09
64	-8.36
65	-9.04
66	-9.37
67	-8.68
68	-9.40
69	-9.43
70	-9.52
71	-9.26
72	-9.34
73	-9.02
74	-8.88
75	-8.95
76	-9.01
77	-8.85
78	-8.91
79	-9.03
80	-8.89
81	-8.61
82	-9.44
83	-8.99
84	-9.06
85	-9.23
86	-9.20
87	-8.61
88	-8.93
89	-9.01
90	-8.99
91	-9.04
92	-9.04
93	-9.12
94	-8.98
95	-9.57
96	-8.61
97	-8.92
98	-9.09
99	-8.59
100	-8.60
101	-8.80
102	-9.33
103	-9.00
104	-9.10
105	-9.03
106	-8.87
107	-8.78
108	-9.43
109	-9.49
110	-9.44
111	-9.60
112	-9.40
113	-9.30
114	-9.06
115	-9.48
116	-9.41
117	-9.24
118	-8.92
119	-8.65
120	-8.68
121	-8.91
122	-8.91
123	-8.90
124	-9.29
125	-9.33
126	-9.39
127	-8.95
128	-8.93
129	-8.69
130	-9.80
131	-9.44
132	-8.86
133	-9.50
134	-9.11
135	-9.02
136	-9.45
137	-9.54
138	-9.35
139	-8.92
140	-8.96
141	-9.12
142	-8.88
143	-8.90
144	-9.11
145	-8.98
146	-9.50
147	-8.99
148	-9.51
149	-9.57
150	-9.66
151	-9.51
152	-8.94
153	-9.14
154	-9.45
155	-9.63
156	-9.88
157	-10.66
158	-11.42
159	-9.88
160	-10.76
161	-10.62
162	-10.18
163	-10.24
164	-10.35
165	-10.66
166	-9.49
167	-10.74
168	-10.50
169	-9.69
170	-9.58
171	-9.94
172	-9.16
173	-8.64
174	-8.58
175	-8.00
176	-8.31
177	-8.35
178	-8.63
179	-8.56
180	-8.84
181	-8.46
182	-8.84
183	-8.21
184	-8.28
185	-8.97
186	-8.72
187	-8.22
188	-8.55
189	-8.57
190	-8.93
191	-8.88
192	-8.90
193	-8.72
194	-8.55
195	-8.63
196	-8.65
197	-9.36
198	-8.49
199	-10.22
200	-9.16
201	-9.08
202	-10.03
203	-10.14
204	-9.91
205	-9.59
206	-10.24
207	-10.21
208	-9.96
209	-9.94
210	-8.96
211	-9.84
212	-9.79
213	-10.24
214	-9.65
215	-9.65
216	-10.50
217	-9.76
218	-10.07
219	-9.57
220	-10.21
221	-10.28
