Compound Id	Hydrophobicity
1	0.16
2	3.80
3	3.58
4	2.92
5	2.92
6	2.84
7	2.42
8	3.58
9	3.92
10	4.37
11	3.37
12	2.97
13	0.92
14	3.31
15	2.96
16	1.95
17	2.47
18	2.96
19	2.47
20	5.63
21	2.80
22	2.63
23	1.75
24	1.10
25	2.55
26	2.85
27	2.36
28	3.10
29	2.65
30	2.16
31	1.60
32	1.85
33	2.50
34	1.72
35	2.86
36	1.98
37	3.58
38	2.41
39	1.92
40	0.44
41	1.56
42	2.90
43	2.58
44	1.32
45	3.09
46	3.30
47	2.87
48	3.17
49	2.42
50	3.42
51	3.29
52	3.07
53	3.87
54	1.60
55	2.47
56	5.13
57	0.49
58	2.64
59	2.72
60	2.50
61	2.49
62	1.60
63	1.80
64	1.69
65	2.50
66	1.92
67	0.29
68	1.46
69	1.44
70	1.56
71	0.44
72	2.90
73	2.90
74	1.57
75	3.23
76	3.30
77	5.16
78	3.30
79	2.08
80	2.40
81	3.34
82	3.52
83	3.63
84	3.63
85	3.61
86	2.64
87	3.16
88	4.41
89	2.98
90	3.48
91	3.51
92	2.98
93	2.49
94	1.58
95	1.60
96	2.10
97	2.50
98	1.92
99	4.75
100	4.22
101	3.45
102	1.95
103	1.27
104	1.42
105	0.29
106	0.28
107	0.47
108	1.46
109	1.44
110	0.33
111	1.56
112	3.07
113	0.90
114	0.52
115	0.75
116	1.98
117	2.90
118	2.90
119	1.57
120	3.20
121	3.03
122	3.43
123	3.83
124	1.60
125	1.92
126	2.17
127	1.31
128	3.42
129	4.30
130	2.88
131	2.51
132	1.53
133	2.51
134	1.28
135	1.97
136	1.99
137	1.99
138	2.49
139	6.20
140	1.97
141	1.65
142	1.97
143	3.54
144	1.48
145	0.80
146	1.81
147	1.10
148	1.28
149	0.85
150	0.88
151	2.19
152	0.99
153	1.28
154	4.06
155	3.85
156	2.07
157	1.98
158	1.59
159	3.07
160	1.79
161	1.79
162	2.74
163	3.72
164	2.29
165	1.79
166	4.97
167	1.98
168	2.29
169	4.85
170	4.32
171	2.21
172	0.21
173	0.21
174	1.24
175	-0.61
176	2.44
177	0.62
178	4.53
179	0.25
180	1.38
181	0.49
182	1.15
183	0.75
184	0.25
185	1.98
186	1.37
187	0.15
188	1.71
189	1.62
190	1.78
191	0.88
192	1.40
193	0.59
194	0.47
195	0.98
196	2.43
197	4.29
198	1.69
199	3.14
200	1.80
201	1.18
202	2.33
203	2.42
204	1.85
205	1.56
206	1.79
207	1.47
208	2.27
209	1.85
210	0.81
211	2.66
212	3.16
213	1.47
214	2.35
215	2.27
216	2.77
217	1.66
218	1.85
219	1.36
220	2.09
221	1.75
