Compound Id	Octanol/water partition coefficient as logP
266	3.6
267	4.3
268	3.17
269	4.38
272	5.13
273	4.11
274	4.22
275	4.9
276	4.66
277	3.39
278	4.41
279	4.63
280	4.79
281	4.27
284	4.12
285	2.18
286	4
288	4.09
291	4.3
293	4.66
294	3.72
296	4.16
298	4.19
300	2.83
305	4.57
306	2.93
307	2.97
308	4.36
309	4.28
310	3.72
311	3.87
312	4.1
315	3.69
316	4.72
317	4.55
320	2.4
326	4.01
327	3.67
328	4.42
329	4.03
330	4.38
335	4.51
338	4.02
341	4.04
342	4.22
344	4.5
346	4.39
347	1.26
348	3.69
349	1.98
350	4.45
352	4.37
353	4.14
356	2.18
357	3.83
359	3.8
361	2
362	3.51
363	4.11
364	4.14
365	2.42
366	3.79
367	4.38
369	2.45
371	3.32
373	2.25
374	3.23
375	2.1
377	4.35
378	4.56
379	3.38
380	4.15
381	2.26
382	2.74
383	3.36
386	3.92
387	3.95
388	2.24
389	4.1
391	4.21
392	3
393	5.07
395	2.7
397	3.9
398	2.36
399	4.8
401	3.8
402	3.61
403	3.16
405	2.13
407	4.1
408	2.01
410	3.6
411	2.68
412	3.5
413	3.41
415	3.86
416	2.99
418	3.99
419	3.95
420	3.87
421	3.6
422	4.15
423	1.18
424	4.14
425	3.92
427	2.03
428	1.93
429	4.11
430	3.97
431	3.54
432	4.57
433	3.42
434	2.01
436	2.77
437	2.39
438	3.2
439	1.19
441	3.3
442	3.36
443	3.82
445	3.75
446	2.5
448	3.41
449	3.28
450	3.42
451	3.64
453	1.69
454	3.84
455	1.47
456	3.49
459	3.23
460	2.88
461	2.42
462	2.7
463	3.58
464	3.97
465	1.47
467	3.51
468	3.56
469	3.87
470	2.85
471	3.47
472	3.01
473	3.84
474	3.63
475	3.24
476	3.73
477	3.44
479	3.37
480	2.84
481	3.84
482	3.72
483	2.36
485	3.66
487	2.71
488	3.12
489	3.72
491	1.94
492	2.02
493	3.39
495	3.07
496	3.53
497	3.7
498	3.59
499	3.12
501	3.42
502	2.41
505	2.62
506	3.39
507	1.62
508	3.52
510	2.14
512	3.42
515	3.23
516	3.66
517	3.18
519	1.47
520	3.14
521	3.44
523	2.87
524	1.61
525	3.33
526	3.37
527	3.43
529	3.16
530	3.53
531	2.98
534	3.18
535	2.2
536	2.2
537	3.32
538	3.67
539	2.99
541	3.08
542	1.63
543	2.89
547	2.94
548	1.94
549	2.39
552	1.19
553	2.31
554	0.91
555	2.13
556	2.12
557	2.36
560	3.2
561	2.95
562	1.63
563	2.98
564	2.78
565	3.25
566	3.15
567	2.47
568	3.12
569	3.15
570	2.82
573	3.4
574	3.11
577	1.81
578	3.13
580	3.21
583	2.87
584	2.8
585	1.54
587	3.01
588	3
590	0.91
593	2.36
594	1.3
595	3.22
596	3.01
597	2.88
598	2.86
599	2.23
600	3.14
602	2.3
603	1.64
604	2.67
