Compound Id	D55
1	5.659999
2	11.76
3	6.880001
4	5.659999
5	18.18
6	18.440002
7	16.700003
8	18.700003
9	10.92
10	12.96
11	6.96
12	8.96
13	9.92
14	5.96
15	5.96
16	8.96
17	7.96
18	10.96
19	9.96
20	6.96
21	6.96
22	7.92
23	4.96
24	4.96
25	8.84
26	8.92
27	6.92
28	8.96
29	9.92
30	7.92
31	8.96
32	8.96
33	8.96
34	8.96
35	5.96
36	5.96
37	11.96
38	8.96
39	7.96
40	10.96
41	9.96
42	6.96
43	6.96
44	6.96
45	6.96
46	8.96
47	10.96
48	4.96
49	4.96
50	5.92
51	5.92
52	5.92
53	5.92
54	5.92
55	10.96
56	10.96
57	10.96
58	10.96
59	12.96
60	12.96
61	12.96
62	12.96
63	20.959997
64	20.959997
65	20.959997
66	20.959997
67	3.92
68	2.96
69	17.959997
70	17.959997
71	17.959997
72	17.959997
73	7.96
74	7.96
75	7.96
76	7.96
77	16.959997
78	16.959997
79	16.959997
80	16.959997
81	6.96
82	6.96
83	6.96
84	8.88
85	7.92
86	7.92
87	1.96
88	19.959997
89	19.959997
90	19.959997
91	19.959997
92	9.96
93	9.96
94	9.96
95	9.96
96	8.7
97	18.959997
98	18.959997
99	18.959997
100	18.959997
101	8.96
102	8.96
103	8.96
104	8.96
105	15.96
106	15.96
107	15.96
108	15.96
109	5.96
110	5.96
111	5.96
112	6.92
113	6.92
114	6.92
115	6.92
116	6.92
117	6.92
118	3.7
119	3.96
120	3.96
121	4.92
122	4.92
123	5.880001
124	4.92
125	14.96
126	14.96
127	14.96
128	14.96
129	13.96
130	13.96
131	13.96
132	13.96
133	11.96
134	11.96
135	11.96
136	11.96
137	11.295644
138	6.085628
139	6.085628
140	8.317848
141	8.317848
142	14.022656
143	14.022656
144	14.11637
145	14.11637
146	14.11637
147	14.11637
148	9.26263
149	7.328461
150	6.341655
151	7.328461
152	7.328461
153	6.341655
154	8.30512
155	6.341655
156	8.724599
157	7.35454
158	7.847878
159	6.085628
160	7.328461
161	6.085628
162	7.328461
163	11.295644
164	6.085628
165	11.295644
166	9.309127
167	6.412725
168	6.901239
169	9.013095
170	7.328461
171	8.317848
172	5.358505
173	10.791412
174	9.013095
175	6.341655
176	7.328461
177	7.328461
178	9.309127
179	22.261286
180	6.341655
181	7.328461
182	9.309127
183	11.295644
184	7.328461
185	10.791412
186	5.358505
187	9.309127
188	12.290324
189	6.341655
190	7.328461
191	9.309127
192	5.358505
193	21.519291
194	10.791412
195	7.328461
196	16.077141
197	12.164699
198	21.263063
199	19.267124
200	19.267124
201	9.26263
202	13.139212
203	8.317848
204	7.847878
205	8.30512
206	9.26263
207	9.974834
208	7.35454
209	11.295644
210	17.272028
211	14.281651
212	11.295644
213	17.272028
214	14.281651
215	16.077141
216	7.328461
217	7.328461
218	13.139212
219	15.27807
220	15.27807
221	21.263063
222	7.847878
223	15.095786
224	6.901239
225	23.259649
226	23.259649
227	16.274883
228	6.085628
229	3.411572
230	7.108738
231	9.762807
232	7.847878
233	8.05724
234	23.259649
235	5.103678
236	5.358505
237	20.265003
238	19.267124
239	5.040625
240	7.328461
241	8.317848
242	6.341655
243	7.328461
244	13.285704
245	15.27807
246	10.301834
247	9.309127
248	6.341655
249	14.281651
250	22.261286
251	12.290324
252	21.263063
253	11.295644
254	13.647027
255	13.285704
256	18.269455
257	8.317848
258	8.317848
259	8.802257
260	7.328461
261	9.762807
262	7.328461
263	9.762807
264	7.328461
265	7.328461
266	9.762807
267	17.272028
268	5.964483
269	4.380772
270	16.274883
271	6.30225
272	6.30225
273	6.30225
274	7.24941
275	18.48987
276	7.288933
277	7.288933
278	6.30225
279	4.400257
280	5.319275
281	6.30225
282	7.288933
283	7.288933
284	13.245877
285	6.30225
286	5.319275
287	7.288933
288	9.269446
289	11.834054
290	6.30225
291	5.319275
292	9.229768
293	8.278233
294	5.280056
295	5.280056
296	5.280056
297	10.583242
298	7.951524
299	6.962995
300	9.934389
301	16.534111
302	28.512808
303	20.524483
304	26.515112
305	12.54906
306	16.534111
307	28.512808
308	10.560127
309	10.560127
310	24.517763
311	7.951524
312	6.962995
313	8.942167
314	13.245877
315	4.341813
316	5.319276
317	6.30225
318	6.30225
319	9.051241
320	6.085628
321	5.82987
322	8.020806
323	8.793457
324	7.071607
325	4.78083
326	6.085628
327	6.085628
328	6.085628
329	5.103678
330	7.733842
331	6.745875
332	11.335416
333	5.761062
334	2.845983
335	3.80762
336	6.085628
337	6.085628
338	18.85
339	19.110003
340	19.370003
341	8.63
342	6.369999
343	8.63
344	27.370003
345	11.63
346	25.629997
347	27.629997
348	12.37
349	7.63
350	9.63
351	59.549999
352	60.330006
353	61.110001
354	19.889997
355	43.889999
356	55.889999
357	61.889999
358	49.889999
359	8.109999
360	6.369999
361	10
362	22.85
363	23.110003
364	21.370003
365	23.370003
366	9.37
367	9.63
368	15.63
369	17.629997
370	25.629997
371	7.630001
372	21.629997
373	6.630001
374	14.63
375	13.63
376	8.37
377	8.63
378	19.629997
379	18.629997
380	16.629997
381	11.63
382	21.629997
383	23.629997
384	13.63
385	27.629997
386	12.63
387	16.629997
388	25.629997
389	25.26
390	12.479999
391	15
392	21.26
393	11
394	11.260001
395	7.590001
396	13.260001
397	9.260001
398	10.260001
399	21.26
400	9
401	8.260001
402	25.26
403	31.370003
404	17.629997
405	25.629997
406	15.63
407	18.629997
408	16.629997
409	27.629997
410	8.37
411	5.369999
412	4.369999
413	6.369999
414	9.109999
415	13.109999
416	7.369999
417	13.37
418	9.37
419	11.37
420	11.37
421	20.85
422	21.110003
423	19.370003
424	21.370003
425	7.590001
426	7.369999
427	9.3
428	7.150001
429	7.63
430	13.63
431	15.63
432	23.629997
433	5.630001
434	10.37
435	20.629997
436	10.63
437	19.629997
438	9.63
439	7.630001
440	8.63
441	4.630001
442	12.63
443	21.629997
444	11.63
445	8.63
446	6.369999
447	6.630001
448	17.629997
449	16.629997
450	14.37
451	14.63
452	9.26
453	10.739999
454	13.890001
455	10.63
456	29.629997
457	19.629997
458	22.629997
459	25.370003
460	17.629997
461	19.629997
462	9.63
463	23.629997
464	8.63
465	21.629997
466	23.370003
467	9.63
468	9.37
469	9.63
470	15.63
471	17.629997
472	7.630001
473	21.629997
474	6.63
475	23.629997
476	8.37
477	8.63
478	19.629997
479	10.63
480	16.629997
481	18.629997
482	8.63
483	12.63
484	11.63
485	7.63
486	9.63
487	20.629997
488	22.370003
489	14.63
490	6.630001
491	20.629997
492	22.629997
493	20.370003
494	22.370003
495	20.370003
496	24.370003
497	8.109999
498	11.37
499	10.37
500	7.110001
501	7.110001
502	8.37
503	11.37
504	7.369999
505	11.37
506	23.07
507	21.33
508	19.85
509	19.85
510	19.85
511	19.85
512	19.85
513	19.85
514	19.85
515	19.85
516	19.85
517	20.110003
518	18.370003
519	20.370003
520	13.37
521	6.369999
522	6.630001
523	6.369999
524	6.63
525	12.63
526	14.63
527	22.629997
528	4.630001
529	23.629997
530	19.629997
531	9.63
532	8.37
533	18.629997
534	8.63
535	3.63
536	21.629997
537	11.63
538	20.629997
539	10.63
