Compound Id	D108
1	2.34438885
2	2.79892074
3	2.29338103
4	2.2474875
5	5.59050829
6	6.35180552
7	5.2575054
8	5.95776185
9	2.96010616
10	4.14074024
11	2.41684459
12	2.99344906
13	2.82757986
14	2.19189583
15	2.12587057
16	3.10155116
17	2.7763787
18	3.84061645
19	3.48921171
20	2.51996524
21	2.42680513
22	2.45452869
23	1.99944204
24	1.91213361
25	2.24127393
26	2.41231942
27	2.13169481
28	2.56213579
29	2.62827047
30	2.26807975
31	2.60337917
32	2.61629465
33	2.9679084
34	2.96790847
35	2.2325538
36	2.17409102
37	3.97312507
38	2.95928675
39	2.59598703
40	3.65051869
41	3.24832537
42	2.47932613
43	2.33473341
44	2.28851964
45	2.43443315
46	3.02608246
47	3.99407654
48	2.19688513
49	2.04710666
50	2.23302231
51	2.15795316
52	2.21201397
53	2.28364506
54	2.09785545
55	4.22624862
56	4.12839561
57	3.99187853
58	4.06226809
59	4.96768641
60	4.85436568
61	4.71930216
62	4.80429839
63	7.84913833
64	7.77397858
65	7.65919382
66	7.73789531
67	1.68918099
68	1.51912938
69	6.75484023
70	6.6843101
71	6.67255376
72	6.48590054
73	3.16831757
74	3.0408728
75	3.03854735
76	2.88943527
77	6.38999393
78	6.3050416
79	6.17398882
80	6.25089149
81	2.8616197
82	2.69484125
83	2.6050724
84	2.90289568
85	2.99180843
86	2.75178912
87	1.19170948
88	7.48424349
89	7.40638405
90	7.40665918
91	7.22353264
92	3.87068936
93	3.75080413
94	3.74980666
95	3.56310609
96	3.26311555
97	7.11874826
98	7.03754294
99	6.91581257
100	6.98934729
101	3.51799604
102	3.41037052
103	3.28217158
104	3.36061686
105	6.02704573
106	5.93388649
107	5.90979813
108	5.73236523
109	2.48372042
110	2.39434663
111	2.35596609
112	2.57265399
113	2.40916597
114	2.38494653
115	2.49143005
116	2.6152542
117	2.41297609
118	1.84632895
119	1.8289901
120	1.77388989
121	1.86310217
122	1.90190681
123	1.95614356
124	1.96021743
125	5.66514602
126	5.56909602
127	5.45478477
128	5.52754521
129	5.32752864
130	5.23562974
131	5.17591061
132	4.99341548
133	4.5836861
134	4.47372257
135	4.47335007
136	4.27768861
137	3.7919385
138	2.94145048
139	2.69915686
140	3.0278708
141	2.85287876
142	5.13466393
143	4.81943682
144	3.662211
145	3.74699255
146	3.99116981
147	3.65882558
148	3.41633807
149	2.7028351
150	2.59287776
151	2.77824941
152	2.90391129
153	2.76639224
154	3.13062745
155	2.86141446
156	3.27607788
157	2.91347587
158	2.93660652
159	2.64055835
160	2.84378174
161	2.7417037
162	3.07270549
163	3.53458068
164	2.8512677
165	4.49428212
166	3.81771999
167	2.78047909
168	2.70612445
169	3.17056961
170	2.72312777
171	3.05149831
172	2.45011058
173	3.40992692
174	3.59039458
175	2.6193323
176	2.80883132
177	2.87063671
178	3.20127363
179	7.90914848
180	2.75145378
181	2.90132031
182	3.07377834
183	3.70764739
184	2.97373227
185	3.97429727
186	2.57809962
187	3.26858795
188	3.51538019
189	2.79162184
190	3.11004446
191	3.3741543
192	2.64675608
193	5.94111595
194	4.23701878
195	2.86573959
196	4.76007175
197	3.64980001
198	7.13870181
199	6.35773051
200	4.40858561
201	3.79833789
202	5.07822286
203	2.75495657
204	3.10986798
205	3.45151379
206	3.31545821
207	3.15547424
208	3.2562745
209	3.79193847
210	5.97938984
211	4.85742035
212	3.7919405
213	5.9793894
214	4.85741739
215	4.52483554
216	2.96257641
217	2.9775249
218	3.71270234
219	4.83280922
220	4.83280831
221	5.3611826
222	2.93514675
223	4.00511335
224	2.7835154
225	7.76409581
226	7.55567004
227	4.96423523
228	2.67906052
229	2.02381352
230	3.08930352
231	3.18596212
232	3.02883312
233	3.14357421
234	8.86168196
235	2.52756983
236	2.5127111
237	7.75916979
238	7.39033703
239	2.49229637
240	2.84247646
241	3.20774664
242	2.62146159
243	3.11693233
244	5.2016656
245	5.924662
246	4.14038103
247	3.78576652
248	2.82865192
249	5.56821338
250	8.49453661
251	4.84673993
252	8.12538291
253	4.48573331
254	4.4636551
255	4.69596409
256	7.02543904
257	2.95943157
258	3.45893989
259	3.19104122
260	2.71904959
261	3.10321616
262	2.71904888
263	3.10452324
264	2.71904959
265	2.68502898
266	2.9469821
267	6.65732266
268	2.63152609
269	2.31423645
270	6.29452413
271	2.58033649
272	2.53870835
273	2.69372037
274	2.83730185
275	5.19519656
276	2.8477789
277	2.85077686
278	2.524388
279	2.2662255
280	2.35615138
281	2.64092398
282	2.63286447
283	2.63799905
284	3.45542844
285	2.59589764
286	2.40885608
287	2.9746942
288	2.88211716
289	3.37301575
290	2.65258774
291	2.45144329
292	2.90819167
293	2.82280586
294	2.23778294
295	2.27147247
296	2.27364836
297	3.83495093
298	2.93721269
299	2.77114035
300	3.83923578
301	4.26424952
302	5.63558426
303	5.03379714
304	8.61310274
305	3.84538853
306	4.7575625
307	9.05460382
308	3.6887469
309	3.3199912
310	4.29188971
311	3.18040972
312	2.8815276
313	3.53584674
314	4.83449846
315	2.14703544
316	2.44009316
317	2.63810118
318	2.59245703
319	2.88665114
320	2.25105766
321	2.34373224
322	2.72714489
323	2.92633363
324	2.64928232
325	2.09077275
326	2.2636831
327	2.37224323
328	2.2888766
329	2.14881595
330	2.82924133
331	2.43291646
332	3.44885471
333	2.14792662
334	1.58153971
335	1.78406819
336	2.34114256
337	2.27608
338	5.63328368
339	6.11131238
340	5.90247009
341	2.67336326
342	2.42131983
343	2.661759
344	7.54014
345	3.33280397
346	8.54704239
347	8.61673243
348	3.44249877
349	2.36971562
350	3.10072958
351	11.6803035
352	10.149062
353	11.5142314
354	4.77150808
355	9.31467674
356	11.9500394
357	13.4560369
358	10.6016076
359	3.04971033
360	2.59679041
361	2.96106677
362	7.14011804
363	7.85319388
364	6.6333442
365	6.826907
366	3.42355322
367	3.63000555
368	5.72438471
369	6.43410394
370	9.30982189
371	3.00213388
372	7.86543894
373	2.59057588
374	5.53976816
375	5.02199191
376	3.09211516
377	3.26538009
378	7.1466094
379	6.94363255
380	6.23975036
381	4.19296354
382	7.76580334
383	8.46924235
384	5.0194559
385	9.90560026
386	4.59869608
387	6.00297378
388	9.18118189
389	5.50515383
390	3.81029046
391	4.5477967
392	7.46229493
393	3.4969634
394	3.99457404
395	2.97057854
396	4.25027137
397	3.55327192
398	2.88854803
399	6.50767247
400	2.99598605
401	2.63874656
402	7.63365793
403	10.1808965
404	6.36789471
405	9.16922328
406	5.71938606
407	6.71384342
408	5.99317886
409	9.87711411
410	2.6228656
411	2.26335367
412	1.85522017
413	2.58671018
414	3.53394868
415	4.0377942000000004
416	2.93319662
417	4.75976319
418	3.16396423
419	4.11613234
420	4.1644683
421	6.37410166
422	7.07109665
423	6.04870467
424	6.85675173
425	2.68609275
426	2.76595284
427	3.32102044
428	2.7804827
429	2.98324455
430	5.02311243
431	5.72353014
432	8.58520831
433	2.36167863
434	3.91931042
435	7.55593787
436	4.06945927
437	7.14565282
438	3.65183692
439	2.69417359
440	3.00654648
441	1.87409612
442	4.74880158
443	7.86396924
444	4.33155692
445	3.40148479
446	2.54238837
447	2.64183814
448	6.43165337
449	6.13805588
450	5.26128571
451	5.43928845
452	3.23359126
453	3.63443644
454	3.44809509
455	3.99472555
456	10.5102493
457	7.13848235
