Compound Id	D144
1	50.796107
2	81.157859
3	57.528866
4	50.252924
5	358.6673
6	419.048959
7	346.7734
8	443.87833
9	129.356985
10	224.13281
11	84.272247
12	121.155065
13	113.665896
14	65.828387
15	63.496426
16	118.750789
17	99.978396
18	165.385368
19	143.650778
20	86.439435
21	80.061672
22	78.915248
23	55.320465
24	52.908344
25	61.869814
26	84.789759
27	65.259603
28	97.789387
29	102.35237
30	71.741378
31	100.263789
32	99.029112
33	118.357811
34	119.885447
35	67.428148
36	66.164266
37	187.327341
38	117.406854
39	94.401501
40	161.458524
41	137.262388
42	81.432229
43	77.556524
44	74.180913
45	80.580684
46	115.360568
47	174.012015
48	58.816404
49	54.772354
50	58.295416
51	55.233074
52	56.281734
53	57.911094
54	55.889439
55	183.465177
56	174.832131
57	174.337899
58	175.32707
59	247.188846
60	232.339836
61	229.635409
62	234.121445
63	554.262604
64	535.599003
65	527.460286
66	535.568154
67	32.202544
68	31.114453
69	427.332907
70	406.395118
71	409.387482
72	393.818839
73	110.439162
74	107.610727
75	108.649872
76	107.430742
77	383.237741
78	367.486931
79	364.44323
80	365.235082
81	93.814674
82	85.716618
83	87.529716
84	88.523269
85	93.240966
86	88.128809
87	20.102507
88	508.65791
89	491.848808
90	492.077241
91	480.073296
92	156.83277
93	148.983873
94	151.901354
95	152.103716
96	114.992377
97	464.39314
98	446.877043
99	442.694754
100	446.639798
101	133.755603
102	129.789627
103	125.481473
104	128.184165
105	347.738543
106	327.030699
107	329.852749
108	326.941072
109	73.252704
110	72.179326
111	70.47406
112	71.329482
113	68.989629
114	68.002272
115	69.168964
116	73.395477
117	70.459728
118	33.902174
119	42.829045
120	42.590485
121	39.622523
122	43.351545
123	40.675511
124	43.107573
125	308.63642
126	297.139608
127	292.870885
128	298.342624
129	280.045204
130	265.935895
131	262.966211
132	260.371617
133	211.756886
134	200.622884
135	206.619622
136	201.594403
137	197.04536
138	73.29489
139	72.859649
140	114.197489
141	106.977687
142	264.825227
143	274.193999
144	212.415296
145	216.095526
146	216.892572
147	215.778084
148	134.351805
149	96.054894
150	79.782199
151	96.507476
152	98.965859
153	88.448726
154	114.897267
155	88.432573
156	119.9691
157	91.978887
158	118.418627
159	67.825681
160	103.869587
161	70.362093
162	105.619946
163	190.943119
164	69.517106
165	205.213163
166	152.148175
167	74.210294
168	100.164601
169	117.656406
170	98.671617
171	115.47783
172	64.481581
173	141.729376
174	124.040679
175	78.506169
176	93.853456
177	98.30248
178	142.323116
179	613.99417
180	83.36411
181	96.077707
182	142.048598
183	202.927476
184	108.615283
185	133.714706
186	70.263655
187	152.972178
188	216.139077
189	90.096361
190	106.862757
191	142.787486
192	69.663694
193	583.893506
194	133.909607
195	97.89402
196	320.007207
197	194.369661
198	522.679088
199	445.779497
200	370.96492
201	140.871075
202	252.156801
203	106.875487
204	128.381957
205	119.426219
206	122.911972
207	132.280914
208	99.062426
