Compound Id	D37
1	1.34990671
2	2.27939655
3	1.44403865
4	1.33459377
5	0.64461707
6	0.65745148
7	0.77116767
8	0.5877913
9	0.89921726
10	0.60810954
11	0.59881661
12	0.68513915
13	1.40648605
14	0.72110625
15	0.69508243
16	0.71777148
17	0.62211302
18	0.60238129
19	0.62244247
20	0.59224196
21	0.70394337
22	1.45020897
23	0.59896429
24	0.66416578
25	1.72393018
26	0.98705723
27	0.93624344
28	0.79951194
29	0.76414793
30	0.87446032
31	0.58323732
32	0.72178622
33	0.69988406
34	0.69988343
35	0.7233268
36	0.61238979
37	0.69103627
38	0.65488092
39	0.66835077
40	0.6988548
41	0.68407525
42	0.65643842
43	0.6577951
44	0.73306295
45	0.68890121
46	0.61697008
47	0.61321514
48	0.64892133
49	0.68466422
50	0.74058972
51	0.90638239
52	0.90696948
53	1.0394473
54	0.94638657
55	0.7594912
56	0.67513175
57	0.6704173
58	0.67300575
59	0.6447072
60	0.67447702
61	0.66955009
62	0.6556394
63	0.76425876
64	0.72436154
65	0.67793199
66	0.62462505
67	0.93057262
68	0.71983635
69	0.76268549
70	0.65066812
71	0.64696881
72	0.66674218
73	0.75364793
74	0.70754007
75	0.64330901
76	0.64897992
77	0.76335555
78	0.72260184
79	0.67726193
80	0.68290951
81	0.64651507
82	0.70301168
83	0.6538397
84	1.21480823
85	0.96198503
86	0.94612644
87	0.71724149
88	0.76311065
89	0.722726
90	0.64818174
91	0.70996016
92	0.75781469
93	0.71426166
94	0.64392866
95	0.64827225
96	0.63488868
97	0.76384278
98	0.72386238
99	0.67746857
100	0.68373053
101	0.75640457
102	0.67637719
103	0.67201296
104	0.63053473
105	0.7626511
106	0.72128305
107	0.68826244
108	0.70828879
109	0.74593679
110	0.62941107
111	0.64969392
112	0.1987455
113	1.01391717
114	1.03071596
115	1.00018232
116	1.03075445
117	0.82007297
118	0.67199602
119	0.73304615
120	0.66937017
121	1.41207334
122	1.34584228
123	1.16306767
124	1.04274921
125	0.76394077
126	0.72187138
127	0.66899331
128	0.62582221
129	0.62128378
130	0.630272
131	0.68636805
132	0.706131
133	0.76018466
134	0.71810846
135	0.64502199
136	0.64907437
137	0.09159441
138	0.2229758
139	0.14706356
140	0.14558926
141	0.09644795
142	0.26954294
143	0.02258948
144	0.15924288
145	0.20008902
146	0.21456153
147	0.17208279
148	0.16874246
149	0.24150847
150	0.23277886
151	0.26379318
152	0.1216774
153	0.13962523
154	0.22510055
155	0.03010523
156	0.19726838
157	0.13671069
158	0.23707433
159	0.14512604
160	0.12696528
161	0.20050308
162	0.14130006
163	0.09972992
164	0.25443605
165	0.0719657
166	0.06967814
167	0.1515647
168	0.23484536
169	0.0668004
170	0.21034246
171	0.26470218
172	0.25874696
173	0.06207531
174	6.4E-7
175	0.2862254
176	0.24246734
177	0.14059815
178	0.11305125
179	0.03273103
180	0.14484317
181	2.3E-7
182	0.09928889
183	0.07268577
184	0.12056666
185	0.02014608
186	0.14972024
187	0.01791409
188	0.01872295
189	0.03658925
190	1.08E-6
191	1.11E-6
192	0.02247937
193	0.24643623
194	3.34E-6
195	0.11907376
196	0.16396243
197	0.16855973
198	0.09822253
199	0.09784355
200	0.10350222
201	0.06633674
202	0.23291716
203	0.12566078
204	0.24981135
205	0.19890605
206	0.19952315
207	0.09934531
208	0.0165319
209	0.09159431
210	0.08980854
211	0.07730154
212	0.0915946
213	0.08980853
214	0.07730071
215	0.22043782
216	0.16266825
217	0.03775196
218	0.16217938
219	0.04887846
220	0.04887828
221	0.11610977
222	0.25739365
223	0.13585055
224	0.27960208
225	0.1350859
226	0.0968998
227	0.05823196
228	0.11092006
229	1.22E-6
230	4.98E-6
231	0.20801351
232	0.17604782
233	0.02720208
234	0.17964167
235	0.05390668
236	0.13433323
237	0.17296378
238	0.17901185
239	0.22632424
240	0.11247065
241	0.1684658
242	0.12852579
243	0.16483136
244	0.17664418
245	0.17799161
246	0.1671805
247	0.17135084
248	0.147077
249	0.17098722
250	0.1732076
251	0.16966214
252	0.17937393
253	0.17478272
254	0.20481723
255	0.27414617
256	0.17274174
257	0.14374261
258	0.1622194
259	0.25996073
260	0.1041326
261	0.23407865
262	0.10413206
263	0.20205197
264	0.1041326
265	0.14669192
266	0.21610885
267	0.17861209
268	0.25882628
269	0.15619481
270	0.17182169
271	0.66698645
272	0.65972142
273	0.60323935
274	1.03452878
275	1.09125826
276	0.7002813
277	0.69184022
278	0.70109188
279	0.47885303
280	0.69929763
281	0.66562179
282	0.74089094
283	0.60941582
284	0.74855756
285	0.65627349
286	0.679763
287	0.67468573
