Compound Id	D127
1	365.724218
2	548.560836
3	399.487346
4	361.189862
5	1033.486
6	1078.641
7	983.163704
8	1094.514
9	605.075704
10	770.562711
11	445.588016
12	554.262548
13	563.295473
14	396.640561
15	388.666824
16	550.814887
17	498.033359
18	661.429127
19	607.187221
20	451.627288
21	442.641133
22	457.878146
23	347.405529
24	342.702445
25	449.859203
26	493.61971
27	410.541966
28	521.028462
29	539.792387
30	445.770343
31	525.258517
32	528.759458
33	553.372303
34	553.372768
35	397.516807
36	392.153208
37	705.998271
38	542.596641
39	490.189232
40	652.592857
41	597.693431
42	448.672456
43	434.666391
44	438.244266
45	443.391498
46	546.330647
47	670.32738
48	355.009621
49	346.050957
50	375.117639
51	374.010383
52	374.55724
53	383.754324
54	369.317065
55	680.037776
56	675.420451
57	668.420237
58	672.267215
59	791.889454
60	784.298594
61	776.39559
62	780.727662
63	1225.864
64	1216.995
65	1215.417
66	1216.583
67	272.969913
68	244.712482
69	1062.809
70	1055.888
71	1051.994
72	1049.182
73	517.088366
74	509.949082
75	507.003544
76	507.52032
77	1007.085
78	1001.636
79	996.939986
80	997.433022
81	464.696002
82	455.747171
83	453.186453
84	507.69345
85	491.177132
86	479.129174
87	189.019715
88	1172.336
89	1160.837
90	1160.324
91	1158.367
92	625.453131
93	620.330675
94	617.676778
95	615.08856
96	548.921621
97	1116.591
98	1108.208
99	1107.315
100	1104.948
101	572.415784
102	565.934842
103	558.298713
104	564.655093
105	952.696855
106	944.44335
107	944.644281
108	940.129577
109	407.325352
110	403.449412
111	399.062536
112	431.275835
113	423.880745
114	423.655829
115	428.549127
116	436.846712
117	425.70483
118	281.679146
119	298.752119
120	297.628509
121	320.638025
122	322.246565
123	344.63964
124	325.982458
125	897.382702
126	893.049148
127	886.141096
128	890.780814
129	847.669191
130	838.661344
131	834.862435
132	830.057553
133	733.716107
134	729.725249
135	726.309684
136	723.400546
137	744.182497
138	467.825841
139	461.304084
140	575.883619
141	562.623107
142	892.473026
143	893.394571
144	857.241883
145	860.048959
146	864.542943
147	863.106497
148	653.524404
149	522.975548
150	473.476318
151	518.814035
152	526.482807
153	484.077651
154	600.0399549
155	485.543173
156	637.6435594
157	547.3148381
158	580.0986835
159	454.835461
160	531.350665
161	465.22031
162	538.824089
163	735.2365817
164	465.719116
165	756.0035762
166	650.4587541
167	495.982864
168	528.9697338
169	633.891987
170	522.723064
171	571.237907
172	424.346573
173	727.257859
174	645.607652
175	471.00298
176	516.267547
177	523.374447
178	626.791522
179	1330.362
180	477.907551
181	523.042743
182	628.04005
183	748.4061875
184	536.525827
185	738.419371
186	433.13246
187	639.671072
188	778.23809
189	485.467924
190	534.8552
191	631.474043
192	433.462908
193	1319.196
194	736.072472
195	525.948753
196	1008.881
197	789.908763
198	1265.071
199	1156.8
200	1091.353
201	662.5242138
202	880.617699
203	560.745207
204	596.6714849
205	611.179076
206	640.183405
207	666.796017
208	557.173011
209	744.182492
210	1070.745
211	906.77598
212	744.18317
213	1070.745
214	906.776278
215	985.782906
216	528.889389
217	531.815552
218	831.722507
219	954.531087
220	954.53062
221	1241.548
222	578.165747
223	939.335183
224	532.4673076
225	1389.783
226	1390.56
227	1008.728
228	456.232125
229	327.391916
230	534.086156
231	680.342935
232	584.873006
233	585.750284
234	1411.776
235	408.275982
236	432.324588
237	1246.938
238	1191.906
239	445.981843
240	527.907567
241	583.79184
242	478.599628
243	541.529944
244	866.608053
245	976.939227
246	707.05268
247	652.321511
248	488.118219
249	922.440031
250	1358.538
251	812.163898
252	1302.847
253	756.378435
254	898.130134
255	843.65157
256	1138.918
257	561.487891
258	595.940926
259	634.131403
260	525.388507
261	665.248099
262	525.387698
263	668.719239
264	525.388507
265	516.684622
266	646.496287
267	1085.668
268	489.01776
269	381.806464
270	1031.827
271	455.112943
272	451.804811
273	461.683048
274	486.614746
275	1077.192
276	504.414839
277	508.07902
278	449.255801
279	356.316963
280	399.540495
281	459.346306
282	499.566774
283	496.646178
284	760.779295
285	456.283621
286	405.982411
287	513.258889
288	582.635857
289	714.203801
290	456.177938
291	406.012496
292	560.778201
293	540.405745
294	371.522753
295	372.225927
296	372.530362
297	686.543347
298	520.618777
299	470.993149
300	633.151097
301	920.266082
302	1421.07
303	1134.969
304	1476.756
305	709.556901
306	906.548702
307	1562.645
308	605.89452
309	600.946465
310	1218.846
311	523.372784
312	465.315216
313	577.242121
314	827.387532
315	350.0299
316	406.902276
317	451.559681
318	447.368206
