Compound Id	D138
1	0.696321
2	0.622988
3	0.710602
4	0.701369
5	0.858787
6	0.896458
7	0.89846
8	0.916407
9	0.85117
10	0.916514
11	0.877441
12	0.883739
13	0.817655
14	0.854481
15	0.843296
16	0.875651
17	0.8852
18	0.905702
19	0.901403
20	0.879121
21	0.852831
22	0.812057
23	0.8518
24	0.829425
25	0.682554
26	0.795175
27	0.801231
28	0.855604
29	0.840259
30	0.814733
31	0.875903
32	0.851435
33	0.885005
34	0.882004
35	0.835908
36	0.861201
37	0.912133
38	0.888476
39	0.885759
40	0.899441
41	0.898472
42	0.854567
43	0.868967
44	0.832625
45	0.851752
46	0.893802
47	0.905483
48	0.852665
49	0.835344
50	0.788605
51	0.766887
52	0.767583
53	0.749782
54	0.781368
55	0.905013
56	0.907129
57	0.901955
58	0.912303
59	0.920162
60	0.914431
61	0.908904
62	0.919554
63	0.937739
64	0.939395
65	0.946593
66	0.939899
67	0.699399
68	0.780203
69	0.932424
70	0.925125
71	0.942954
72	0.934147
73	0.87812
74	0.872957
75	0.895553
76	0.895876
77	0.92814
78	0.921951
79	0.938355
80	0.939042
81	0.879928
82	0.864242
83	0.885885
84	0.738425
85	0.806505
86	0.816623
87	0.769332
88	0.937425
89	0.930096
90	0.939968
91	0.933383
92	0.897258
93	0.894764
94	0.909721
95	0.90685
96	0.826912
97	0.933504
98	0.928803
99	0.943521
100	0.937648
101	0.891394
102	0.887822
103	0.890934
104	0.902545
105	0.926216
106	0.924852
107	0.937448
108	0.924534
109	0.856087
110	0.880704
111	0.875469
112	0.801114
113	0.775435
114	0.775843
115	0.769842
116	0.774154
117	0.804101
118	0.695242
119	0.811606
120	0.818574
121	0.703723
122	0.73623
123	0.641673
124	0.717317
125	0.923514
126	0.918554
127	0.919257
128	0.932187
129	0.926492
130	0.929916
131	0.930164
132	0.917617
133	0.910433
134	0.908614
135	0.916268
136	0.915063
137	0.856488
138	0.691406
139	0.716692
140	0.810793
141	0.814107
142	0.841163
143	0.850287
144	0.805726
145	0.815596
146	0.787798
147	0.815474
148	0.748092
149	0.804308
150	0.777566
151	0.803474
152	0.812461
153	0.798283
154	0.743228
155	0.801495
156	0.720109
157	0.711766
158	0.835157
159	0.677797
160	0.818316
161	0.679506
162	0.81605
163	0.881669
164	0.687766
165	0.865114
166	0.844643
167	0.671586
168	0.82404
169	0.712359
170	0.804178
171	0.81981
172	0.742628
173	0.676102
174	0.686843
175	0.777321
176	0.804165
177	0.808171
178	0.864848
179	0.909743
180	0.786362
181	0.796272
182	0.856478
183	0.885473
184	0.821338
185	0.610002
186	0.767682
187	0.873059
188	0.905574
189	0.808939
190	0.829119
191	0.861201
192	0.767512
193	0.916195
194	0.604774
195	0.811543
196	0.826495
197	0.793134
198	0.902262
199	0.895586
200	0.884744
201	0.767212
202	0.809968
203	0.815824
204	0.82712
205	0.735137
206	0.744919
207	0.739581
208	0.714578
209	0.85531
210	0.892524
211	0.877946
212	0.856488
213	0.894135
214	0.878644
215	0.830377
216	0.812404
217	0.818282
218	0.805194
219	0.888215
220	0.886174
221	0.905143
222	0.848771
223	0.829062
224	0.826904
225	0.914435
226	0.913
227	0.898039
228	0.674485
229	0.670123
230	0.63211
231	0.855451
232	0.833237
233	0.674094
234	0.913957
235	0.634731
236	0.76114
237	0.907475
238	0.905065
239	0.783491
240	0.803876
241	0.81291
242	0.792364
243	0.808991
244	0.864511
245	0.882994
246	0.837884
247	0.826308
248	0.782094
249	0.872277
250	0.910287
251	0.859346
252	0.908226
253	0.850848
254	0.884647
255	0.870444
256	0.899222
257	0.819621
258	0.820425
259	0.843863
260	0.817131
261	0.846888
262	0.818194
263	0.846675
264	0.817131
265	0.793135
266	0.84892
267	0.895111
268	0.807361
269	0.721134
270	0.887592
271	0.707923
272	0.713068
273	0.717197
274	0.657216
275	0.691343
276	0.727302
277	0.746333
278	0.700352
279	0.705115
280	0.663033
281	0.691088
282	0.717347
283	0.729562
284	0.876981
285	0.714439
286	0.674492
287	0.736415
288	0.779199
289	0.675071
290	0.716323
291	0.674923
292	0.710687
293	0.750261
294	0.576564
295	0.56615
296	0.565951
297	0.640034
298	0.709314
299	0.61545
300	0.74302
301	0.772115
302	0.833042
303	0.810484
304	0.85816
305	0.731622
306	0.765486
307	0.856903
308	0.680381
309	0.700944
310	0.807736
311	0.694272
312	0.675566
313	0.716792
314	0.827105
315	0.610857
316	0.673292
317	0.70589
318	0.721868
319	0.879998
320	0.883054
321	0.808316
322	0.823049
323	0.855033
324	0.900309
325	0.711591
326	0.890515
327	0.879383
328	0.87869
329	0.874983
330	0.867619
331	0.817111
332	0.819091
333	0.781768
334	0.601039
335	0.679452
336	0.899604
337	0.878813
338	0.803435
339	0.831938
340	0.860281
