Compound Id	Flash point
1	401.15
2	422
3	385
4	401.15
9	386
10	382.15
11	330
12	346
13	409
14	316.15
15	294
20	319
22	366
23	301
24	284.26
25	533.15
26	374.15
27	371.15
28	329.75
29	383.15
30	350
31	333
32	333.15
35	316
36	299.15
38	327
42	331.15
43	297.15
44	321.15
45	314
46	327
47	377.59
48	310
49	296.15
51	363.15
52	382
53	407.15
54	358.15
55	378
67	383.15
68	286
73	346
74	332.15
81	335.15
82	314
84	471
85	420.15
86	374
87	284
92	353
96	341
101	354
102	358
109	330
110	314
111	313
116	402.15
117	374.15
118	294
119	298
120	285.15
121	372
122	372
123	433.15
124	352.15
125	418
129	394
137	373
138	325.15
139	311
140	337
141	323
149	331
150	312.15
151	338
152	330
153	311.15
155	309.15
159	320.15
160	323
161	324.15
162	325
164	319
169	402.04
170	330.37
171	345
172	290
173	436
174	402.04
175	317.15
176	341.15
177	336.48
178	353.15
180	318.65
181	328
182	349
184	329
185	464
186	298.15
187	354.15
188	359.82
189	317.55
190	329.15
191	349
192	298.15
194	480
195	329
203	338
207	383.15
216	331
217	320
228	313.15
229	262
230	386
232	372
233	403.15
235	305
236	288.15
239	321.65
240	325.15
241	335
242	304.15
243	323.15
244	380
245	414
246	368.15
247	353.15
248	303.15
249	417
251	372
253	380.15
257	364.15
258	338.15
264	325
265	333.15
268	350
269	277.15
271	358.15
272	377.15
273	378.15
274	461
275	434
276	363.15
277	358.15
278	351.15
279	356
280	354
281	369
282	366.15
283	360.15
284	390.15
285	367.15
286	368
287	373.15
288	384
289	480.15
290	373.15
291	368
292	403
293	386
294	400
295	400
296	438
297	418.15
298	363.15
299	355
300	379.15
301	430.15
302	505
303	466.15
304	489.15
305	390.37
306	434.15
307	505.37
308	411.15
309	419
310	489
311	357.15
312	355.15
313	371.15
314	411
315	353
316	374
317	368.15
318	346.15
319	366.15
320	338.15
321	346.15
322	434.15
323	367.15
324	354
325	354
326	331.15
327	335.15
328	343.15
329	341
330	330.15
331	324.15
332	383.15
333	382.15
334	343.15
335	371.48
336	331.15
337	335.15
341	318
342	283
343	316
345	344.15
348	355.15
349	311
350	334
359	306.15
360	295.37
361	355.37
366	322
367	326.48
371	295
373	291
376	312
377	305.37
384	378
386	373
389	466
390	393
391	413
392	451.15
393	366.15
394	363
395	298
397	395
398	366.15
399	464
400	368.15
401	363.15
402	451.75
404	433
406	389
408	421
410	282.15
411	265
412	256
413	274
414	342.15
415	386.15
416	275.15
417	364.15
418	332.15
419	371.15
420	352.15
424	365
425	319
426	293.15
428	320.15
429	297.15
430	375.15
431	386.15
432	444
433	269
434	352.15
435	428
436	347.15
437	386.15
438	326.15
439	287
440	298.15
441	253.15
442	367.15
443	441
444	354.15
445	307.15
446	282.15
447	285
448	386.15
450	386.15
451	386.15
452	361.15
453	373.15
455	349
462	310.15
464	330
467	311.15
468	314.15
469	330
472	291
474	302
476	304.26
477	320
479	331
481	386.15
482	298.15
483	358
484	345
485	314
486	321
490	275
493	335.15
494	386.15
495	335.15
496	306.15
498	364.15
499	356.15
500	310.15
501	310.15
502	319.15
503	361.15
504	297.15
505	361.15
506	366.15
507	377.15
508	335.15
509	335.15
510	335.15
511	335.15
512	335.15
513	335.15
514	335.15
515	335.15
516	386.15
517	386.15
518	386.15
519	386.15
520	373.15
521	284.15
522	276.15
523	293.15
524	287
525	367.15
526	386.15
527	386.15
528	263.15
529	386.15
530	383.15
531	325.15
532	319.15
533	425
534	316.15
535	254
536	386.15
537	360.15
538	388
539	342.15
540	302.15
541	386.15
542	270
543	271
545	386.15
547	433.15
548	288
549	270
550	292.15
551	316
552	372.15
553	360
557	378
559	359.15
561	353
568	345
572	312.15
574	319
577	336
585	322
592	311
597	255.15
599	299
601	300.15
602	320
603	287.25
604	264.15
606	433
608	421
609	398
610	385
611	410
618	318.15
619	319.15
620	324.15
621	292.15
622	322.15
623	280
624	257
628	325.15
639	322
641	258.15
645	322.15
646	309.15
652	303.15
653	311.15
656	304
657	347.15
658	321
659	308
661	284
662	269
663	279
664	279
665	323.15
666	338
667	360.15
668	267.15
669	257
670	262.15
671	253.15
672	316
673	295
674	308.15
675	303.15
676	273
677	236
679	305.37
682	300.15
683	295.15
684	269
689	308.15
690	287
691	267.15
692	322.04
693	246
694	254
701	339
702	302
703	285
704	304
705	289
709	311
710	315
713	280
714	281
715	284.15
716	325.15
725	266.15
726	246
727	228
728	267.15
729	246
730	239
731	272
732	294.26
733	266.15
734	245
735	237
736	200
737	265
738	247
739	294
740	226
741	254.15
742	261.15
743	282
744	264
745	245
746	290
748	248.15
749	281
752	248.15
753	290
767	272
768	256
769	285
770	247.15
771	263
772	226
773	228
774	283
775	281
776	267
777	247
778	250
779	197
781	255.15
782	257.15
783	251.15
784	281
785	256
786	256.15
787	275
788	268
789	272.15
790	280
791	297.15
793	274
794	256
795	267
796	217
797	261.15
798	270
799	255
800	245
801	245
803	245.15
804	289
806	275
807	258
808	242
809	255
810	261
811	263
813	291
816	193
817	197.15
818	267.15
819	243.15
820	298.15
821	244
822	311
824	346
826	265.15
828	263
829	408
830	247
831	246
832	405.15
833	219.26
834	298
835	299
836	281
837	282
838	421.15
839	222
840	385
841	165
842	370
843	352.15
844	327
918	277.15
920	255
922	314
924	297
929	225
931	297
932	269
933	304
934	258.15
935	208
936	249
937	288
938	270
939	278
940	304
941	289
942	304
943	284
944	288
945	261
946	304
947	276
948	368.15
952	286
953	289
954	244
956	288
957	278.48
958	309
959	258
960	288
961	273
962	304
963	284
964	288
965	273
966	304
967	304
968	304
969	288
976	288
977	283.15
978	261
979	288
980	304
981	304
983	288
984	271
988	299
989	307
990	490
995	314
999	276
1000	311
1001	286
1002	288
1003	304
1004	288
1005	314
1006	276
1007	288
1008	304
1015	278
1021	261
1030	279
1032	269
1033	311
1035	297
1036	241
1037	294
1038	272
1039	314
1040	254
1041	288
1042	304
1043	304
1044	288
1045	277
1046	304
1047	288
1048	314
1063	314
1065	288
1067	314
1071	279.15
1072	311
1073	295
1079	314
1089	288
1102	312
1138	190.15
1139	250
1140	217.15
1143	319
1144	347
1146	421.15
1147	269
1148	408.15
1149	251.5
1150	441
1151	304
1152	438.15
1153	286
1154	388
1155	233.15
1157	373.15
1158	352
1159	338.15
