Compound Id	Cetane number
5	41
6	44
7	46
8	51
33	23.4
34	23.4
48	17
55	50.3
59	59.3
68	9.5
73	28.75
77	73
81	24.4
87	3
92	45.3
97	81
101	39
103	25.1
109	20
119	12
125	65.9
133	53.2
142	23
143	23
144	18
145	18
146	18
147	18
148	6
167	0
172	8
174	1
176	17
179	42
182	-8
184	9
186	1
192	-13
193	26
196	18
197	10
198	39
199	39
200	18
202	18
206	3
208	-13
209	33
210	49
211	51
212	33
213	49
214	51
215	13
217	2
218	9
219	42
220	42
221	58
223	12
225	39
226	39
227	41
229	2
230	21
231	18
233	11
236	8
242	15
245	68
246	35
247	26
251	50
253	32
254	18
255	20
258	9
259	8
260	6
261	7
262	6
263	7
265	-1
266	17
267	72
268	13
269	N/A
338	20.4
339	31.4
340	46.1
344	88.2
346	98.2
347	115.5
351	23
352	32
353	45
354	6.7
355	100
356	89
357	85
358	100
362	28.6
363	47.55
365	60.7
367	17.8
368	54.6
369	73
372	89.45
375	39.6
378	69.4
381	50
382	81
383	84
384	62
385	91
387	61
388	72
391	28
396	15
403	134
405	85
406	77
407	67
409	74
421	26.7
422	39.6
424	60.85
427	0
430	51.2
431	73
437	86.55
443	86
448	66.9
454	0
456	88
457	86
458	70
459	102
460	64
461	74
463	87
465	72
466	59.6
473	83.6
475	99.3
488	86.6
489	46.6
491	82.6
492	96.5
497	6
516	22.7
517	42.2
518	51
519	55.5
525	47
526	61
527	100
531	33.5
533	74.4
534	21
538	81
539	33.6
544	72
547	86.3
554	61.7
555	90
556	131
558	84
560	107
562	49
563	71
581	26.8
582	42.3
584	58.8
586	52.9
587	71
589	85
591	80.4
593	71
596	71.9
598	84.8
600	97.5
605	81
607	68
612	70
625	42
629	30.5
635	45
636	37
637	63
638	63
643	57
644	57
647	36
648	18
649	36
650	18
651	21
654	66
655	66
657	51
658	46.5
660	31
665	38.1
671	15
675	22
683	45
691	21
699	31
704	52
706	35
707	34
708	34
711	24
716	35.9
719	56
720	56
721	56
722	56
723	56
724	56
731	44
732	43
737	44
739	43
747	45
750	45
751	45
754	45
755	24
756	24
757	43
758	43
759	43
760	45
761	43
762	43
763	43
764	45
765	66
766	66
780	4.5
788	10
792	51
802	26
804	35
805	28
812	47
814	36
815	36
822	59
823	40
824	71
825	38
826	32
827	22
830	27
832	86
834	51
836	41
838	90
842	79
844	65
845	56
846	56
847	56
891	20
892	20
893	20
898	67
899	40
900	67
901	40
902	67
903	40
904	59
905	47
906	59
907	47
908	59
909	47
929	24
933	59
945	15
949	15
950	15
951	9
952	24
970	21
971	9
972	9
973	21
974	9
978	29
985	58
986	58
991	39
992	39
993	39
997	48
1009	47
1036	30
1075	39
1100	45
1101	53
1103	30
1122	70
1123	83
1132	48
1135	87
1136	66
1139	28
1142	22
1143	76
1144	85
1145	110
1146	105
1147	55
1148	100
1149	44
1150	110
1151	72
1152	106
1153	64
1154	96
1155	30
1156	-20
1157	95
1158	90
1159	81
