Compound Id	AtomCount
13837650	8
29015	14
258	15
7714	14
7882	33
7837	24
7812	21
932	27
6040	18
1004	12
10445	26
6320	15
6312	15
6146	15
21011	18
3644	12
29000	18
175	10
6102	6
236	12
7224	13
7673	12
6321	13
29012	20
5730	5
7676	12
5977	5
7787	18
7679	17
14840	32
8569	27
121365	30
6104	5
3168	15
12181	21
7890	38
682	9
8525	14
7219	18
9614	12
8560	23
7767	20
864	6
6335	11
14672	18
7674	21
7641	18
11752	15
11815	12
13014	19
6334	12
28994	9
12814	16
7849	29
349	26
6967	18
7712	17
7636	13
7521	18
29080	15
7737	13
1108	15
13619	35
