Compound Id	TPSA
13837650	0.0
29015	18.46
258	20.23
7714	0.0
7882	20.23
7837	20.23
7812	20.23
932	20.23
6040	20.23
1004	20.23
10445	0.0
6320	20.23
6312	20.23
6146	20.23
21011	20.23
3644	20.23
29000	20.23
175	17.07
6102	23.79
236	0.0
7224	23.79
7673	0.0
6321	17.07
29012	26.3
5730	0.0
7676	0.0
5977	0.0
7787	0.0
7679	17.07
14840	0.0
8569	9.23
121365	29.1
6104	0.0
3168	9.23
12181	20.310
7890	0.0
682	20.23
8525	26.3
7219	0.0
9614	0.0
8560	0.0
7767	0.0
864	20.23
6335	26.3
14672	9.23
7674	0.0
7641	0.0
11752	29.1
11815	29.1
13014	20.310
6334	29.1
28994	29.1
12814	20.310
7849	0.0
349	0.0
6967	0.0
7712	0.0
7636	35.53
7521	0.0
29080	42.52
7737	9.23
1108	0.0
13619	0.0
