Compound Id	XLogP
13837650	1.74
29015	-0.38
258	0.851
7714	2.3250
7882	4.265
7837	2.5580
7812	1.9890
932	3.1270
6040	1.42
1004	0.282
10445	4.807
6320	0.742
6312	0.579
6146	0.801
21011	1.3110
3644	0.3840
29000	1.359
175	0.185
6102	0.0310
236	4.062
7224	2.7770
7673	3.4410
6321	0.438
29012	1.5910
5730	2.8640
7676	3.103
5977	2.074
7787	3.4140
7679	0.92
14840	6.03
8569	2.72
121365	2.451
6104	1.5190
3168	0.8660
12181	0.698
7890	7.1680
682	-0.0760
8525	0.6640
7219	4.9540
9614	2.966
8560	4.323
7767	3.7540
864	-0.499
6335	0.2410
14672	1.32
7674	3.9220
7641	4.708
11752	0.133
11815	-0.1030
13014	0.1880
6334	-0.29
28994	-0.526
12814	-0.17
7849	5.461
349	4.8920
6967	4.708
7712	3.1850
7636	0.6620
7521	4.708
29080	0.4660
7737	0.5260
1108	4.385
13619	6.599
