Compound Id	Nucleophilic frontal density
1	0.2
2	0.2
3	0.2
4	0.2
5	0.2
6	0.2
7	0.19
8	0.2
9	0.2
10	0.15
11	0.16
12	0.16
13	0.18
14	0.14
15	0.16
16	0.18
17	0.19
18	0.15
19	0.18
20	0.15
21	0.2
22	0.2
23	0.19
24	0.2
25	0.2
26	0.18
27	0.18
28	0.16
29	0.19
30	0.19
31	0.16
32	0.15
33	0.19
34	0.19
35	0.2
36	0.16
37	0.18
