Compound Id, pEC50
1, 0.11
2, -0.03
3, 0.27
4, 1.01
5, -0.5
6, -0.03
7, 1.58
8, 0.04
9, 0.95
10, -1.32
11, 0.41
12, 1.87
13, 0.67
14, -0.62
15, -0.83
16, -2.04
17, 1.74
18, 1.68
19, 1.94
20, 1
21, 1.38
22, 0.59
23, 1.8
24, 1.42
25, 1.6
26, 1.54
27, 1.15
28, 1.61
29, 1.3
30, 1.8
31, 0.49
32, 0.8
33, 0.99
34, 1.65
35, 0.23
36, 0.58
37, 0.84
38, 1.01
39, 0.56
40, 0.47
41, -1.19
42, 0.51
43, 0.39
44, 0.39
45, 0.59
46, -1.79
47, -2.5
48, -0.01
49, -0.07
50, 2.14
51, 1.81
52, 1.87
53, 1.22
54, 0.58
55, 0.64
56, 0.68
57, 1.55
58, 0.93
59, 0.48
60, 0.6
61, -0.13
62, 1.56
63, 1.57
64, 1.14
65, 0.75
66, 0.4
67, -2.04
68, 0.23
69, -0.2
70, 2.05
71, 0.63
72, -0.61
73, -1.08
74, -0.96
75, -1.49
76, -1.65
77, -2.77
78, -1.36
79, 1.08
80, 0.62
81, 1.38
82, 0.62
83, 0.96
84, 1.16
85, 0.56
86, 0.36
87, -0.29
88, 0.49
89, 1.63
90, 1.39
91, 0.98
92, 1.17
93, 0.4
94, 0.82
95, 0.05
96, -2
97, -1.34
98, 1.8
99, 1.57
100, 1.89
101, 0.65
102, 1.05
103, -0.87
104, 0.61
105, 0.27
106, -0.05
107, 0.58
108, -0.32
