Compound Id	40-h Tetrahymena toxicity as log(1/IGC50)
1	-0.23
2	1.97
3	-0.16
4	-0.01
5	-0.21
6	-1.40
7	1.41
8	1.51
9	0.04
10	-0.27
11	0.54
12	0.70
13	-0.65
14	-0.38
15	-0.43
16	-0.55
17	-0.14
18	0.09
19	-1.14
20	-0.64
21	0.66
22	0.13
23	-0.39
24	0.75
25	-0.33
26	-0.87
27	-0.13
28	-0.02
29	0.70
30	0.76
31	0.51
32	-0.05
33	-0.47
34	0.86
35	0.93
36	-0.17
37	1.05
38	-0.45
39	0.74
40	1.91
41	0.08
42	-0.00
43	0.98
44	1.20
45	1.34
46	0.16
47	1.22
48	0.45
49	1.60
50	0.81
51	0.95
52	1.85
53	1.28
54	1.21
55	1.60
56	1.76
