Compound Id	Aqueous solubility
000061-82-5	5.447
000086-50-0	1.32
000095-14-7	4.297
000134-58-7	4.167
000273-40-5	4.851
001031-47-6	2.398
002642-71-9	1.021
014500-23-3	2.301
024017-47-8	1.591
041083-11-8	-0.921
041814-78-2	3.204
042509-80-8	1.839
043121-43-3	1.854
055179-31-2	0.699
055219-65-3	2.079
060207-31-0	2.477
060207-90-1	2.041
060207-93-4	1.903
066246-88-6	1.863
068049-83-2	1.204
075736-33-3	0.954
076674-21-0	2.114
079983-71-4	1.23
082200-72-4	1.519
083657-17-4	0.925
083657-22-1	0.925
083657-24-3	0.602
086598-92-7	0.23
088671-89-0	2.152
089482-17-7	1.792
094361-06-5	2.146
098967-40-9	1.69
103112-35-2	-0.046
107534-96-3	1.556
112143-82-5	2.636
112281-77-3	2.193
114369-43-6	-0.699
116255-48-2	1.699
119126-15-7	0
119446-68-3	1.176
122836-35-5	2.892
125116-23-6	1.176
125225-28-7	0.841
125306-83-4	0.398
128639-02-1	1.342
129586-32-9	2.097
131983-72-7	0.845
139528-85-1	2.301
147150-35-4	1.2
