Compound Id	Octanol/water partition coefficient
000061-82-5	-0.86
000086-50-0	2.75
000095-14-7	1.44
000134-58-7	-0.71
002642-71-9	3.4
024017-47-8	3.34
041083-11-8	5.3
041814-78-2	1.7
042509-80-8	3.82
043121-43-3	2.77
055179-31-2	4.16
055219-65-3	2.9
060207-31-0	2.32
060207-90-1	3.72
060207-93-4	3.1
075736-33-3	3.8
076674-21-0	2.29
079983-71-4	3.9
082200-72-4	3.28
083657-22-1	3.67
083657-24-3	4.3
086598-92-7	4.94
088671-89-0	2.94
089482-17-7	3.08
094361-06-5	2.9
107534-96-3	3.7
112143-82-5	2.69
112281-77-3	3.56
114369-43-6	3.23
116255-48-2	3.24
119446-68-3	4.3
122836-35-5	0.99
125116-23-6	3.85
125225-28-7	4.21
125306-83-4	3.21
128639-02-1	3.36
129586-32-9	3.02
131983-72-7	3.29
139528-85-1	3.08
000273-02-9	1.44
000288-36-8	-0.29
000288-88-0	-0.58
000938-56-7	0.5
001123-54-2	-0.96
001455-77-2	-1.61
001680-44-0	1.91
002338-12-7	1.95
002440-22-4	4.31
002683-90-1	-1.97
003357-42-4	1.54
004368-68-7	1.27
006085-94-5	0.92
007411-23-6	2.24
013351-73-0	1.13
016584-05-7	1.58
026621-45-4	-0.68
028911-01-5	2.42
028981-97-7	2.12
036791-04-5	-1.85
057801-81-7	2.79
059338-93-1	1.79
069141-50-0	1.95
077314-77-3	1.13
104958-85-2	-1.59
