Compound Id	Melting point
000061-82-5	159
000086-50-0	73
000095-14-7	100
001031-47-6	167.5
002642-71-9	53
024017-47-8	3.5
041814-78-2	187
042509-80-8	25
043121-43-3	82
055179-31-2	127
055219-65-3	124
060207-31-0	112.6
060207-90-1	25
060207-93-4	84
066246-88-6	58.5
068049-83-2	168
075736-33-3	148
076674-21-0	130
079983-71-4	111
082200-72-4	133.5
083657-17-4	153
083657-22-1	153
083657-24-3	148.5
086598-92-7	90
088671-89-0	65.5
089482-17-7	138.2
094361-06-5	107.5
098967-40-9	252
103112-35-2	110
107534-96-3	102.4
112143-82-5	53
112281-77-3	6
114369-43-6	125
116255-48-2	84
119126-15-7	146
119446-68-3	76
122836-35-5	122
125116-23-6	111.5
125225-28-7	89
125306-83-4	115
131983-72-7	140
139528-85-1	211
147150-35-4	217
001123-54-2	300
001455-77-2	205
002338-12-7	217
002440-22-4	132
006085-94-5	49
013351-73-0	64.5
015421-84-8	100
019794-93-5	87
029975-16-4	228.5
057801-81-7	213
059338-93-1	139
066535-86-2	239
083366-66-9	83.5
