Compound Id	MPC10
3aa	37
3ab	45
3ba	53
3be	28
3bf	46
3de	58
3df	80
3dk	34
3dl	89
3ea	55
3eb	61
3ee	28
3ef	48
3eh	66
3ei	82
3el	55
3en	54
3fb	67
3ff	54
3fi	90
3fn	60
3gb	51
3gh	60
3gn	44
3go	68
3hb	93
3ho	108
3ib	103
3if	86
4aa	37
4ab	45
4dl	89
7aa	76
7ac	100
7bc	93
5ba	48
5bb	52
5be	28
5bf	40
5bh	52
5bi	68
5ch	62
5cj	68
5_da	34
5da	90
5_db	38
5db	98
5de	56
5df	80
5_dh	40
5dh	104
5di	124
5dj	104
5dk	32
5_dl	34
5dl	90
5dm	128
6ac	78
6ad	130
6bd	156
6bg	96
6dc	104
