Compound Id	MATS2e
3aa	0.044
3ab	0.05
3ba	0.003
3be	0.069
3bf	0.084
3de	0.101
3df	0.107
3dk	0.084
3dl	0.067
3ea	0.006
3eb	0.006
3ee	0.075
3ef	0.088
3eh	0.121
3ei	-0.12
3el	0.042
3en	0.042
3fb	-0.019
3ff	0.059
3fi	-0.131
3fn	0.016
3gb	-0.081
3gh	0.107
3gn	-0.065
3go	0.434
3hb	-0.066
3ho	0.44
3ib	-0.01
3if	0.046
4aa	0.044
4ab	0.05
4dl	0.067
7aa	0.068
7ac	0.028
7bc	-0.122
5ba	-0.023
5bb	-0.027
5be	0.033
5bf	0.05
5bh	0.086
5bi	-0.137
5ch	0.043
5cj	0.043
5_da	-0.091
5da	0.011
5_db	-0.109
5db	0.01
5de	0.071
5df	0.079
5_dh	0.046
5dh	0.118
5di	-0.094
5dj	0.118
5dk	0.05
5_dl	-0.093
5dl	0.041
5dm	0.135
6ac	-0.031
6ad	0.103
6bd	0.028
6bg	-0.061
6dc	-0.056
