Compound Id	HTv
3aa	9.87
3ab	11.434
3ba	10.605
3be	9.901
3bf	10.378
3de	12.833
3df	13.372
3dk	10.36
3dl	13.784
3ea	11.119
3eb	12.68
3ee	10.479
3ef	11.002
3eh	11.59
3ei	11.549
3el	11.699
3en	11.8
3fb	13.168
3ff	11.384
3fi	11.985
3fn	12.166
3gb	11.943
3gh	10.833
3gn	10.893
3go	10.93
3hb	13.944
3ho	12.715
3ib	15.559
3if	13.762
4aa	9.645
4ab	11.335
4dl	13.184
7aa	11.987
7ac	12.185
7bc	13.332
5ba	9.762
5bb	11.332
5be	9.307
5bf	9.774
5bh	10.147
5bi	10.157
5ch	10.923
5cj	11.285
5_da	8.587
5da	12.489
5_db	10.188
5db	14.03
5de	12.125
5df	12.613
5_dh	9.004
5dh	12.834
5di	12.91
5dj	13.121
5dk	10.059
5_dl	9.223
5dl	13.024
5dm	13.503
6ac	13.605
6ad	17.564
6bd	18.708
6bg	14.391
6dc	14.838
