Compound Id	E2e
3aa	0.552
3ab	0.507
3ba	0.521
3be	0.448
3bf	0.44
3de	0.441
3df	0.452
3dk	0.492
3dl	0.467
3ea	0.455
3eb	0.463
3ee	0.446
3ef	0.437
3eh	0.351
3ei	0.454
3el	0.456
3en	0.458
3fb	0.47
3ff	0.456
3fi	0.461
3fn	0.462
3gb	0.417
3gh	0.397
3gn	0.432
3go	0.393
3hb	0.492
3ho	0.426
3ib	0.49
3if	0.443
4aa	0.409
4ab	0.448
4dl	0.533
7aa	0.468
7ac	0.459
7bc	0.473
5ba	0.383
5bb	0.372
5be	0.448
5bf	0.397
5bh	0.351
5bi	0.373
5ch	0.348
5cj	0.381
5_da	0.483
5da	0.42
5_db	0.476
5db	0.408
5de	0.413
5df	0.39
5_dh	0.464
5dh	0.38
5di	0.403
5dj	0.466
5dk	0.409
5_dl	0.466
5dl	0.416
5dm	0.423
6ac	0.377
6ad	0.377
6bd	0.322
6bg	0.357
6dc	0.332
