Compound Id	HOMA
3aa	0.182
3ab	0.305
3ba	0.267
3be	0.213
3bf	0.336
3de	0.515
3df	0.506
3dk	0.568
3dl	0.522
3ea	0.469
3eb	0.393
3ee	0.492
3ef	0.421
3eh	0.552
3ei	0.551
3el	0.443
3en	0.45
3fb	0.426
3ff	0.38
3fi	0.456
3fn	0.584
3gb	0.426
3gh	0.408
3gn	0.594
3go	0.509
3hb	0.58
3ho	0.483
3ib	0.655
3if	0.574
4aa	0.575
4ab	0.534
4dl	0.56
7aa	0.541
7ac	0.537
7bc	0.519
5ba	0.619
5bb	0.613
5be	0.406
5bf	0.405
5bh	0.608
5bi	0.615
5ch	0.603
5cj	0.595
5_da	0.622
5da	0.616
5_db	0.618
5db	0.615
5de	0.503
5df	0.502
5_dh	0.612
5dh	0.614
5di	0.62
5dj	0.61
5dk	0.495
5_dl	0.616
5dl	0.613
5dm	0.606
6ac	0.485
6ad	0.514
6bd	0.512
6bg	0.485
6dc	0.486
