Compound Id	Mor05v
3aa	-3.484
3ab	-3.804
3ba	-3.637
3be	-3.99
3bf	-4.037
3de	-4.865
3df	-4.298
3dk	-4.211
3dl	-4.102
3ea	-3.921
3eb	-4.28
3ee	-3.912
3ef	-4.087
3eh	-3.953
3ei	-4.195
3el	-3.99
3en	-4.152
3fb	-4.42
3ff	-4.283
3fi	-4.41
3fn	-4.214
3gb	-3.969
3gh	-3.996
3gn	-3.922
3go	-4.06
3hb	-4.247
3ho	-4.894
3ib	-5.026
3if	-4.19
4aa	-2.766
4ab	-3.389
4dl	-5.417
7aa	-4.637
7ac	-4.597
7bc	-4.439
5ba	-3.719
5bb	-3.84
5be	-3.674
5bf	-4.185
5bh	-3.861
5bi	-3.926
5ch	-4.447
5cj	-4.59
5_da	-3.461
5da	-4.902
5_db	-3.708
5db	-5.123
5de	-4.956
5df	-5.267
5_dh	-3.593
5dh	-5.049
5di	-5.056
5dj	-5.239
5dk	-3.915
5_dl	-3.582
5dl	-4.995
5dm	-5.375
6ac	-5.202
6ad	-6.744
6bd	-7.56
6bg	-5.654
6dc	-6.015
