Compound Id	MATS8m
3aa	0.037
3ab	-0.043
3ba	0.105
3be	0.126
3bf	0.142
3de	0.098
3df	0.105
3dk	0.138
3dl	0.007
3ea	-0.227
3eb	-0.118
3ee	-0.158
3ef	-0.169
3eh	-0.188
3ei	-0.165
3el	-0.139
3en	-0.003
3fb	-0.104
3ff	-0.15
3fi	-0.189
3fn	0.006
3gb	-0.105
3gh	-0.09
3gn	0.037
3go	-0.207
3hb	-0.091
3ho	-0.089
3ib	0.009
3if	0.015
4aa	0.037
4ab	-0.043
4dl	0.007
7aa	0.136
7ac	-0.006
7bc	-0.088
5ba	0.012
5bb	-0.082
5be	0.263
5bf	0.264
5bh	-0.013
5bi	-0.16
5ch	0.013
5cj	0.053
5_da	0.074
5da	-0.031
5_db	-0.097
5db	-0.052
5de	0.164
5df	0.167
5_dh	0.123
5dh	0.059
5di	-0.179
5dj	-0.067
5dk	0.131
5_dl	-0.121
5dl	-0.103
5dm	-0.112
6ac	-0.116
6ad	0.079
6bd	0.022
6bg	-0.092
6dc	-0.106
