Compound Id	E2u
3aa	0.497
3ab	0.469
3ba	0.482
3be	0.426
3bf	0.42
3de	0.438
3df	0.451
3dk	0.498
3dl	0.477
3ea	0.44
3eb	0.435
3ee	0.418
3ef	0.41
3eh	0.33
3ei	0.439
3el	0.438
3en	0.44
3fb	0.443
3ff	0.428
3fi	0.447
3fn	0.434
3gb	0.43
3gh	0.418
3gn	0.448
3go	0.416
3hb	0.487
3ho	0.452
3ib	0.482
3if	0.437
4aa	0.416
4ab	0.46
4dl	0.503
7aa	0.49
7ac	0.462
7bc	0.47
5ba	0.379
5bb	0.373
5be	0.446
5bf	0.393
5bh	0.362
5bi	0.37
5ch	0.369
5cj	0.389
5_da	0.473
5da	0.425
5_db	0.484
5db	0.42
5de	0.421
5df	0.397
5_dh	0.502
5dh	0.404
5di	0.428
5dj	0.462
5dk	0.419
5_dl	0.462
5dl	0.423
5dm	0.436
6ac	0.375
6ad	0.376
6bd	0.321
6bg	0.349
6dc	0.326
