Compound Id	UNIP
3aa	64
3ab	70
3ba	77
3be	68
3bf	73
3de	97
3df	102
3dk	83
3dl	106
3ea	83
3eb	89
3ee	74
3ef	79
3eh	99
3ei	103
3el	83
3en	85
3fb	92
3ff	82
3fi	106
3fn	88
3gb	78
3gh	88
3gn	74
3go	95
3hb	91
3ho	108
3ib	115
3if	105
4aa	64
4ab	70
4dl	106
7aa	96
7ac	101
7bc	91
5ba	77
5bb	82
5be	68
5bf	73
5bh	91
5bi	93
5ch	102
5cj	96
5_da	66
5da	101
5_db	72
5db	106
5de	94
5df	98
5_dh	82
5dh	115
5di	117
5dj	109
5dk	83
5_dl	66
5dl	101
5dm	126
6ac	98
6ad	170
6bd	200
6bg	122
6dc	128
