Compound Id	Mor20p
3aa	0.936
3ab	0.952
3ba	0.98
3be	0.429
3bf	0.492
3de	0.86
3df	0.898
3dk	0.943
3dl	1.39
3ea	0.922
3eb	0.972
3ee	0.746
3ef	0.583
3eh	1.177
3ei	0.812
3el	0.858
3en	0.982
3fb	1.173
3ff	0.764
3fi	1.082
3fn	1.317
3gb	1.273
3gh	1.108
3gn	1.133
3go	1.125
3hb	0.982
3ho	1.108
3ib	1.768
3if	1.013
4aa	1.095
4ab	0.989
4dl	1.61
7aa	1.557
7ac	1.34
7bc	1.455
5ba	1.028
5bb	1.205
5be	0.655
5bf	0.682
5bh	1.025
5bi	1.155
5ch	1.058
5cj	1.271
5_da	1.038
5da	1.287
5_db	1.195
5db	1.65
5de	1.046
5df	1.061
5_dh	0.926
5dh	1.464
5di	1.565
5dj	1.494
5dk	1.142
5_dl	1.123
5dl	1.592
5dm	1.584
6ac	1.614
6ad	2.184
6bd	2.294
6bg	1.699
6dc	1.811
