Compound Id	Mor16u
3aa	-0.085
3ab	0.078
3ba	-0.097
3be	-0.084
3bf	0.573
3de	0.46
3df	0.721
3dk	-0.15
3dl	0.677
3ea	0.296
3eb	0.169
3ee	-0.067
3ef	0.276
3eh	0.365
3ei	0.339
3el	0.285
3en	0.187
3fb	0.102
3ff	0.537
3fi	-0.058
3fn	0.208
3gb	-0.216
3gh	0.217
3gn	0.836
3go	0.278
3hb	0.942
3ho	0.469
3ib	0.666
3if	1.141
4aa	0.514
4ab	0.298
4dl	0.352
7aa	0.502
7ac	-0.268
7bc	-0.103
5ba	0.204
5bb	0.389
5be	0.246
5bf	0.131
5bh	0.11
5bi	0.226
5ch	0.182
5cj	-0.275
5_da	0.223
5da	-0.046
5_db	0.333
5db	0.493
5de	0.382
5df	0.353
5_dh	-0.139
5dh	0.209
5di	0.362
5dj	0.267
5dk	-0.132
5_dl	0.242
5dl	0.302
5dm	0.456
6ac	0.941
6ad	0.786
6bd	0.441
6bg	0.597
6dc	0.73
