Compound Id	HATS2u
3aa	0.327
3ab	0.32
3ba	0.308
3be	0.28
3bf	0.283
3de	0.245
3df	0.256
3dk	0.289
3dl	0.257
3ea	0.289
3eb	0.29
3ee	0.279
3ef	0.282
3eh	0.276
3ei	0.289
3el	0.287
3en	0.291
3fb	0.286
3ff	0.278
3fi	0.285
3fn	0.288
3gb	0.293
3gh	0.273
3gn	0.299
3go	0.281
3hb	0.263
3ho	0.271
3ib	0.257
3if	0.255
4aa	0.319
4ab	0.313
4dl	0.262
7aa	0.257
7ac	0.273
7bc	0.285
5ba	0.278
5bb	0.277
5be	0.267
5bf	0.276
5bh	0.262
5bi	0.278
5ch	0.251
5cj	0.248
5_da	0.292
5da	0.258
5_db	0.291
5db	0.257
5de	0.25
5df	0.258
5_dh	0.272
5dh	0.247
5di	0.257
5dj	0.247
5dk	0.288
5_dl	0.292
5dl	0.258
5dm	0.237
6ac	0.256
6ad	0.208
6bd	0.202
6bg	0.253
6dc	0.245
