Compound Id	Mor11p
3aa	0.635
3ab	0.897
3ba	0.428
3be	0.161
3bf	0.283
3de	0.514
3df	0.076
3dk	0.582
3dl	0.744
3ea	0.32
3eb	0.335
3ee	-0.284
3ef	-0.147
3eh	0.828
3ei	0.188
3el	0.255
3en	0.319
3fb	0.443
3ff	0.005
3fi	0.213
3fn	0.694
3gb	0.593
3gh	0.666
3gn	0.83
3go	0.659
3hb	0.681
3ho	0.754
3ib	0.925
3if	0.836
4aa	0.378
4ab	0.812
4dl	0.349
7aa	0.458
7ac	0.946
7bc	1.202
5ba	0.523
5bb	0.545
5be	0.374
5bf	0.326
5bh	0.581
5bi	0.255
5ch	0.299
5cj	0.304
5_da	0.627
5da	0.913
5_db	0.635
5db	0.788
5de	0.474
5df	0.568
5_dh	0.7
5dh	0.927
5di	0.507
5dj	0.587
5dk	-0.106
5_dl	0.663
5dl	0.838
5dm	0.619
6ac	0.89
6ad	0.949
6bd	0.504
6bg	0.59
6dc	0.666
