Compound Id	MATS2m
3aa	0.019
3ab	-0.062
3ba	-0.013
3be	0.069
3bf	0.084
3de	0.101
3df	0.107
3dk	0.084
3dl	-0.026
3ea	-0.01
3eb	-0.062
3ee	0.075
3ef	0.088
3eh	0.12
3ei	-0.128
3el	-0.04
3en	-0.04
3fb	-0.062
3ff	0.059
3fi	-0.134
3fn	-0.043
3gb	-0.051
3gh	0.107
3gn	-0.035
3go	0.496
3hb	-0.042
3ho	0.499
3ib	-0.041
3if	0.048
4aa	0.019
4ab	-0.062
4dl	-0.026
7aa	0.066
7ac	0.026
7bc	-0.055
5ba	-0.035
5bb	-0.064
5be	0.033
5bf	0.05
5bh	0.085
5bi	-0.139
5ch	0.042
5cj	0.042
5_da	-0.086
5da	-0.003
5_db	-0.06
5db	-0.047
5de	0.071
5df	0.079
5_dh	0.045
5dh	0.117
5di	-0.099
5dj	0.117
5dk	0.05
5_dl	-0.044
5dl	-0.03
5dm	0.134
6ac	-0.031
6ad	0.103
6bd	0.028
6bg	-0.061
6dc	-0.056
